Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY201002C220,105.81,I,<empty>,6,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,6,10,-.145,.00,--,117.89,117.52,X,117.97,Q,2 OCT 20,220,0,J,.01,W,SPY201002P220,.01,A,0,1,0.07%,99.93%,0.13%,.00,0,.00,.00,1,434,.005,.00,176.67%,0,,
SPY201002C225,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.145,.00,--,112.89,112.52,X,112.97,Q,2 OCT 20,225,0,J,.01,W,SPY201002P225,.01,P,0,21,0.07%,99.93%,0.13%,.00,0,.00,.00,21,"3,112",.005,.00,167.92%,0,,
SPY201002C230,97.66,I,+2.50,50,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,50,30,-.125,.00,--,107.89,107.55,Q,107.98,H,2 OCT 20,230,0,B,.01,W,SPY201002P230,.01,X,-.03,52,0.07%,99.93%,0.14%,.00,0,.00,.00,52,337,.005,.00,159.35%,0,,
SPY201002C235,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.145,.00,--,102.89,102.52,X,102.97,Q,2 OCT 20,235,0,J,.01,W,SPY201002P235,.01,A,0,93,0.07%,99.93%,0.14%,.00,0,.00,.00,93,"1,035",.005,.00,150.95%,0,,
SPY201002C240,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.195,.00,--,97.89,97.48,Q,97.91,Q,2 OCT 20,240,0,J,.01,W,SPY201002P240,.01,C,0,2,0.07%,99.93%,0.15%,.00,0,.00,.00,2,463,.005,.00,142.70%,0,,
SPY201002C245,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,10,-.145,.00,--,92.89,92.52,X,92.97,Q,2 OCT 20,245,0,J,.01,W,SPY201002P245,.02,C,0,22,0.08%,99.92%,0.15%,.00,0,.00,.00,22,344,.005,.00,134.60%,0,,
SPY201002C250,79.79,I,-6.88,20,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,20,20,-.195,.00,--,87.89,87.48,Q,87.91,Q,2 OCT 20,250,0,B,.01,X,SPY201002P250,.02,A,-.01,644,0.08%,99.92%,0.16%,.00,0,.00,.00,644,"21,360",.005,.00,126.65%,0,,
SPY201002C255,77.74,I,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,2,-.145,.00,--,82.89,82.52,X,82.97,Q,2 OCT 20,255,0,Z,.01,W,SPY201002P255,.01,W,-.02,1,0.08%,99.92%,0.16%,.00,0,.00,.00,1,448,.005,.00,118.82%,0,,
SPY201002C260,67.30,I,-6.47,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,15,-.22,.00,--,77.89,77.44,Q,77.90,Q,2 OCT 20,260,0,J,.01,X,SPY201002P260,.01,C,0,0,0.09%,99.91%,0.17%,.00,0,.00,.00,0,"4,492",.005,.00,111.13%,0,,
SPY201002C265,74.30,Z,+3.27,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,5,-.005,.00,--,72.89,72.70,Q,73.07,Q,2 OCT 20,265,0,Q,.01,X,SPY201002P265,.04,A,-.02,29,0.09%,99.91%,0.18%,.00,0,.00,.00,29,579,.005,.00,103.55%,0,,
SPY201002C270,53.69,X,-2.07,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,11,-.14,.00,--,67.89,67.60,Q,67.90,Q,2 OCT 20,270,0,Z,.01,W,SPY201002P270,.01,W,0,0,0.10%,99.90%,0.19%,.00,0,.00,.00,0,"46,709",.005,.00,96.09%,0,,
SPY201002C275,58.02,A,-1.55,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,26,-.145,.00,--,62.89,62.58,Q,62.91,I,2 OCT 20,275,0,Q,.01,W,SPY201002P275,.01,X,0,0,0.10%,99.90%,0.20%,.00,0,.00,.00,0,"2,826",.005,.00,88.73%,0,,
SPY201002C280,53.46,N,+7.93,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,8,-.125,.00,--,57.89,57.61,Q,57.92,Q,2 OCT 20,280,0,Q,.01,W,SPY201002P280,.01,B,0,0,0.11%,99.89%,0.21%,.00,0,.00,.00,0,"4,122",.005,.00,81.47%,0,,
SPY201002C285,38.71,I,-10.10,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,9,-.18,.00,--,52.89,52.49,Q,52.93,I,2 OCT 20,285,0,Q,.01,X,SPY201002P285,.01,H,0,0,0.12%,99.88%,0.23%,.00,0,.00,.00,0,"3,240",.005,.00,74.30%,0,,
SPY201002C286,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.155,.00,--,51.89,51.59,Q,51.88,Z,2 OCT 20,286,0,B,.01,W,SPY201002P286,.03,C,-.08,29,0.12%,99.88%,0.23%,.00,0,.00,.00,29,31,.005,.00,72.87%,0,,
SPY201002C287,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,46,-.045,.00,--,50.89,50.69,Q,51.00,Q,2 OCT 20,287,0,B,.01,W,SPY201002P287,.03,C,-.05,51,0.12%,99.88%,0.24%,.00,0,.00,.00,51,171,.005,.00,71.45%,0,,
SPY201002C288,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.125,.00,--,49.89,49.62,I,49.91,I,2 OCT 20,288,0,Q,.01,W,SPY201002P288,.01,P,0,0,0.12%,99.88%,0.24%,.00,0,.00,.00,0,377,.005,.00,70.03%,0,,
SPY201002C289,37.12,A,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.075,.00,--,48.89,48.63,Q,49.00,Q,2 OCT 20,289,0,B,.01,W,SPY201002P289,.01,W,0,0,0.12%,99.88%,0.24%,.00,0,.00,.00,0,98,.005,.00,68.62%,0,,
SPY201002C290,44.72,I,+5.88,4,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,4,111,-.135,.00,--,47.89,47.63,Q,47.88,Q,2 OCT 20,290,.01,P,.01,W,SPY201002P290,.01,W,0,0,0.22%,99.78%,0.43%,.00,0,-.01,.00,0,"22,938",.01,.00,71.13%,0,,
SPY201002C291,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.225,.00,--,46.89,46.49,I,46.84,I,2 OCT 20,291,0,B,.01,W,SPY201002P291,.01,A,0,0,0.13%,99.87%,0.25%,.00,0,.00,.00,0,504,.005,.00,65.80%,0,,
SPY201002C292,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.025,.00,--,45.89,45.68,Q,46.05,Q,2 OCT 20,292,0,B,.01,W,SPY201002P292,.01,Z,0,0,0.13%,99.87%,0.25%,.00,0,.00,.00,0,111,.005,.00,64.39%,0,,
SPY201002C293,40.70,M,<empty>,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,1,-.035,.00,--,44.89,44.71,Q,45.00,Q,2 OCT 20,293,.01,P,.01,W,SPY201002P293,.01,Z,0,0,0.24%,99.76%,0.48%,.00,0,-.01,.00,0,89,.01,.00,67.22%,0,,
SPY201002C294,43.08,I,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,1,-.035,.00,--,43.89,43.72,I,43.99,I,2 OCT 20,294,0,B,.01,W,SPY201002P294,.01,M,0,0,0.13%,99.87%,0.26%,.00,0,.00,.00,0,467,.005,.00,61.59%,0,,
SPY201002C295,35.80,I,<empty>,10,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,10,16,-.15,.00,--,42.89,42.58,I,42.90,I,2 OCT 20,295,0,B,.01,W,SPY201002P295,.01,X,0,0,0.14%,99.86%,0.27%,.00,0,.00,.00,0,"3,695",.005,.00,60.19%,0,,
SPY201002C296,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.205,.00,--,41.89,41.50,I,41.87,I,2 OCT 20,296,0,N,.01,W,SPY201002P296,.01,P,0,0,0.14%,99.86%,0.27%,.00,0,.00,.00,0,717,.005,.00,58.80%,0,,
SPY201002C297,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.225,.00,--,40.89,40.46,C,40.87,I,2 OCT 20,297,0,B,.01,W,SPY201002P297,.02,M,0,0,0.14%,99.86%,0.28%,.00,0,.00,.00,0,"1,980",.005,.00,57.40%,0,,
SPY201002C298,36.21,C,+5.66,3,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,3,1,-.22,.00,--,39.89,39.51,I,39.83,I,2 OCT 20,298,0,B,.01,W,SPY201002P298,.02,P,0,0,0.14%,99.86%,0.28%,.00,0,.00,.00,0,"3,391",.005,.00,56.01%,0,,
SPY201002C299,0, ,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.04,.00,--,38.89,38.66,Q,39.04,Q,2 OCT 20,299,0,B,.01,P,SPY201002P299,.02,M,0,0,0.15%,99.85%,0.29%,.00,0,.00,.00,0,603,.005,.00,54.63%,0,,
SPY201002C300,37.28,J,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,515,-.205,.00,--,37.89,37.48,I,37.89,I,2 OCT 20,300,0,Q,.01,P,SPY201002P300,.02,M,0,0,0.15%,99.85%,0.30%,.00,0,.00,.00,0,"39,819",.005,.00,53.24%,0,,
SPY201002C301,24.14,C,-10.37,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,49,-.08,.00,--,36.89,36.64,Q,36.98,Q,2 OCT 20,301,0,M,.01,P,SPY201002P301,.02,Z,0,0,0.15%,99.85%,0.30%,.00,0,.00,.00,0,"2,225",.005,.00,51.86%,0,,
SPY201002C302,30.18,J,+7.09,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,0,-.21,.00,--,35.89,35.53,I,35.83,I,2 OCT 20,302,.02,P,.01,P,SPY201002P302,.02,P,0,0,0.39%,99.61%,0.78%,.00,0,-.01,.00,0,"2,459",.015,.00,56.06%,0,,
SPY201002C303,30.90,C,+8.46,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,25,-.04,.00,--,34.89,34.68,Q,35.02,Q,2 OCT 20,303,.02,P,.01,P,SPY201002P303,.02,M,0,0,0.41%,99.59%,0.80%,.00,0,-.02,.00,0,"6,106",.015,.00,54.60%,0,,
SPY201002C304,21.74,A,+1.88,8,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,8,8,-.205,.00,--,33.89,33.53,Q,33.84,Q,2 OCT 20,304,.02,P,.01,P,SPY201002P304,.03,W,0,0,0.42%,99.58%,0.82%,.00,0,-.02,.00,0,"7,588",.015,.00,53.11%,0,,
SPY201002C305,30.78,C,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,28,-.235,.00,--,32.89,32.46,Q,32.85,Q,2 OCT 20,305,.03,P,.01,P,SPY201002P305,.01,Q,-.02,1,0.53%,99.47%,1.05%,.00,0,-.02,.00,1,"9,457",.02,.00,53.16%,0,,
SPY201002C306,25.76,Z,+6.96,4,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,4,29,-.18,.00,--,31.89,31.52,I,31.90,I,2 OCT 20,306,.03,P,.01,Z,SPY201002P306,.03,Q,0,0,0.55%,99.45%,1.08%,.00,0,-.02,.00,0,"1,658",.02,.00,51.66%,0,,
SPY201002C307,25.92,N,-.83,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,7,-.085,.00,--,30.89,30.64,Q,30.97,I,2 OCT 20,307,0,T,.01,P,SPY201002P307,.03,E,0,0,0.18%,99.82%,0.35%,.00,0,.00,.00,0,"2,667",.005,.00,43.59%,0,,
SPY201002C308,16.70,Q,-6.65,6,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,6,17,-.19,.00,--,29.89,29.55,I,29.85,Q,2 OCT 20,308,.01,Z,.02,Z,SPY201002P308,.01,A,-.03,201,0.44%,99.56%,0.87%,.00,0,-.01,.00,201,"1,790",.015,.00,46.85%,0,,
SPY201002C309,28.14,M,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,24,-.145,.00,--,28.89,28.57,I,28.92,I,2 OCT 20,309,.01,D,.02,X,SPY201002P309,.04,C,0,0,0.46%,99.54%,0.91%,.00,0,-.01,.00,0,"2,803",.015,.00,45.50%,0,,
SPY201002C310,26.06,C,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,"8,139",-.03,.00,--,27.89,27.72,Q,28.00,Q,2 OCT 20,310,.01,P,.02,X,SPY201002P310,.01,N,-.04,2,0.48%,99.52%,0.94%,.00,0,-.01,.00,2,"22,905",.015,.00,44.00%,0,,
SPY201002C311,24.04,A,+8.08,6,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,6,17,-.15,.00,--,26.89,26.57,I,26.91,I,2 OCT 20,311,.01,P,.02,W,SPY201002P311,.01,A,-.05,15,0.49%,99.51%,0.97%,.00,0,-.01,.00,15,"3,575",.015,.00,42.50%,0,,
SPY201002C312,22.47,P,+7.27,96,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,96,109,-.15,.00,--,25.89,25.57,I,25.91,I,2 OCT 20,312,.01,X,.02,W,SPY201002P312,.06,C,0,0,0.51%,99.49%,1.00%,.00,0,-.01,.00,0,"9,906",.015,.00,41.01%,0,,
SPY201002C313,21.00,N,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,106,-.12,.00,--,24.89,24.65,Q,24.89,I,2 OCT 20,313,.01,W,.02,Z,SPY201002P313,.02,P,-.06,40,0.52%,99.48%,1.03%,.00,0,-.01,.00,40,"5,924",.015,.00,39.51%,0,,
SPY201002C314,23.40,A,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,455,-.17,.00,--,23.89,23.53,Q,23.91,Q,2 OCT 20,314,.02,Z,.03,W,SPY201002P314,.03,E,-.04,1,0.81%,99.19%,1.60%,.00,0,-.02,.01,1,"3,922",.025,.00,40.29%,0,,
SPY201002C315,19.02,D,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,348,-.015,.00,--,22.89,22.76,I,22.99,I,2 OCT 20,315,.02,P,.03,X,SPY201002P315,.02,N,-.07,8,0.84%,99.16%,1.65%,.00,0,-.02,.01,8,"30,408",.025,.00,38.72%,0,,
SPY201002C316,19.78,C,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,388,-.09,.00,--,21.89,21.61,Q,21.99,Q,2 OCT 20,316,.02,W,.03,D,SPY201002P316,.03,P,-.08,7,0.87%,99.13%,1.71%,.00,0,-.02,.01,7,"4,085",.025,.00,37.15%,0,,
SPY201002C317,19.32,A,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,"1,279",-.09,.00,--,20.89,20.65,Q,20.95,Q,2 OCT 20,317,.03,Z,.04,W,SPY201002P317,.03,P,-.10,3,1.18%,98.82%,2.31%,.00,0,-.03,.01,3,"6,201",.035,.00,37.12%,0,,
SPY201002C318,18.22,D,0,0,100.00%,0.00%,<empty>,.00,0,.00,.00,0,459,0,.00,0.00%,19.89,19.75,I,20.03,I,2 OCT 20,318,.03,X,.04,Z,SPY201002P318,.04,A,-.12,101,1.22%,98.78%,2.39%,.00,0,-.03,.01,101,"6,729",.035,.00,35.48%,0,,
SPY201002C319,14.91,Z,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,749,-.095,.00,--,18.89,18.64,I,18.95,Q,2 OCT 20,319,.04,X,.05,Z,SPY201002P319,.05,W,-.13,8,1.53%,98.47%,3.00%,.00,0,-.04,.01,8,"4,891",.045,.00,34.99%,0,,
SPY201002C320,17.85,C,+3.82,4,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,4,"1,808",-.075,.00,--,17.89,17.72,P,17.91,Q,2 OCT 20,320,.05,X,.06,Z,SPY201002P320,.05,C,-.19,27,1.86%,98.14%,3.65%,.00,0,-.05,.01,27,"31,813",.055,.01,34.30%,0,,
SPY201002C321,16.93,C,+3.97,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,"1,062",-.05,.00,--,16.89,16.72,Q,16.96,Q,2 OCT 20,321,.06,X,.07,W,SPY201002P321,.07,N,-.22,12,2.21%,97.79%,4.32%,.00,0,-.06,.01,12,"5,383",.065,.01,33.41%,0,,
SPY201002C322,15.94,C,+3.79,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,"1,560",-.105,.00,--,15.89,15.67,I,15.90,Q,2 OCT 20,322,.08,Z,.09,W,SPY201002P322,.08,C,-.27,14,2.83%,97.17%,5.52%,.00,0,-.08,.02,14,"6,362",.085,.01,33.05%,0,,
SPY201002C323,12.88,I,0,0,94.16%,5.84%,11.40%,.00,0,-.02,.01,0,"3,041",.025,.01,37.44%,14.89,14.76,Q,15.07,P,2 OCT 20,323,.09,W,.10,W,SPY201002P323,.10,W,-.33,9,3.23%,96.77%,6.31%,.00,0,-.09,.02,9,"14,265",.095,.01,31.86%,0,,
SPY201002C324,10.34,A,0,0,92.29%,7.71%,15.03%,.01,0,-.08,.02,0,"1,930",.08,.02,38.26%,13.89,13.83,Q,14.11,Q,2 OCT 20,324,.12,Z,.13,X,SPY201002P324,.13,A,-.39,189,4.12%,95.88%,8.04%,.00,0,-.11,.02,189,"9,398",.125,.01,31.50%,0,,
SPY201002C325,9.40,D,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,"3,393",-.08,.00,--,12.89,12.66,A,12.96,I,2 OCT 20,325,.15,Z,.16,W,SPY201002P325,.16,A,-.44,84,5.04%,94.96%,9.82%,.00,0,-.14,.02,84,"40,861",.155,.01,30.81%,0,,
SPY201002C326,11.84,Z,+3.29,3,90.48%,9.52%,18.53%,.01,0,-.12,.03,3,"1,907",.12,.02,35.36%,11.89,11.92,I,12.10,Q,2 OCT 20,326,.19,Z,.20,D,SPY201002P326,.20,I,-.55,8,6.23%,93.77%,12.11%,.00,0,-.17,.03,8,"7,231",.195,.02,30.22%,0,,
SPY201002C327,11.09,I,+3.37,3,87.99%,12.01%,23.35%,.01,0,-.21,.04,3,"4,394",.22,.02,35.87%,10.89,10.73,A,11.49,C,2 OCT 20,327,.24,Z,.25,W,SPY201002P327,.26,C,-.65,83,7.67%,92.33%,14.90%,.00,0,-.21,.03,83,"10,839",.245,.02,29.62%,0,,
SPY201002C328,6.71,Z,0,0,89.56%,10.44%,20.26%,.01,0,-.10,.03,0,"5,402",.105,.03,30.35%,9.89,9.89,Q,10.10,Q,2 OCT 20,328,.31,Z,.32,Z,SPY201002P328,.31,P,-.80,74,9.57%,90.43%,18.56%,.00,0,-.26,.04,74,"12,221",.315,.02,29.21%,0,,
SPY201002C329,9.05,H,+3.16,1,86.56%,13.44%,26.05%,.01,0,-.19,.04,1,"4,795",.21,.03,30.77%,8.89,9.03,P,9.17,Q,2 OCT 20,329,.41,P,.42,P,SPY201002P329,.40,A,-.90,27,12.04%,87.96%,23.32%,.00,0,-.33,.05,27,"20,693",.415,.03,29.04%,0,,
SPY201002C330,8.32,I,+2.92,4,84.07%,15.93%,30.82%,.01,0,-.25,.05,4,"17,529",.295,.04,30.02%,7.89,8.13,I,8.24,I,2 OCT 20,330,.52,Z,.53,Z,SPY201002P330,.52,Z,-1.03,"1,265",14.73%,85.27%,28.48%,.00,0,-.39,.06,"1,265","37,760",.525,.03,28.59%,0,,
SPY201002C331,4.53,E,0,0,80.59%,19.41%,37.48%,.01,0,-.33,.06,0,"3,739",.445,.04,29.96%,6.89,7.28,I,7.39,I,2 OCT 20,331,.66,Z,.67,P,SPY201002P331,.66,X,-1.19,331,17.94%,82.06%,34.61%,.00,0,-.47,.06,331,"10,133",.665,.04,28.21%,0,,
SPY201002C332,6.41,Q,+2.55,9,76.47%,23.53%,45.35%,.01,0,-.43,.07,9,"3,969",.655,.04,30.17%,5.89,6.49,I,6.60,I,2 OCT 20,332,.81,P,.83,Z,SPY201002P332,.77,M,-1.41,462,21.45%,78.55%,41.30%,.00,0,-.53,.07,462,"7,304",.82,.04,27.60%,0,,
SPY201002C333,5.82,Z,+2.57,285,73.09%,26.91%,51.73%,.01,0,-.48,.08,285,"17,082",.79,.05,28.82%,4.89,5.62,Q,5.74,I,2 OCT 20,333,.98,P,.99,N,SPY201002P333,.97,M,-1.51,200,25.27%,74.73%,48.50%,.00,0,-.59,.08,200,"16,047",.985,.05,26.69%,0,,
SPY201002C334,4.92,M,+2.18,23,67.80%,32.20%,61.77%,.01,0,-.59,.09,23,"9,416",1.135,.05,29.57%,3.89,4.98,I,5.07,I,2 OCT 20,334,1.20,I,1.23,Z,SPY201002P334,1.21,M,-1.77,200,29.96%,70.04%,57.34%,-.01,0,-.66,.09,200,"8,478",1.215,.05,26.14%,0,,
SPY201002C335,4.22,I,+2.00,140,63.56%,36.44%,69.65%,.01,0,-.60,.09,140,"16,262",1.315,.06,27.86%,2.89,4.16,I,4.25,W,2 OCT 20,335,1.47,I,1.50,Z,SPY201002P335,1.48,M,-1.95,111,35.18%,64.82%,67.10%,-.01,0,-.72,.09,111,"9,665",1.485,.06,25.52%,0,,
SPY201002C336,3.51,Z,+1.73,535,58.23%,41.77%,79.57%,.01,0,-.64,.10,535,"14,904",1.635,.06,27.20%,1.89,3.49,P,3.56,N,2 OCT 20,336,1.77,W,1.80,Z,SPY201002P336,1.80,J,-2.22,123,40.87%,59.13%,77.62%,-.01,0,-.76,.10,123,"8,250",1.785,.06,24.67%,0,,
SPY201002C337,2.95,Z,+1.59,310,52.47%,47.53%,90.16%,.01,0,-.66,.10,310,"13,690",2.01,.06,26.53%,.89,2.88,P,2.92,I,2 OCT 20,337,2.18,Z,2.21,N,SPY201002P337,2.17,Q,-2.37,290,47.24%,52.76%,89.34%,-.01,0,-.80,.10,290,"7,812",2.195,.07,24.37%,0,,
SPY201002C338,2.33,Q,+1.27,500,46.37%,53.63%,98.51%,.01,0,-.66,.10,500,"16,423",2.32,.06,25.72%,0,2.31,Z,2.33,Q,2 OCT 20,338,2.59,W,2.63,P,SPY201002P338,2.65,A,-2.78,75,53.91%,46.09%,98.35%,-.01,0,-.79,.10,75,"5,694",2.50,.07,23.46%,.11,,
SPY201002C339,1.88,A,+1.09,234,40.12%,59.88%,84.92%,.01,0,-.64,.10,234,"13,811",1.84,.06,25.27%,0,1.82,Z,1.86,Z,2 OCT 20,339,3.09,I,3.13,I,SPY201002P339,3.14,I,-3.01,7,60.90%,39.10%,83.15%,-.01,0,-.76,.10,7,"3,267",2.00,.07,22.70%,1.11,,
SPY201002C340,1.42,W,+.84,"1,018",33.91%,66.09%,71.55%,.01,0,-.59,.09,"1,018","16,568",1.425,.06,24.82%,0,1.42,W,1.43,W,2 OCT 20,340,3.67,I,3.76,I,SPY201002P340,3.62,A,-3.17,23,67.72%,32.28%,68.36%,-.01,0,-.72,.09,23,"4,503",1.605,.06,22.29%,2.11,,
SPY201002C341,1.11,C,+.68,298,28.06%,71.94%,59.02%,.01,0,-.53,.09,298,"9,458",1.09,.06,24.55%,0,1.08,W,1.10,P,2 OCT 20,341,4.27,I,4.37,Q,SPY201002P341,5.59,W,0,0,75.04%,24.96%,52.75%,-.01,0,-.62,.08,0,"1,673",1.21,.06,21.02%,3.11,,
SPY201002C342,.79,E,+.48,246,22.37%,77.63%,46.91%,.00,0,-.44,.08,246,"8,268",.79,.05,23.96%,0,.78,N,.80,D,2 OCT 20,342,4.97,P,5.03,Z,SPY201002P342,6.40,Z,0,0,82.31%,17.69%,37.29%,-.02,0,-.50,.07,0,"1,300",.89,.05,19.56%,4.11,,
