LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,ASK,Strike,expire_days,target
1.68,0.24,-3.31,14173,23.15,76.85,47.77,0.01,-0.23,0.13,8066,1.68,0.03,28.42,0.0,3.2,1.68,1.67,1.69,290.0,7,0
1.43,0.21,-2.97,2765,20.27,79.73,41.8,0.01,-0.2,0.12,23817,1.39,0.03,27.84,0.0,2.7,1.39,1.38,1.4,291.0,7,0
1.17,0.19,-2.75,4306,17.57,82.43,36.19,0.01,-0.18,0.11,3560,1.14,0.02,27.33,0.0,2.31,1.14,1.13,1.15,292.0,7,1
0.91,0.16,-2.51,2417,15.06,84.94,30.98,0.01,-0.16,0.1,3811,0.925,0.02,26.84,0.0,1.97,0.925,0.92,0.93,293.0,7,1
0.75,0.13,-2.14,1687,12.68,87.32,26.05,0.01,-0.14,0.09,3087,0.735,0.02,26.3,0.0,1.65,0.735,0.73,0.74,294.0,7,1
0.59,0.11,-1.95,7613,10.62,89.38,21.8,0.01,-0.12,0.08,8802,0.585,0.02,25.91,0.0,1.39,0.585,0.58,0.59,295.0,7,1
5.99,0.5,-5.24,170,47.46,52.54,98.9,0.04,-0.27,0.19,540,5.895,0.03,31.61,0.0,7.82,5.895,5.87,5.92,282.0,10,0
5.4,0.47,-5.67,303,44.84,55.16,93.33,0.04,-0.27,0.19,618,5.315,0.03,31.0,0.0,7.65,5.315,5.29,5.34,283.0,10,0
4.8,0.44,-4.6,522,42.16,57.84,87.63,0.03,-0.26,0.19,134,4.77,0.03,30.44,0.0,6.63,4.77,4.75,4.79,284.0,10,0
4.2,0.41,-4.64,948,39.41,60.59,81.81,0.03,-0.25,0.19,623,4.245,0.03,29.84,0.0,6.34,4.245,4.22,4.27,285.0,10,0
3.82,0.39,-4.58,366,36.61,63.39,75.91,0.03,-0.24,0.19,798,3.75,0.03,29.23,0.0,5.75,3.75,3.73,3.77,286.0,10,0
3.25,0.36,-4.33,412,33.77,66.23,69.94,0.03,-0.23,0.18,1740,3.285,0.03,28.62,0.0,5.12,3.285,3.27,3.3,287.0,10,0
2.85,0.33,-3.8,253,30.91,69.09,63.94,0.03,-0.22,0.18,447,2.85,0.03,28.0,0.0,4.61,2.85,2.83,2.87,288.0,10,0
2.47,0.3,-4.1,140,28.05,71.95,57.96,0.02,-0.2,0.17,906,2.45,0.03,27.39,0.0,4.1,2.45,2.43,2.47,289.0,10,0
2.12,0.27,-3.31,872,25.22,74.78,52.06,0.02,-0.19,0.16,904,2.085,0.03,26.8,0.0,3.61,2.085,2.07,2.1,290.0,10,0
1.73,0.24,-2.93,431,22.45,77.55,46.29,0.02,-0.17,0.15,776,1.755,0.02,26.21,0.0,3.12,1.755,1.74,1.77,291.0,10,0
1.5,0.21,-2.54,695,19.8,80.2,40.77,0.02,-0.16,0.14,811,1.465,0.02,25.68,0.0,2.72,1.465,1.45,1.48,292.0,10,0
1.2,0.18,-2.32,772,17.31,82.69,35.61,0.02,-0.14,0.13,1671,1.215,0.02,25.2,0.0,2.48,1.215,1.2,1.23,293.0,10,1
1.01,0.16,-2.68,865,14.91,85.09,30.64,0.01,-0.13,0.12,1235,0.99,0.02,24.69,0.0,1.99,0.99,0.98,1.0,294.0,10,1
0.81,0.14,-1.97,28525,12.71,87.29,26.09,0.01,-0.11,0.11,1281,0.8,0.02,24.22,0.0,1.7,0.8,0.79,0.81,295.0,10,1
0.69,0.12,-1.67,564,10.81,89.19,22.18,0.01,-0.1,0.1,881,0.65,0.02,23.9,0.0,1.4,0.65,0.64,0.66,296.0,10,1
0.53,0.1,-1.89,1014,9.07,90.93,18.59,0.01,-0.09,0.08,1116,0.52,0.01,23.56,0.0,1.17,0.52,0.51,0.53,297.0,10,1
6.88,0.5,-5.57,180,47.5,52.5,99.04,0.05,-0.26,0.21,399,6.785,0.02,33.27,0.0,8.95,6.785,6.76,6.81,282.0,12,1
6.35,0.48,-5.1,51,45.21,54.79,94.17,0.04,-0.26,0.21,546,6.195,0.02,32.68,0.0,8.01,6.195,6.17,6.22,283.0,12,1
5.6,0.45,-4.68,58,42.87,57.13,89.18,0.04,-0.25,0.21,564,5.63,0.02,32.09,0.0,7.35,5.63,5.61,5.65,284.0,12,1
5.14,0.43,-4.41,177,40.46,59.54,84.06,0.04,-0.25,0.21,304,5.075,0.02,31.43,0.0,7.11,5.075,5.05,5.1,285.0,12,1
4.55,0.4,-4.88,238,38.02,61.98,78.89,0.04,-0.24,0.21,299,4.56,0.02,30.85,0.0,6.55,4.56,4.54,4.58,286.0,12,1
4.35,0.38,-4.13,307,35.53,64.47,73.64,0.04,-0.23,0.2,949,4.07,0.02,30.25,0.0,5.81,4.07,4.05,4.09,287.0,12,1
3.7,0.35,-4.35,491,32.99,67.01,68.3,0.03,-0.22,0.2,293,3.6,0.02,29.61,0.0,5.21,3.6,3.58,3.62,288.0,12,1
3.15,0.32,-4.11,665,30.43,69.57,62.94,0.03,-0.21,0.19,475,3.16,0.02,28.98,0.0,4.83,3.16,3.14,3.18,289.0,12,1
2.84,0.3,-2.98,536,27.92,72.08,57.68,0.03,-0.2,0.18,1196,2.765,0.02,28.43,0.0,4.35,2.765,2.75,2.78,290.0,12,1
2.55,0.27,-2.93,896,25.37,74.63,52.36,0.03,-0.18,0.18,491,2.385,0.02,27.8,0.0,3.74,2.385,2.37,2.4,291.0,12,1
2.04,0.24,-2.89,1058,22.89,77.11,47.18,0.02,-0.17,0.17,478,2.045,0.02,27.23,0.0,3.52,2.045,2.03,2.06,292.0,12,1
1.91,0.22,-2.98,608,20.51,79.49,42.24,0.02,-0.16,0.16,500,1.745,0.02,26.72,0.0,2.97,1.745,1.73,1.76,293.0,12,1
1.51,0.2,-2.76,186,18.18,81.82,37.41,0.02,-0.14,0.15,424,1.47,0.02,26.18,0.0,2.47,1.47,1.46,1.48,294.0,12,1
1.24,0.17,-2.22,1090,15.99,84.01,32.87,0.02,-0.13,0.14,1213,1.23,0.02,25.69,0.0,2.28,1.23,1.22,1.24,295.0,12,1
1.0,0.15,-1.98,126,13.93,86.07,28.6,0.01,-0.12,0.12,1944,1.02,0.02,25.22,0.0,1.88,1.02,1.01,1.03,296.0,12,1
0.86,0.13,-1.94,55,12.03,87.97,24.69,0.01,-0.1,0.11,1037,0.84,0.02,24.8,0.0,1.63,0.84,0.83,0.85,297.0,12,1
0.72,0.11,-1.56,969,10.38,89.62,21.27,0.01,-0.09,0.1,944,0.695,0.01,24.49,0.0,1.37,0.695,0.68,0.71,298.0,12,1
0.59,0.1,-1.36,795,8.87,91.13,18.17,0.01,-0.08,0.09,530,0.57,0.01,24.19,0.0,1.12,0.57,0.56,0.58,299.0,12,1
7.6,0.5,-4.4,11131,47.46,52.54,99.14,0.05,-0.25,0.23,10345,7.59,0.02,34.53,0.0,9.94,7.59,7.58,7.6,282.0,14,1
6.99,0.48,-4.35,4520,45.42,54.58,94.76,0.05,-0.25,0.23,10019,6.995,0.02,33.96,0.0,9.29,6.995,6.98,7.01,283.0,14,1
6.39,0.46,-4.31,5672,43.33,56.67,90.27,0.05,-0.25,0.23,12984,6.405,0.02,33.31,0.0,8.64,6.405,6.4,6.41,284.0,14,1
5.85,0.44,-4.43,16920,41.18,58.82,85.69,0.05,-0.24,0.22,54848,5.845,0.02,32.71,0.0,8.01,5.845,5.83,5.86,285.0,14,1
5.34,0.42,-3.92,3991,38.98,61.02,81.01,0.04,-0.23,0.22,9551,5.305,0.02,32.09,0.0,7.39,5.305,5.29,5.32,286.0,14,1
4.8,0.39,-4.03,4133,36.74,63.26,76.27,0.04,-0.22,0.22,6122,4.79,0.02,31.47,0.0,6.73,4.79,4.78,4.8,287.0,14,1
4.32,0.37,-3.91,3905,34.46,65.54,71.46,0.04,-0.22,0.22,7064,4.3,0.02,30.86,0.0,6.15,4.3,4.29,4.31,288.0,14,1
3.86,0.34,-3.58,3824,32.15,67.85,66.6,0.04,-0.21,0.21,12411,3.835,0.02,30.24,0.0,5.58,3.835,3.83,3.84,289.0,14,1
3.42,0.32,-3.43,23904,29.84,70.16,61.73,0.03,-0.2,0.2,54145,3.4,0.02,29.64,0.0,5.12,3.4,3.39,3.41,290.0,14,1
2.99,0.29,-3.35,4666,27.51,72.49,56.85,0.03,-0.19,0.2,14266,2.99,0.02,29.03,0.0,4.52,2.99,2.98,3.0,291.0,14,1
2.63,0.27,-3.08,5422,25.21,74.79,52.04,0.03,-0.17,0.19,11064,2.615,0.02,28.45,0.0,4.09,2.615,2.61,2.62,292.0,14,1
2.27,0.25,-2.88,4540,22.9,77.1,47.23,0.03,-0.16,0.18,14223,2.26,0.02,27.83,0.0,3.63,2.26,2.25,2.27,293.0,14,1
1.94,0.22,-2.72,2938,20.68,79.32,42.6,0.02,-0.15,0.17,11755,1.945,0.02,27.28,0.0,3.28,1.945,1.94,1.95,294.0,14,1
1.67,0.2,-2.55,8636,18.55,81.45,38.17,0.02,-0.14,0.16,62568,1.665,0.02,26.77,0.0,2.85,1.665,1.66,1.67,295.0,14,1
1.42,0.18,-2.25,3163,16.51,83.49,33.95,0.02,-0.13,0.15,10443,1.415,0.02,26.28,0.0,2.47,1.415,1.41,1.42,296.0,14,1
1.22,0.16,-1.95,2505,14.59,85.41,29.98,0.02,-0.11,0.14,10899,1.195,0.02,25.84,0.0,2.17,1.195,1.19,1.2,297.0,14,1
1.03,0.14,-1.68,4270,12.81,87.19,26.3,0.02,-0.1,0.13,10469,1.005,0.02,25.43,0.0,1.85,1.005,1.0,1.01,298.0,14,1
0.85,0.12,-1.7,3861,11.17,88.83,22.92,0.01,-0.09,0.12,7600,0.84,0.01,25.06,0.0,1.72,0.84,0.83,0.85,299.0,14,1
0.7,0.11,-1.52,20478,9.73,90.27,19.95,0.01,-0.08,0.1,65789,0.705,0.01,24.78,0.0,1.4,0.705,0.7,0.71,300.0,14,1
0.59,0.09,-1.24,1560,8.39,91.61,17.19,0.01,-0.07,0.09,8613,0.585,0.01,24.49,0.0,1.17,0.585,0.58,0.59,301.0,14,1
8.0,0.5,-5.64,80,47.46,52.54,99.18,0.06,-0.22,0.25,532,8.01,0.02,33.19,0.0,8.98,8.01,7.99,8.03,282.0,17,0
7.54,0.48,-4.32,162,45.53,54.47,95.02,0.06,-0.22,0.25,446,7.405,0.02,32.63,0.0,9.61,7.405,7.38,7.43,283.0,17,0
6.98,0.46,-5.43,188,43.54,56.46,90.77,0.06,-0.22,0.25,454,6.825,0.02,32.09,0.0,8.48,6.825,6.81,6.84,284.0,17,0
6.23,0.44,-4.69,539,41.5,58.5,86.41,0.06,-0.21,0.25,1437,6.25,0.02,31.49,0.0,8.31,6.25,6.23,6.27,285.0,17,0
5.82,0.42,-4.71,42,39.42,60.58,81.98,0.05,-0.2,0.24,470,5.705,0.02,30.92,0.0,7.7,5.705,5.68,5.73,286.0,17,0
5.19,0.4,-3.72,57,37.3,62.7,77.47,0.05,-0.2,0.24,966,5.18,0.02,30.34,0.0,7.14,5.18,5.16,5.2,287.0,17,0
4.82,0.38,-3.59,133,35.14,64.86,72.9,0.05,-0.19,0.24,272,4.68,0.02,29.77,0.0,6.55,4.68,4.66,4.7,288.0,17,0
4.22,0.35,-3.73,558,32.94,67.06,68.27,0.05,-0.18,0.23,435,4.2,0.02,29.17,0.0,6.5,4.2,4.18,4.22,289.0,17,0
3.78,0.33,-3.32,364,30.73,69.27,63.62,0.04,-0.18,0.23,929,3.75,0.02,28.6,0.0,5.35,3.75,3.73,3.77,290.0,17,0
3.37,0.31,-3.61,552,28.49,71.51,58.92,0.04,-0.17,0.22,820,3.32,0.02,28.0,0.0,4.8,3.32,3.3,3.34,291.0,17,0
2.94,0.28,-3.0,280,26.28,73.72,54.27,0.04,-0.16,0.21,607,2.925,0.02,27.44,0.0,4.33,2.925,2.91,2.94,292.0,17,0
2.65,0.26,-2.55,103,24.08,75.92,49.68,0.03,-0.15,0.2,1026,2.56,0.02,26.9,0.0,3.96,2.56,2.54,2.58,293.0,17,0
2.21,0.24,-3.14,269,21.92,78.08,45.18,0.03,-0.14,0.19,1283,2.225,0.02,26.37,0.0,3.51,2.225,2.21,2.24,294.0,17,0
1.94,0.21,-2.4,339,19.84,80.16,40.85,0.03,-0.13,0.18,1052,1.925,0.02,25.88,0.0,3.17,1.925,1.91,1.94,295.0,17,1
1.8,0.19,-2.5,111,17.81,82.19,36.64,0.03,-0.12,0.17,1171,1.65,0.02,25.39,0.0,2.73,1.65,1.64,1.66,296.0,17,1
1.58,0.17,-2.27,43,15.87,84.13,32.62,0.02,-0.11,0.16,1265,1.405,0.02,24.93,0.0,2.43,1.405,1.39,1.42,297.0,17,1
1.29,0.15,-2.09,32,14.05,85.95,28.86,0.02,-0.1,0.15,485,1.19,0.02,24.5,0.0,2.09,1.19,1.18,1.2,298.0,17,1
1.03,0.14,-1.82,17,12.41,87.59,25.46,0.02,-0.09,0.14,939,1.01,0.01,24.16,0.0,1.88,1.01,1.0,1.02,299.0,17,1
0.88,0.12,-1.66,432,10.87,89.13,22.29,0.02,-0.08,0.12,2201,0.85,0.01,23.83,0.0,1.56,0.85,0.84,0.86,300.0,17,1
0.77,0.1,-1.18,446,9.45,90.55,19.36,0.01,-0.07,0.11,410,0.71,0.01,23.5,0.0,1.33,0.71,0.7,0.72,301.0,17,1
0.61,0.09,-1.29,145,8.21,91.79,16.8,0.01,-0.06,0.1,731,0.595,0.01,23.25,0.0,1.09,0.595,0.59,0.6,302.0,17,1
9.01,0.51,-4.38,156,47.44,52.56,99.23,0.07,-0.22,0.26,328,8.615,0.02,33.78,0.0,10.64,8.615,8.6,8.63,282.0,19,0
8.15,0.49,-4.46,191,45.64,54.36,95.35,0.07,-0.21,0.26,473,8.005,0.02,33.23,0.0,9.57,8.005,7.99,8.02,283.0,19,0
7.66,0.47,-5.21,239,43.8,56.2,91.38,0.07,-0.21,0.26,194,7.415,0.02,32.69,0.0,8.91,7.415,7.4,7.43,284.0,19,0
6.86,0.45,-4.26,226,41.91,58.09,87.34,0.06,-0.2,0.26,960,6.845,0.02,32.15,0.0,8.9,6.845,6.83,6.86,285.0,19,0
6.29,0.43,-4.74,113,39.98,60.02,83.22,0.06,-0.2,0.26,1871,6.29,0.02,31.59,0.0,8.32,6.29,6.27,6.31,286.0,19,0
5.76,0.41,-3.96,177,38.0,62.0,79.01,0.06,-0.19,0.26,605,5.75,0.02,31.01,0.0,7.69,5.75,5.73,5.77,287.0,19,0
5.24,0.39,-3.74,412,36.0,64.0,74.75,0.06,-0.19,0.25,1388,5.235,0.02,30.44,0.0,7.02,5.235,5.21,5.26,288.0,19,0
4.73,0.37,-3.34,214,33.95,66.05,70.43,0.05,-0.18,0.25,1364,4.74,0.02,29.86,0.0,6.0,4.74,4.72,4.76,289.0,19,0
4.25,0.34,-3.5,275,31.89,68.11,66.07,0.05,-0.17,0.24,3255,4.27,0.02,29.29,0.0,5.92,4.27,4.25,4.29,290.0,19,0
4.0,0.32,-3.13,332,29.8,70.2,61.68,0.05,-0.17,0.24,432,3.825,0.02,28.72,0.0,5.36,3.825,3.81,3.84,291.0,19,0
3.47,0.3,-3.55,278,27.72,72.28,57.31,0.04,-0.16,0.23,1194,3.41,0.02,28.17,0.0,4.95,3.41,3.39,3.43,292.0,19,0
3.26,0.28,-2.89,121,25.62,74.38,52.92,0.04,-0.15,0.22,599,3.015,0.02,27.6,0.0,4.52,3.015,3.0,3.03,293.0,19,0
2.83,0.26,-2.87,399,23.55,76.45,48.59,0.04,-0.14,0.21,863,2.65,0.02,27.05,0.0,3.77,2.65,2.63,2.67,294.0,19,0
2.35,0.23,-2.6,50,21.52,78.48,44.35,0.03,-0.13,0.2,1607,2.315,0.02,26.52,0.0,3.6,2.315,2.3,2.33,295.0,19,0
2.0,0.21,-3.14,96,19.53,80.47,40.22,0.03,-0.12,0.19,1278,2.01,0.02,26.02,0.0,3.03,2.01,1.99,2.03,296.0,19,1
1.82,0.19,-2.6,122,17.62,82.38,36.25,0.03,-0.11,0.18,372,1.735,0.02,25.53,0.0,2.8,1.735,1.72,1.75,297.0,19,1
2.07,0.17,-1.43,15,15.8,84.2,32.48,0.03,-0.1,0.17,632,1.49,0.02,25.09,0.0,2.3,1.49,1.48,1.5,298.0,19,1
1.39,0.15,-1.71,15,14.07,85.93,28.89,0.02,-0.09,0.16,220,1.27,0.01,24.66,0.0,2.0,1.27,1.26,1.28,299.0,19,1
1.13,0.14,-1.54,516,12.46,87.54,25.57,0.02,-0.08,0.14,1233,1.08,0.01,24.27,0.0,2.0,1.08,1.07,1.09,300.0,19,1
0.99,0.12,-1.79,397,10.98,89.02,22.52,0.02,-0.08,0.13,819,0.915,0.01,23.92,0.0,1.57,0.915,0.9,0.93,301.0,19,1
0.81,0.11,-1.27,21,9.61,90.39,19.69,0.02,-0.07,0.12,374,0.77,0.01,23.59,0.0,1.35,0.77,0.76,0.78,302.0,19,1
0.69,0.09,-1.23,122,8.4,91.6,17.2,0.01,-0.06,0.11,719,0.65,0.01,23.33,0.0,2.7,0.65,0.64,0.66,303.0,19,1
0.65,0.08,-1.16,222,7.33,92.67,15.01,0.01,-0.06,0.1,278,0.55,0.01,23.12,0.0,2.52,0.55,0.54,0.56,304.0,19,1
9.47,0.51,-4.45,372,47.4,52.6,99.28,0.08,-0.21,0.28,480,9.175,0.02,34.23,0.0,11.21,9.175,9.15,9.2,282.0,21,0
8.65,0.49,-4.13,376,45.71,54.29,95.63,0.08,-0.21,0.28,871,8.575,0.02,33.75,0.0,10.6,8.575,8.55,8.6,283.0,21,0
8.03,0.47,-4.92,606,43.99,56.01,91.9,0.07,-0.2,0.27,731,7.98,0.02,33.22,0.0,10.08,7.98,7.95,8.01,284.0,21,0
7.45,0.45,-4.81,760,42.21,57.79,88.09,0.07,-0.2,0.27,15759,7.39,0.02,32.64,0.0,9.51,7.39,7.37,7.41,285.0,21,0
6.83,0.43,-4.62,408,40.4,59.6,84.2,0.07,-0.19,0.27,660,6.825,0.02,32.09,0.0,8.8,6.825,6.81,6.84,286.0,21,0
6.6,0.42,-4.11,778,38.55,61.45,80.26,0.06,-0.19,0.27,1700,6.28,0.02,31.53,0.0,8.23,6.28,6.26,6.3,287.0,21,0
5.91,0.4,-4.12,293,36.67,63.33,76.24,0.06,-0.18,0.27,1505,5.75,0.02,30.96,0.0,7.68,5.75,5.73,5.77,288.0,21,0
5.33,0.38,-3.83,838,34.74,65.26,72.14,0.06,-0.18,0.26,1431,5.235,0.02,30.36,0.0,7.04,5.235,5.21,5.26,289.0,21,0
4.83,0.35,-3.12,681,32.81,67.19,68.06,0.06,-0.17,0.26,2433,4.76,0.02,29.84,0.0,6.58,4.76,4.74,4.78,290.0,21,0
4.37,0.33,-3.58,1376,30.84,69.16,63.9,0.05,-0.16,0.25,962,4.295,0.02,29.26,0.0,5.7,4.295,4.28,4.31,291.0,21,0
3.93,0.31,-3.27,538,28.86,71.14,59.75,0.05,-0.16,0.24,1008,3.86,0.02,28.71,0.0,5.38,3.86,3.84,3.88,292.0,21,1
3.43,0.29,-3.42,1280,26.87,73.13,55.57,0.05,-0.15,0.24,1688,3.445,0.02,28.15,0.0,4.95,3.445,3.43,3.46,293.0,21,1
3.12,0.27,-2.73,762,24.92,75.08,51.47,0.04,-0.14,0.23,1213,3.065,0.02,27.63,0.0,4.49,3.065,3.05,3.08,294.0,21,1
2.75,0.25,-2.8,1235,22.96,77.04,47.37,0.04,-0.13,0.22,1747,2.705,0.02,27.09,0.0,4.09,2.705,2.69,2.72,295.0,21,1
2.5,0.23,-2.91,456,21.02,78.98,43.33,0.04,-0.12,0.21,1031,2.37,0.02,26.56,0.0,3.5,2.37,2.35,2.39,296.0,21,1
2.18,0.21,-2.19,568,19.13,80.87,39.4,0.03,-0.11,0.2,1292,2.065,0.02,26.05,0.0,3.2,2.065,2.05,2.08,297.0,21,1
1.82,0.19,-2.43,296,17.36,82.64,35.72,0.03,-0.11,0.19,1418,1.8,0.02,25.62,0.0,2.91,1.8,1.79,1.81,298.0,21,1
1.6,0.17,-2.29,1515,15.61,84.39,32.09,0.03,-0.1,0.18,591,1.55,0.01,25.15,0.0,2.45,1.55,1.54,1.56,299.0,21,1
1.35,0.15,-1.77,1715,13.94,86.06,28.63,0.03,-0.09,0.16,1837,1.325,0.01,24.7,0.0,2.27,1.325,1.31,1.34,300.0,21,1
1.14,0.14,-1.74,86,12.41,87.59,25.48,0.02,-0.08,0.15,549,1.135,0.01,24.33,0.0,1.95,1.135,1.12,1.15,301.0,21,1
0.97,0.12,-1.59,530,11.01,88.99,22.58,0.02,-0.07,0.14,1040,0.97,0.01,24.0,0.0,1.72,0.97,0.96,0.98,302.0,21,1
0.81,0.11,-1.39,533,9.68,90.32,19.83,0.02,-0.07,0.13,712,0.82,0.01,23.65,0.0,1.49,0.82,0.81,0.83,303.0,21,1
0.7,0.09,-1.39,231,8.53,91.47,17.47,0.02,-0.06,0.12,1048,0.7,0.01,23.41,0.0,1.19,0.7,0.69,0.71,304.0,21,1
0.61,0.08,-1.33,1214,7.44,92.56,15.24,0.01,-0.05,0.11,2931,0.59,0.01,23.14,0.0,1.13,0.59,0.58,0.6,305.0,21,1
9.81,0.51,-4.19,28,47.37,52.63,99.3,0.09,-0.18,0.3,531,9.535,0.02,32.69,0.0,11.5,9.535,9.5,9.57,282.0,25,0
9.02,0.49,-6.06,30,45.75,54.25,95.78,0.09,-0.18,0.3,98,8.92,0.02,32.19,0.0,10.66,8.92,8.89,8.95,283.0,25,0
8.4,0.47,-7.13,32,44.08,55.92,92.17,0.09,-0.18,0.3,549,8.315,0.02,31.67,0.0,9.94,8.315,8.29,8.34,284.0,25,0
8.27,0.46,-3.63,40,42.38,57.62,88.49,0.08,-0.17,0.3,233,7.72,0.02,31.13,0.0,9.9,7.72,7.69,7.75,285.0,25,0
7.18,0.44,-3.64,209,40.64,59.36,84.76,0.08,-0.17,0.3,649,7.16,0.02,30.65,0.0,9.22,7.16,7.13,7.19,286.0,25,0
7.58,0.42,-2.57,82,38.86,61.14,80.96,0.08,-0.17,0.29,362,6.61,0.02,30.13,0.0,8.13,6.61,6.58,6.64,287.0,25,0
6.28,0.4,-4.26,256,37.06,62.94,77.11,0.07,-0.16,0.29,414,6.085,0.02,29.63,0.0,7.99,6.085,6.06,6.11,288.0,25,0
5.86,0.38,-3.01,514,35.21,64.79,73.19,0.07,-0.16,0.29,1333,5.57,0.02,29.1,0.0,7.08,5.57,5.55,5.59,289.0,25,0
5.15,0.36,-3.62,189,33.34,66.66,69.21,0.07,-0.15,0.28,477,5.075,0.02,28.57,0.0,6.83,5.075,5.05,5.1,290.0,25,0
4.66,0.34,-3.65,539,31.45,68.55,65.21,0.06,-0.15,0.28,182,4.605,0.02,28.05,0.0,6.08,4.605,4.58,4.63,291.0,25,0
