,Option Code,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Volume.1,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,ASK,Exp,Strike
28,SPY200601C260,44.52,1.0,+1.74,3,99.86%,0.14%,0.27%,0.01,-0.01,0.0,3,22,0.005,0.0,102.80%,45.9,44.52,45.905,45.83,45.98,1 JUN 20,260
29,SPY200601C261,40.21,1.0,+5.70,1,99.68%,0.32%,0.64%,0.01,-0.01,0.0,1,5,0.015,0.0,110.16%,44.9,0.0,44.915,44.84,44.99,1 JUN 20,261
30,SPY200601C262,39.42,1.0,+5.85,3,99.75%,0.25%,0.49%,0.01,-0.01,0.0,3,4,0.01,0.0,104.26%,43.9,0.0,43.91,43.84,43.98,1 JUN 20,262
31,SPY200601C263,37.56,1.0,+5.39,1,99.76%,0.24%,0.47%,0.01,-0.01,0.0,1,16,0.01,0.0,101.23%,42.9,0.0,42.91,42.83,42.99,1 JUN 20,263
32,SPY200601C264,40.94,1.0,+.94,5,99.86%,0.14%,0.28%,0.01,-0.01,0.0,5,7,0.005,0.0,93.59%,41.9,40.94,41.905,41.83,41.98,1 JUN 20,264
33,SPY200601C265,39.88,1.0,+.92,5,99.75%,0.25%,0.50%,0.01,-0.01,0.0,5,49,0.01,0.0,97.00%,40.9,39.88,40.91,40.84,40.98,1 JUN 20,265
34,SPY200601C266,0.0,1.0,0,<empty>,99.74%,0.26%,0.52%,0.01,-0.01,0.0,<empty>,2,0.01,0.0,94.88%,39.9,0.0,39.91,39.83,39.99,1 JUN 20,266
35,SPY200601C267,18.55,1.0,-6.71,85,99.73%,0.27%,0.53%,0.01,-0.01,0.0,85,106,0.01,0.0,92.55%,38.9,0.0,38.91,38.83,38.99,1 JUN 20,267
36,SPY200601C268,15.06,1.0,-4.88,54,99.85%,0.15%,0.30%,0.01,-0.01,0.0,54,497,0.005,0.0,84.66%,37.9,0.0,37.905,37.83,37.98,1 JUN 20,268
37,SPY200601C269,27.3,1.0,+8.61,30,99.74%,0.26%,0.52%,0.01,-0.01,0.0,30,75,0.01,0.0,87.31%,36.9,0.0,36.91,36.86,36.96,1 JUN 20,269
38,SPY200601C270,35.41,1.0,+1.45,6,99.72%,0.28%,0.55%,0.01,-0.01,0.0,6,106,0.01,0.0,85.37%,35.9,35.41,35.91,35.84,35.98,1 JUN 20,270
39,SPY200601C271,33.46,1.0,+.36,1,99.71%,0.29%,0.57%,0.01,-0.01,0.0,1,131,0.01,0.0,83.09%,34.9,33.46,34.91,34.83,34.99,1 JUN 20,271
40,SPY200601C272,29.1,1.0,0,0,99.83%,0.17%,0.34%,0.01,-0.01,0.0,0,218,0.005,0.0,76.23%,33.9,0.0,33.905,33.83,33.98,1 JUN 20,272
41,SPY200601C273,28.74,1.0,0,0,99.85%,0.15%,0.30%,0.01,0.0,0.0,0,83,0.005,0.0,72.97%,32.9,0.0,32.905,32.83,32.98,1 JUN 20,273
42,SPY200601C274,30.86,1.0,+1.22,1,99.57%,0.43%,0.85%,0.01,-0.02,0.0,1,321,0.015,0.0,79.42%,31.9,30.86,31.915,31.84,31.99,1 JUN 20,274
43,SPY200601C275,31.1,1.0,+4.78,17,99.56%,0.44%,0.88%,0.01,-0.02,0.0,17,319,0.015,0.0,77.10%,30.9,31.1,30.915,30.85,30.98,1 JUN 20,275
44,SPY200601C276,28.45,0.99,+2.34,6,99.21%,0.79%,1.56%,0.01,-0.03,0.0,6,95,0.03,0.0,80.70%,29.9,28.65,29.93,29.89,29.97,1 JUN 20,276
45,SPY200601C277,29.1,0.99,-.02,11,99.42%,0.58%,1.16%,0.01,-0.02,0.0,11,267,0.02,0.0,74.65%,28.9,29.1,28.92,28.88,28.96,1 JUN 20,277
46,SPY200601C278,25.48,0.99,0,0,99.28%,0.72%,1.43%,0.01,-0.03,0.0,0,516,0.025,0.0,74.06%,27.9,0.0,27.925,27.89,27.96,1 JUN 20,278
47,SPY200601C279,26.18,1.0,0,0,99.65%,0.35%,0.69%,0.01,-0.01,0.0,0,360,0.01,0.0,64.76%,26.9,0.0,26.91,26.87,26.95,1 JUN 20,279
48,SPY200601C280,25.94,0.99,+1.94,46,99.12%,0.88%,1.75%,0.01,-0.03,0.0,46,"1,702",0.03,0.0,70.65%,25.9,25.94,25.93,25.9,25.96,1 JUN 20,280
49,SPY200601C281,23.89,0.99,-.61,1,99.09%,0.91%,1.81%,0.01,-0.03,0.0,1,417,0.03,0.0,68.20%,24.9,23.89,24.93,24.9,24.96,1 JUN 20,281
50,SPY200601C282,23.88,1.0,+1.73,11,99.77%,0.23%,0.45%,0.01,-0.01,0.0,11,217,0.005,0.0,54.54%,23.9,23.88,23.905,23.83,23.98,1 JUN 20,282
51,SPY200601C283,22.16,0.99,-.35,14,99.31%,0.69%,1.38%,0.01,-0.02,0.0,14,498,0.02,0.0,60.05%,22.9,22.16,22.92,22.88,22.96,1 JUN 20,283
52,SPY200601C284,21.83,0.99,+1.24,22,99.28%,0.72%,1.43%,0.01,-0.02,0.0,22,447,0.02,0.0,57.63%,21.9,21.83,21.92,21.88,21.96,1 JUN 20,284
53,SPY200601C285,20.63,0.99,+.83,68,98.98%,1.02%,2.03%,0.01,-0.03,0.0,68,498,0.03,0.0,57.93%,20.9,20.65,20.93,20.89,20.97,1 JUN 20,285
54,SPY200601C286,19.34,0.99,+.61,3,98.95%,1.05%,2.10%,0.01,-0.03,0.0,3,592,0.03,0.0,55.39%,19.9,19.34,19.93,19.89,19.97,1 JUN 20,286
55,SPY200601C287,18.68,1.0,+4.18,8,100.00%,0.00%,0.00%,0.01,0.0,0.0,8,623,0.0,0.0,0.00%,18.9,18.68,18.9,18.85,18.95,1 JUN 20,287
56,SPY200601C288,18.04,0.99,+.98,27,99.16%,0.84%,1.67%,0.01,-0.02,0.0,27,469,0.02,0.0,47.92%,17.9,18.04,17.92,17.88,17.96,1 JUN 20,288
57,SPY200601C289,16.72,0.99,+1.52,60,98.66%,1.34%,2.68%,0.01,-0.03,0.01,60,491,0.035,0.0,48.79%,16.9,16.75,16.935,16.9,16.97,1 JUN 20,289
58,SPY200601C290,16.04,0.99,+.44,117,98.74%,1.26%,2.51%,0.01,-0.03,0.0,117,977,0.03,0.0,45.34%,15.9,16.08,15.93,15.9,15.96,1 JUN 20,290
59,SPY200601C291,15.05,0.99,+1.33,248,98.68%,1.32%,2.64%,0.01,-0.03,0.01,248,651,0.03,0.0,42.79%,14.9,15.05,14.93,14.89,14.97,1 JUN 20,291
60,SPY200601C292,13.99,0.99,+1.88,38,98.79%,1.21%,2.41%,0.01,-0.03,0.0,38,917,0.025,0.0,39.25%,13.9,13.99,13.925,13.89,13.96,1 JUN 20,292
61,SPY200601C293,12.44,1.0,+.78,121,99.65%,0.35%,0.71%,0.01,-0.01,0.0,121,"1,338",0.005,0.0,30.49%,12.9,12.44,12.905,12.83,12.98,1 JUN 20,293
62,SPY200601C294,11.92,0.99,+1.81,121,98.43%,1.57%,3.12%,0.01,-0.03,0.01,121,"1,101",0.03,0.01,35.07%,11.9,11.92,11.93,11.9,11.96,1 JUN 20,294
63,SPY200601C295,11.1,0.98,+1.48,220,98.33%,1.67%,3.33%,0.01,-0.03,0.01,220,"3,345",0.03,0.01,32.47%,10.9,11.1,10.93,10.89,10.97,1 JUN 20,295
64,SPY200601C296,10.18,0.98,+.51,161,98.20%,1.80%,3.58%,0.01,-0.03,0.01,161,"1,256",0.03,0.01,29.86%,9.9,10.21,9.93,9.89,9.97,1 JUN 20,296
65,SPY200601C297,9.17,0.99,+.51,159,99.20%,0.80%,1.60%,0.01,-0.01,0.0,159,"1,217",0.01,0.01,23.37%,8.9,9.19,8.91,8.84,8.98,1 JUN 20,297
66,SPY200601C298,8.06,0.98,+.15,183,97.62%,2.38%,4.75%,0.01,-0.04,0.01,183,"1,030",0.035,0.01,25.16%,7.9,8.11,7.935,7.9,7.97,1 JUN 20,298
67,SPY200601C299,7.1,0.97,+.27,728,97.40%,2.60%,5.19%,0.01,-0.03,0.01,728,"1,962",0.035,0.02,22.38%,6.9,7.1,6.935,6.9,6.97,1 JUN 20,299
68,SPY200601C300,6.14,0.97,+.08,"2,434",96.76%,3.24%,6.47%,0.01,-0.04,0.01,"2,434","5,370",0.04,0.02,20.10%,5.9,6.15,5.94,5.9,5.98,1 JUN 20,300
69,SPY200601C301,5.07,0.95,-.08,"2,299",95.35%,4.65%,9.28%,0.01,-0.06,0.02,"2,299","3,013",0.055,0.03,18.32%,4.9,5.09,4.955,4.92,4.99,1 JUN 20,301
70,SPY200601C302,3.96,0.95,-.30,"5,974",95.25%,4.75%,9.48%,0.01,-0.05,0.02,"5,974","7,743",0.045,0.04,14.65%,3.9,4.24,3.945,3.91,3.98,1 JUN 20,302
71,SPY200601C303,3.01,0.91,-.62,"11,705",90.94%,9.06%,18.10%,0.01,-0.09,0.03,"11,705","4,089",0.09,0.07,13.58%,2.9,3.23,2.99,2.97,3.01,1 JUN 20,303
72,SPY200601C304,2.06,0.85,-.80,"27,085",84.51%,15.49%,30.94%,0.01,-0.15,0.04,"27,085","5,983",0.15,0.13,11.69%,1.9,2.28,2.05,2.03,2.07,1 JUN 20,304
73,SPY200601C305,1.21,0.71,-1.00,"94,453",71.29%,28.71%,57.34%,0.01,-0.29,0.05,"94,453","13,396",0.285,0.21,9.98%,0.9,1.4,1.185,1.18,1.19,1 JUN 20,305
74,SPY200601C306,0.55,0.47,-1.09,"75,066",47.20%,52.80%,94.58%,0.0,-0.54,0.06,"75,066","8,125",0.54,0.27,9.22%,0.0,0.69,0.54,0.53,0.55,1 JUN 20,306
75,SPY200601C307,0.18,0.22,-.92,"40,921",21.67%,78.33%,43.40%,0.0,-0.18,0.05,"40,921","18,984",0.175,0.21,8.78%,0.0,0.29,0.175,0.17,0.18,1 JUN 20,307
76,SPY200601C308,0.05,0.08,-.69,"33,115",8.04%,91.96%,16.10%,0.0,-0.06,0.02,"33,115","15,938",0.055,0.1,9.34%,0.0,0.14,0.055,0.05,0.06,1 JUN 20,308
77,SPY200601C309,0.03,0.04,-.45,"9,664",3.61%,96.39%,7.24%,0.0,-0.03,0.01,"9,664","15,786",0.025,0.05,10.74%,0.0,0.07,0.025,0.02,0.03,1 JUN 20,309
78,SPY200601C310,0.01,0.02,-.27,"5,374",2.03%,97.97%,4.07%,0.0,-0.02,0.01,"5,374","13,931",0.015,0.02,12.45%,0.0,0.04,0.015,0.01,0.02,1 JUN 20,310
79,SPY200601C311,0.01,0.01,-.16,"4,909",0.72%,99.28%,1.45%,0.0,-0.01,0.0,"4,909","6,013",0.005,0.01,12.94%,0.0,0.03,0.005,0.0,0.01,1 JUN 20,311
80,SPY200601C312,0.01,0.01,-.07,"2,612",0.63%,99.37%,1.25%,0.0,-0.01,0.0,"2,612","6,667",0.005,0.01,15.13%,0.0,0.02,0.005,0.0,0.01,1 JUN 20,312
81,SPY200601C313,0.01,0.01,-.04,595,0.55%,99.45%,1.11%,0.0,0.0,0.0,595,"3,785",0.005,0.01,17.28%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,313
82,SPY200601C314,0.01,0.01,-.02,60,0.49%,99.51%,0.99%,0.0,0.0,0.0,60,"2,807",0.005,0.0,19.40%,0.0,0.02,0.005,0.0,0.01,1 JUN 20,314
83,SPY200601C315,0.01,0.0,-.01,94,0.45%,99.55%,0.90%,0.0,0.0,0.0,94,"4,100",0.005,0.0,21.49%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,315
84,SPY200601C316,0.01,0.0,-.01,11,0.41%,99.59%,0.83%,0.0,0.0,0.0,11,"4,735",0.005,0.0,23.55%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,316
85,SPY200601C317,0.01,0.0,0,20,0.38%,99.62%,0.76%,0.0,0.0,0.0,20,457,0.005,0.0,25.59%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,317
86,SPY200601C318,0.01,0.0,0,15,0.35%,99.65%,0.71%,0.0,0.0,0.0,15,659,0.005,0.0,27.60%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,318
87,SPY200601C319,0.01,0.0,0,2,0.33%,99.67%,0.66%,0.0,0.0,0.0,2,"1,310",0.005,0.0,29.59%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,319
88,SPY200601C320,0.01,0.0,0,3,0.31%,99.69%,0.62%,0.0,0.0,0.0,3,"4,206",0.005,0.0,31.57%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,320
89,SPY200601C321,0.01,0.0,0,0,0.29%,99.71%,0.59%,0.0,0.0,0.0,0,280,0.005,0.0,33.53%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,321
90,SPY200601C322,0.02,0.0,0,456,0.28%,99.72%,0.56%,0.0,0.0,0.0,456,493,0.005,0.0,35.46%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,322
91,SPY200601C323,0.01,0.0,-.02,3,0.26%,99.74%,0.53%,0.0,0.0,0.0,3,844,0.005,0.0,37.39%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,323
92,SPY200601C324,0.02,0.0,+.01,41,0.25%,99.75%,0.50%,0.0,0.0,0.0,41,56,0.005,0.0,39.30%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,324
93,SPY200601C325,0.01,0.0,0,8,0.24%,99.76%,0.48%,0.0,-0.01,0.0,8,559,0.005,0.0,41.19%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,325
94,SPY200601C326,0.02,0.0,+.01,56,0.23%,99.77%,0.46%,0.0,-0.01,0.0,56,62,0.005,0.0,43.07%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,326
95,SPY200601C327,0.01,0.0,<empty>,792,0.22%,99.78%,0.44%,0.0,0.0,0.0,792,792,0.005,0.0,44.94%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,327
96,SPY200601C328,0.01,0.0,0,806,0.21%,99.79%,0.42%,0.0,0.0,0.0,806,811,0.005,0.0,46.79%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,328
97,SPY200601C329,0.01,0.0,0,243,0.20%,99.80%,0.41%,0.0,-0.01,0.0,243,255,0.005,0.0,48.63%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,329
98,SPY200601C330,0.01,0.0,0,0,0.20%,99.80%,0.39%,0.0,-0.01,0.0,0,"1,135",0.005,0.0,50.46%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,330
99,SPY200601C335,0.01,0.0,0,2,0.17%,99.83%,0.33%,0.0,0.0,0.0,2,995,0.005,0.0,59.44%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,335
100,SPY200601C340,0.01,0.0,-.01,1,0.14%,99.86%,0.29%,0.0,-0.01,0.0,1,154,0.005,0.0,68.16%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,340
101,SPY200601C345,0.02,0.0,+.01,10,0.13%,99.87%,0.26%,0.0,0.0,0.0,10,254,0.005,0.0,76.66%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,345
102,SPY200601C350,0.01,0.0,0,100,0.11%,99.89%,0.23%,0.0,0.0,0.0,100,356,0.005,0.0,84.95%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,350
103,SPY200601C355,0.01,0.0,0,1,0.10%,99.90%,0.21%,0.0,0.0,0.0,1,3,0.005,0.0,93.06%,0.0,0.01,0.005,0.0,0.01,1 JUN 20,355
104,SPY200601C360,0.0,0.0,0,<empty>,0.09%,99.91%,0.19%,0.0,-0.01,0.0,<empty>,0,0.005,0.0,100.99%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,360
105,SPY200601C365,0.0,0.0,0,<empty>,0.09%,99.91%,0.17%,0.0,0.0,0.0,<empty>,0,0.005,0.0,108.75%,0.0,0.0,0.005,0.0,0.01,1 JUN 20,365
106,SPY200603C145,0.0,1.0,0,<empty>,99.67%,0.33%,0.63%,0.01,-0.03,0.0,<empty>,2,0.035,0.0,288.89%,160.9,0.0,160.935,160.8,161.07,3 JUN 20,145
107,SPY200603C150,0.0,1.0,0,<empty>,99.67%,0.33%,0.63%,0.01,-0.03,0.0,<empty>,2,0.035,0.0,276.45%,155.9,0.0,155.935,155.8,156.07,3 JUN 20,150
108,SPY200603C155,0.0,1.0,0,<empty>,99.75%,0.25%,0.49%,0.01,-0.02,0.0,<empty>,0,0.025,0.0,256.75%,150.9,0.0,150.925,150.79,151.06,3 JUN 20,155
109,SPY200603C160,0.0,1.0,0,<empty>,99.75%,0.25%,0.49%,0.01,-0.02,0.0,<empty>,0,0.025,0.0,245.29%,145.9,0.0,145.925,145.79,146.06,3 JUN 20,160
110,SPY200603C165,0.0,1.0,0,<empty>,99.75%,0.25%,0.49%,0.01,-0.02,0.0,<empty>,0,0.025,0.0,234.17%,140.9,0.0,140.925,140.79,141.06,3 JUN 20,165
111,SPY200603C170,0.0,1.0,0,<empty>,99.74%,0.26%,0.50%,0.01,-0.02,0.0,<empty>,0,0.025,0.0,223.58%,135.9,0.0,135.925,135.79,136.06,3 JUN 20,170
112,SPY200603C175,0.0,1.0,0,<empty>,99.74%,0.26%,0.51%,0.01,-0.02,0.0,<empty>,0,0.025,0.0,213.14%,130.9,0.0,130.925,130.79,131.06,3 JUN 20,175
113,SPY200603C180,0.0,1.0,0,<empty>,99.74%,0.26%,0.51%,0.01,-0.02,0.0,<empty>,0,0.025,0.0,203.09%,125.9,0.0,125.925,125.79,126.06,3 JUN 20,180
114,SPY200603C185,0.0,1.0,0,<empty>,99.73%,0.27%,0.53%,0.02,-0.02,0.0,<empty>,0,0.025,0.0,193.39%,120.9,0.0,120.925,120.79,121.06,3 JUN 20,185
115,SPY200603C190,0.0,1.0,0,<empty>,99.72%,0.28%,0.54%,0.02,-0.02,0.0,<empty>,0,0.025,0.0,183.79%,115.9,0.0,115.925,115.79,116.06,3 JUN 20,190
116,SPY200603C195,0.0,1.0,0,<empty>,99.72%,0.28%,0.55%,0.02,-0.02,0.0,<empty>,0,0.025,0.0,174.57%,110.9,0.0,110.925,110.79,111.06,3 JUN 20,195
117,SPY200603C200,96.87,1.0,+10.55,2,99.62%,0.38%,0.75%,0.02,-0.03,0.0,2,3,0.035,0.0,170.96%,105.9,0.0,105.935,105.8,106.07,3 JUN 20,200
118,SPY200603C205,0.0,1.0,0,<empty>,99.66%,0.34%,0.67%,0.02,-0.03,0.0,<empty>,0,0.03,0.0,159.16%,100.9,0.0,100.93,100.79,101.07,3 JUN 20,205
119,SPY200603C210,0.0,1.0,0,<empty>,99.60%,0.40%,0.79%,0.02,-0.03,0.0,<empty>,0,0.035,0.0,152.64%,95.9,0.0,95.935,95.8,96.07,3 JUN 20,210
120,SPY200603C215,0.0,1.0,0,<empty>,99.49%,0.51%,1.00%,0.02,-0.04,0.0,<empty>,0,0.045,0.0,147.66%,90.9,0.0,90.945,90.82,91.07,3 JUN 20,215
121,SPY200603C220,0.0,1.0,0,<empty>,99.47%,0.53%,1.04%,0.02,-0.04,0.0,<empty>,0,0.045,0.0,138.90%,85.9,0.0,85.945,85.82,86.07,3 JUN 20,220
122,SPY200603C225,0.0,1.0,0,<empty>,99.61%,0.39%,0.77%,0.02,-0.03,0.0,<empty>,0,0.03,0.0,124.84%,80.9,0.0,80.93,80.81,81.05,3 JUN 20,225
123,SPY200603C230,75.12,1.0,+5.77,2,99.59%,0.41%,0.80%,0.02,-0.03,0.0,2,11,0.03,0.0,116.60%,75.9,75.12,75.93,75.81,76.05,3 JUN 20,230
124,SPY200603C235,0.0,1.0,0,<empty>,99.57%,0.43%,0.85%,0.02,-0.03,0.0,<empty>,0,0.03,0.0,108.67%,70.9,0.0,70.93,70.81,71.05,3 JUN 20,235
125,SPY200603C240,48.42,1.0,<empty>,5,99.49%,0.51%,1.00%,0.02,-0.03,0.0,5,5,0.035,0.0,102.34%,65.9,0.0,65.935,65.81,66.06,3 JUN 20,240
126,SPY200603C245,38.86,1.0,-1.03,34,99.46%,0.54%,1.06%,0.02,-0.03,0.0,34,34,0.035,0.0,94.44%,60.9,0.0,60.935,60.88,60.99,3 JUN 20,245
127,SPY200603C250,51.06,1.0,0,0,99.50%,0.50%,0.99%,0.02,-0.03,0.0,0,23,0.03,0.0,85.17%,55.9,0.0,55.93,55.88,55.98,3 JUN 20,250
128,SPY200603C254,0.0,0.99,0,<empty>,99.27%,0.73%,1.45%,0.02,-0.04,0.0,<empty>,0,0.045,0.0,82.78%,51.9,0.0,51.945,51.89,52.0,3 JUN 20,254
129,SPY200603C255,0.0,1.0,0,<empty>,99.78%,0.22%,0.43%,0.02,-0.01,0.0,<empty>,0,0.01,0.0,69.69%,50.9,0.0,50.91,50.84,50.98,3 JUN 20,255
130,SPY200603C256,48.43,0.99,<empty>,26,99.25%,0.75%,1.49%,0.02,-0.04,0.0,26,26,0.045,0.0,79.65%,49.9,48.43,49.945,49.89,50.0,3 JUN 20,256
131,SPY200603C257,38.07,0.99,+8.39,1,99.24%,0.76%,1.51%,0.02,-0.04,0.0,1,1,0.045,0.0,78.09%,48.9,0.0,48.945,48.89,49.0,3 JUN 20,257
132,SPY200603C258,46.45,0.99,<empty>,26,99.16%,0.84%,1.67%,0.02,-0.04,0.01,26,26,0.05,0.0,77.50%,47.9,46.45,47.95,47.89,48.01,3 JUN 20,258
133,SPY200603C259,0.0,0.99,0,<empty>,99.21%,0.79%,1.55%,0.02,-0.04,0.01,<empty>,0,0.045,0.0,74.98%,46.9,0.0,46.945,46.89,47.0,3 JUN 20,259
134,SPY200603C260,45.0,0.99,+1.75,3,99.13%,0.87%,1.72%,0.02,-0.04,0.01,3,18,0.05,0.0,74.36%,45.9,45.0,45.95,45.89,46.01,3 JUN 20,260
135,SPY200603C261,0.0,0.99,0,<empty>,99.12%,0.88%,1.75%,0.02,-0.04,0.01,<empty>,1,0.05,0.0,72.80%,44.9,0.0,44.95,44.89,45.01,3 JUN 20,261
