Strike,BID,ASK,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,expire_days,target,dt_predict
289.0,2.33,2.38,2.3,-0.12,0.4,454,14.74,85.26,28.68,-0.02,-0.19,0.16,6870,2.355,0.01,48.09,0.0,2.9,2.355,19,1,1
235.0,0.58,0.62,0.58,-0.03,0.09,15,3.81,96.19,7.37,-0.01,-0.06,0.06,30,0.6,0.0,62.05,0.0,0.67,0.6,29,1,1
256.0,0.7,0.73,0.72,-0.04,0.15,110,4.95,95.05,9.62,-0.01,-0.09,0.06,5807,0.715,0.0,60.95,0.0,0.79,0.715,19,1,1
271.0,1.14,1.18,1.34,-0.06,0.47,1250,7.83,92.17,15.23,-0.01,-0.12,0.09,4333,1.16,0.0,54.42,0.0,1.41,1.16,19,1,1
270.0,0.63,0.68,0.68,-0.04,0.23,52,5.25,94.75,10.26,0.0,-0.14,0.05,26244,0.655,0.0,65.99,0.0,0.8,0.655,10,1,1
295.0,3.24,3.34,3.83,-0.16,1.18,7,19.11,80.89,37.1,-0.04,-0.19,0.2,255,3.29,0.01,44.43,0.0,3.83,3.29,22,1,1
263.0,0.87,0.9,1.02,-0.05,0.34,447,6.07,93.93,11.81,-0.01,-0.1,0.07,31536,0.885,0.0,57.77,0.0,1.02,0.885,19,1,1
275.0,1.72,1.78,2.05,-0.08,0.66,105,10.6,89.4,20.56,-0.02,-0.12,0.14,35679,1.75,0.0,48.66,0.0,2.09,1.75,26,1,1
265.0,1.1,1.26,1.4,-0.06,0.74,50,7.51,92.49,14.57,-0.01,-0.1,0.1,48,1.18,0.0,53.43,0.0,1.4,1.18,24,1,1
315.0,7.64,7.95,8.25,-0.34,1.86,21,37.29,62.71,72.12,-0.08,-0.24,0.31,125,7.795,0.01,38.82,0.0,9.4,7.795,24,1,1
327.0,7.32,7.49,7.4,-0.48,0.35,2842,50.68,49.32,99.1,-0.03,-0.65,0.17,4928,7.405,0.02,44.94,0.0,10.12,7.405,5,1,0
279.0,1.54,1.58,1.85,-0.08,0.6,72,10.27,89.73,19.98,-0.02,-0.15,0.12,4759,1.56,0.0,51.36,0.0,1.89,1.56,19,1,1
265.0,0.73,0.77,0.89,-0.04,0.28,116,5.51,94.49,10.73,-0.01,-0.11,0.06,13948,0.75,0.0,60.67,0.0,0.89,0.75,15,1,1
300.0,3.75,3.8,3.74,-0.19,0.18,17155,21.95,78.05,42.65,-0.04,-0.23,0.21,189637,3.775,0.01,44.92,0.0,4.75,3.775,19,1,1
250.0,0.65,0.69,0.72,-0.03,0.11,92,4.52,95.48,8.78,-0.01,-0.08,0.06,7,0.67,0.0,60.64,0.0,0.72,0.67,22,1,1
265.0,0.82,0.86,0.91,-0.05,0.28,15,5.96,94.04,11.6,-0.01,-0.11,0.07,273,0.84,0.0,58.53,0.0,0.96,0.84,17,1,1
320.0,8.5,8.59,8.49,-0.39,0.49,11350,42.14,57.86,81.62,-0.07,-0.29,0.29,141193,8.545,0.01,39.1,0.0,10.46,8.545,19,1,1
260.0,0.78,0.82,0.85,-0.04,0.22,481,5.52,94.48,10.74,-0.01,-0.1,0.07,37685,0.8,0.0,59.01,0.0,0.92,0.8,19,1,1
280.0,0.92,0.98,0.87,-0.06,0.16,170,7.54,92.46,14.73,-0.01,-0.18,0.07,654,0.95,0.0,60.3,0.0,1.19,0.95,10,1,1
290.0,2.16,2.23,2.53,-0.12,0.81,126,14.34,85.66,27.93,-0.02,-0.2,0.15,112,2.195,0.01,48.61,0.0,2.6,2.195,17,1,1
300.0,4.49,4.58,4.51,-0.21,0.73,1755,23.92,76.08,46.34,-0.05,-0.2,0.25,1700,4.535,0.01,41.73,0.0,5.59,4.535,26,1,1
325.0,2.35,2.41,2.35,-0.39,-0.02,59022,40.15,59.85,79.57,-0.01,-0.94,0.09,17714,2.38,0.05,35.06,0.0,4.73,2.38,1,1,1
288.0,2.23,2.28,2.32,-0.12,0.16,413,14.21,85.79,27.63,-0.02,-0.18,0.15,14727,2.255,0.01,48.38,0.0,2.81,2.255,19,1,1
245.0,0.75,0.79,0.79,-0.03,0.15,107,4.84,95.16,9.37,-0.01,-0.07,0.07,204,0.77,0.0,57.91,0.0,0.89,0.77,29,1,1
300.0,2.32,2.45,2.24,-0.15,0.38,545,17.41,82.59,34.02,-0.02,-0.31,0.13,1444,2.385,0.01,50.95,0.0,3.13,2.385,10,1,1
230.0,0.51,0.55,0.55,-0.02,0.14,922,3.39,96.61,6.55,-0.01,-0.05,0.05,52907,0.53,0.0,64.14,0.0,0.6,0.53,29,1,1
285.0,2.32,2.55,2.91,-0.12,0.91,19,14.34,85.66,27.83,-0.03,-0.16,0.17,25,2.435,0.0,46.87,0.0,2.91,2.435,24,1,1
307.0,5.06,5.13,5.2,-0.25,0.91,671,28.0,72.0,54.33,-0.05,-0.26,0.24,10596,5.095,0.01,43.04,0.0,6.24,5.095,19,1,1
265.0,1.02,1.08,1.15,-0.05,-0.26,6,6.94,93.06,13.49,-0.01,-0.1,0.09,208,1.05,0.0,54.28,0.0,1.15,1.05,22,1,1
322.0,5.53,5.67,5.63,-0.38,0.79,1094,40.84,59.16,79.94,-0.02,-0.67,0.16,3538,5.6,0.02,47.84,0.0,7.87,5.6,5,1,1
327.0,9.5,9.61,9.61,-0.48,1.75,162,51.11,48.89,99.31,-0.06,-0.38,0.25,913,9.555,0.02,39.27,0.0,12.01,9.555,12,1,1
324.0,10.76,10.88,10.61,-0.44,1.68,89,47.75,52.25,92.17,-0.11,-0.23,0.35,50,10.82,0.01,35.02,0.0,12.87,10.82,26,1,1
295.0,3.95,4.04,4.4,-0.18,1.32,91,21.07,78.93,40.8,-0.05,-0.17,0.24,665,3.995,0.01,41.87,0.0,4.89,3.995,29,1,1
283.0,1.81,1.86,1.98,-0.1,0.31,224,11.86,88.14,23.07,-0.02,-0.16,0.13,5342,1.835,0.0,50.01,0.0,2.2,1.835,19,1,1
313.0,6.48,6.56,6.39,-0.31,0.64,881,34.06,65.94,66.04,-0.06,-0.28,0.27,10923,6.52,0.01,41.35,0.0,7.87,6.52,19,1,1
305.0,5.22,5.5,5.5,-0.24,1.29,99,27.68,72.32,53.6,-0.06,-0.22,0.27,360,5.36,0.01,41.56,0.0,6.1,5.36,24,1,1
265.0,0.92,0.96,0.92,-0.05,0.19,399,6.44,93.56,12.52,-0.01,-0.11,0.08,11482,0.94,0.0,56.84,0.0,1.09,0.94,19,1,1
312.5,7.21,7.32,8.73,-0.31,2.74,10,34.93,65.07,67.54,-0.08,-0.23,0.31,12,7.265,0.01,38.52,0.0,8.73,7.265,26,1,1
325.0,6.54,6.7,6.55,-0.44,0.03,19026,46.58,53.42,91.13,-0.02,-0.66,0.17,12140,6.62,0.02,46.06,0.0,9.2,6.62,5,1,1
296.0,3.15,3.21,3.24,-0.16,0.26,418,19.03,80.97,36.99,-0.03,-0.22,0.19,10896,3.18,0.01,46.05,0.0,3.93,3.18,19,1,1
325.0,10.55,10.67,10.74,-0.45,1.21,83,48.77,51.23,94.28,-0.1,-0.26,0.33,287,10.61,0.01,35.81,0.0,12.74,10.61,22,1,1
324.0,8.37,8.48,8.55,-0.43,1.84,750,46.38,53.62,90.17,-0.05,-0.39,0.24,483,8.425,0.02,40.62,0.0,10.49,8.425,12,1,1
310.0,4.44,4.54,4.5,-0.25,1.0,599,28.11,71.89,54.78,-0.03,-0.35,0.2,8078,4.49,0.01,46.01,0.0,5.8,4.49,12,1,1
302.5,3.08,3.17,3.08,-0.18,0.54,377,20.85,79.15,40.67,-0.02,-0.31,0.16,65,3.125,0.01,48.56,0.0,3.84,3.125,12,1,1
255.0,0.53,0.57,0.53,-0.03,-0.11,21,4.07,95.93,7.92,0.0,-0.09,0.05,134,0.55,0.0,65.76,0.0,0.58,0.55,15,1,1
305.0,3.81,3.9,3.81,-0.21,0.27,7618,24.02,75.98,46.78,-0.03,-0.28,0.2,1074,3.855,0.01,44.66,0.0,4.94,3.855,15,1,1
293.0,2.76,2.82,3.14,-0.14,0.49,431,17.05,82.95,33.15,-0.03,-0.2,0.17,5344,2.79,0.01,46.88,0.0,3.48,2.79,19,1,1
300.0,2.73,2.81,2.73,-0.16,0.15,53388,18.82,81.18,36.72,-0.02,-0.29,0.15,6495,2.77,0.01,49.45,0.0,3.6,2.77,12,1,1
245.0,0.5,0.53,0.54,-0.03,0.11,761,3.62,96.38,7.02,0.0,-0.07,0.05,7499,0.515,0.0,65.98,0.0,0.57,0.515,19,1,1
275.0,1.46,1.51,1.52,-0.08,0.35,5,9.55,90.45,18.57,-0.02,-0.13,0.12,699,1.485,0.0,50.54,0.0,1.61,1.485,22,1,1
310.0,3.88,4.05,4.38,-0.24,0.87,336,26.74,73.26,52.2,-0.02,-0.38,0.18,2137,3.965,0.01,47.09,0.0,5.19,3.965,10,1,1
302.0,4.09,4.16,4.09,-0.21,0.67,354,23.59,76.41,45.81,-0.04,-0.24,0.22,10400,4.125,0.01,44.42,0.0,5.12,4.125,19,1,1
282.0,1.74,1.79,1.94,-0.09,0.43,100,11.45,88.55,22.28,-0.02,-0.16,0.13,3466,1.765,0.0,50.37,0.0,2.18,1.765,19,1,1
320.0,3.89,4.06,3.9,-0.33,0.31,13746,35.04,64.96,68.84,-0.01,-0.85,0.12,7145,3.975,0.02,51.83,0.0,5.9,3.975,3,1,1
325.0,11.48,11.6,11.7,-0.45,0.7,349,49.13,50.87,94.72,-0.13,-0.21,0.37,780,11.54,0.01,33.86,0.0,13.7,11.54,29,1,1
316.0,7.3,7.37,7.35,-0.34,0.83,1085,37.39,62.61,72.45,-0.06,-0.29,0.28,9787,7.335,0.01,40.42,0.0,9.0,7.335,19,1,1
290.0,2.43,2.47,2.48,-0.13,0.4,7287,15.27,84.73,29.69,-0.02,-0.19,0.16,48046,2.45,0.01,47.74,0.0,3.09,2.45,19,1,1
325.0,5.47,5.66,5.53,-0.44,0.38,7964,45.68,54.32,89.65,-0.02,-0.88,0.13,4876,5.565,0.02,48.6,0.0,8.03,5.565,3,1,1
248.0,0.55,0.57,0.62,-0.03,0.15,7,3.92,96.08,7.61,-0.01,-0.08,0.05,1231,0.56,0.0,64.54,0.0,0.63,0.56,19,1,1
260.0,0.69,0.74,0.76,-0.04,-0.11,15,5.11,94.89,9.94,-0.01,-0.1,0.06,113,0.715,0.0,60.85,0.0,0.79,0.715,17,1,1
250.0,0.79,0.83,0.82,-0.04,0.15,29,5.18,94.82,10.04,-0.01,-0.08,0.07,850,0.81,0.0,58.01,0.0,0.9,0.81,26,1,1
275.0,1.58,1.76,1.84,-0.08,0.54,19,10.29,89.71,19.98,-0.02,-0.13,0.13,174,1.67,0.0,49.95,0.0,1.84,1.67,24,1,1
317.0,7.59,7.67,7.72,-0.35,0.94,196,38.55,61.45,74.69,-0.07,-0.29,0.28,15433,7.63,0.01,40.12,0.0,9.23,7.63,19,1,1
315.0,0.69,0.7,0.69,-0.13,0.0,33426,13.24,86.76,26.26,0.0,-0.52,0.05,13686,0.695,0.02,45.44,0.0,1.46,0.695,1,1,1
323.0,9.51,9.6,9.56,-0.42,0.59,2768,45.96,54.04,88.97,-0.08,-0.29,0.3,9381,9.555,0.01,38.05,0.0,11.54,9.555,19,1,1
284.0,1.89,1.94,1.97,-0.1,0.39,1141,12.31,87.69,23.94,-0.02,-0.17,0.14,5483,1.915,0.0,49.71,0.0,2.38,1.915,19,1,1
322.5,7.85,7.95,8.08,-0.41,1.64,169,44.13,55.87,85.8,-0.05,-0.39,0.24,1214,7.9,0.02,41.26,0.0,9.94,7.9,12,1,1
280.0,2.24,2.32,2.4,-0.1,0.29,177,13.08,86.92,25.36,-0.03,-0.13,0.17,4160,2.28,0.0,45.78,0.0,2.8,2.28,29,1,1
308.0,5.27,5.35,5.35,-0.26,0.58,626,28.94,71.06,56.16,-0.05,-0.27,0.25,4920,5.31,0.01,42.76,0.0,6.53,5.31,19,1,1
300.0,1.83,2.02,1.96,-0.14,0.43,462,15.5,84.5,30.36,-0.01,-0.33,0.11,3832,1.925,0.01,52.38,0.0,2.58,1.925,8,1,1
318.0,4.37,4.51,4.46,-0.32,0.68,2079,33.94,66.06,66.48,-0.02,-0.64,0.15,2009,4.44,0.02,49.98,0.0,6.3,4.44,5,1,1
295.0,3.49,3.73,3.62,-0.17,0.78,15,20.03,79.97,38.84,-0.04,-0.19,0.22,87,3.61,0.01,44.12,0.0,4.25,3.61,24,1,1
253.0,0.64,0.66,0.69,-0.03,0.11,15,4.52,95.48,8.78,-0.01,-0.09,0.06,3500,0.65,0.0,62.25,0.0,0.73,0.65,19,1,1
298.0,3.43,3.5,3.46,-0.18,0.59,346,20.45,79.55,39.73,-0.03,-0.23,0.2,5955,3.465,0.01,45.48,0.0,4.29,3.465,19,1,1
252.0,0.62,0.65,0.69,-0.03,0.21,10,4.41,95.59,8.58,-0.01,-0.08,0.06,3554,0.635,0.0,62.78,0.0,0.69,0.635,19,1,1
316.0,3.89,4.03,4.11,-0.29,0.77,766,30.87,69.13,60.48,-0.02,-0.63,0.14,19346,3.96,0.02,51.13,0.0,5.49,3.96,5,1,1
320.0,9.4,9.54,9.42,-0.39,0.56,281,43.0,57.0,83.05,-0.1,-0.23,0.34,3553,9.47,0.01,36.36,0.0,11.2,9.47,26,1,1
254.0,0.66,0.68,0.75,-0.03,0.22,8,4.65,95.35,9.04,-0.01,-0.09,0.06,3500,0.67,0.0,61.79,0.0,0.75,0.67,19,1,1
310.0,1.95,2.07,1.97,-0.18,0.22,2417,19.65,80.35,38.66,-0.01,-0.66,0.09,3530,2.01,0.01,58.4,0.0,3.0,2.01,3,1,1
265.0,1.34,1.4,1.55,-0.06,0.48,62,8.29,91.71,16.07,-0.02,-0.1,0.12,560,1.37,0.0,50.48,0.0,1.55,1.37,29,1,1
300.0,1.48,1.52,1.47,-0.12,0.03,34069,13.46,86.54,26.43,-0.01,-0.4,0.08,58594,1.5,0.01,59.3,0.0,2.15,1.5,5,1,1
312.5,3.16,3.28,3.29,-0.24,0.56,643,25.98,74.02,50.94,-0.01,-0.59,0.13,6144,3.22,0.01,52.99,0.0,4.6,3.22,5,1,1
305.0,4.93,5.03,5.1,-0.23,1.15,35,26.85,73.15,52.06,-0.05,-0.23,0.25,111,4.98,0.01,41.83,0.0,5.91,4.98,22,1,1
275.0,1.03,1.08,1.05,-0.06,0.23,42,7.65,92.35,14.91,-0.01,-0.14,0.08,26343,1.055,0.0,55.84,0.0,1.25,1.055,15,1,1
240.0,0.56,0.62,0.68,-0.03,0.48,2,3.87,96.13,7.5,-0.01,-0.07,0.05,0,0.59,0.0,64.07,0.0,0.68,0.59,24,1,1
250.0,0.6,0.61,0.61,-0.03,0.15,11482,4.2,95.8,8.16,-0.01,-0.08,0.05,19069,0.605,0.0,63.83,0.0,0.71,0.605,19,1,1
290.0,1.42,1.54,1.52,-0.1,0.18,406,11.36,88.64,22.21,-0.01,-0.24,0.1,1121,1.48,0.01,55.42,0.0,1.88,1.48,10,1,1
315.0,7.89,8.0,7.85,-0.34,0.37,118,37.49,62.51,72.47,-0.09,-0.23,0.32,21454,7.945,0.01,37.81,0.0,9.49,7.945,26,1,1
307.5,6.0,6.1,7.33,-0.27,2.27,1,30.18,69.82,58.39,-0.07,-0.22,0.29,17,6.05,0.01,39.87,0.0,7.33,6.05,26,1,1
321.0,8.82,8.91,8.82,-0.4,0.5,286,43.39,56.61,84.02,-0.07,-0.29,0.3,10276,8.865,0.01,38.73,0.0,10.86,8.865,19,1,1
240.0,0.66,0.7,0.71,-0.03,0.07,1473,4.3,95.7,8.31,-0.01,-0.06,0.06,54136,0.68,0.0,59.98,0.0,0.77,0.68,29,1,1
300.0,1.05,1.1,1.05,-0.1,0.21,7184,11.05,88.95,21.75,0.0,-0.46,0.06,7485,1.075,0.01,65.96,0.0,1.48,1.075,3,1,1
275.0,0.76,0.81,0.93,-0.05,0.38,50,6.27,93.73,12.25,-0.01,-0.16,0.06,1109,0.785,0.0,63.1,0.0,0.96,0.785,10,1,1
314.0,5.36,5.46,5.36,-0.3,0.61,132,32.69,67.31,63.67,-0.04,-0.37,0.21,170,5.41,0.01,44.58,0.0,6.69,5.41,12,1,1
246.0,0.52,0.54,0.6,-0.03,0.18,15,3.72,96.28,7.22,0.0,-0.07,0.05,3239,0.53,0.0,65.5,0.0,0.6,0.53,19,1,1
281.0,1.67,1.71,1.97,-0.09,0.67,270,11.03,88.97,21.45,-0.02,-0.16,0.12,3131,1.69,0.0,50.67,0.0,2.01,1.69,19,1,1
312.5,5.0,5.11,5.77,-0.28,1.97,66,30.93,69.07,60.25,-0.03,-0.37,0.21,5279,5.055,0.01,45.16,0.0,6.2,5.055,12,1,1
306.0,4.85,4.92,4.95,-0.24,0.79,433,27.06,72.94,52.53,-0.04,-0.26,0.24,5445,4.885,0.01,43.32,0.0,5.99,4.885,19,1,1
305.0,3.48,3.58,3.58,-0.2,0.71,282,23.08,76.92,45.0,-0.02,-0.32,0.18,14514,3.53,0.01,47.71,0.0,4.5,3.53,12,1,1
275.0,0.93,0.98,0.93,-0.06,0.19,181,7.15,92.85,13.96,-0.01,-0.16,0.07,27724,0.955,0.0,60.57,0.0,1.2,0.955,12,1,1
270.0,1.11,1.14,1.1,-0.06,0.15,1563,7.6,92.4,14.78,-0.01,-0.12,0.09,112384,1.125,0.0,54.88,0.0,1.37,1.125,19,1,1
285.0,1.74,1.81,2.01,-0.1,0.59,123,11.89,88.11,23.17,-0.02,-0.17,0.13,529,1.775,0.0,50.34,0.0,2.03,1.775,17,1,1
326.0,10.6,10.7,10.83,-0.47,0.78,2257,50.0,50.0,96.73,-0.09,-0.28,0.3,11136,10.65,0.01,36.91,0.0,12.77,10.65,19,1,1
316.0,8.18,8.29,9.29,-0.35,-0.44,12,38.56,61.44,74.51,-0.09,-0.23,0.33,1,8.235,0.01,37.54,0.0,9.29,8.235,26,1,1
290.0,0.86,0.91,0.86,-0.07,0.2,2064,8.22,91.78,16.13,0.0,-0.29,0.06,22661,0.885,0.0,65.76,0.0,1.21,0.885,5,1,1
275.0,1.17,1.22,1.39,-0.07,0.5,5,8.3,91.7,16.17,-0.01,-0.14,0.09,198,1.195,0.0,54.19,0.0,1.39,1.195,17,1,1
280.0,2.06,2.13,2.25,-0.1,0.29,57,12.44,87.56,24.13,-0.03,-0.14,0.16,1005,2.095,0.0,47.09,0.0,2.52,2.095,26,1,1
255.0,0.99,1.04,1.09,-0.05,0.16,64,6.28,93.72,12.15,-0.01,-0.08,0.09,257,1.015,0.0,54.06,0.0,1.15,1.015,29,1,1
262.0,0.84,0.87,1.0,-0.04,0.3,47,5.88,94.12,11.43,-0.01,-0.1,0.07,3791,0.855,0.0,58.17,0.0,1.0,0.855,19,1,1
320.0,8.82,8.94,10.33,-0.39,3.13,57,42.47,57.53,82.16,-0.08,-0.26,0.31,558,8.88,0.01,37.52,0.0,10.34,8.88,22,1,1
326.0,11.5,11.62,13.09,-0.47,3.2,15,50.26,49.74,96.99,-0.12,-0.23,0.35,52,11.56,0.01,34.34,0.0,13.65,11.56,26,1,1
320.0,7.98,8.1,8.07,-0.38,1.26,294,41.63,58.37,80.74,-0.06,-0.31,0.28,1732,8.04,0.01,39.39,0.0,9.73,8.04,17,1,1
295.0,0.8,0.88,0.84,-0.08,0.34,833,8.62,91.38,16.96,0.0,-0.4,0.05,3761,0.84,0.01,70.69,0.0,1.05,0.84,3,1,1
322.5,5.68,5.82,5.6,-0.39,1.1,1250,41.75,58.25,81.72,-0.02,-0.67,0.16,805,5.75,0.02,47.49,0.0,8.09,5.75,5,1,1
319.0,8.19,8.27,8.22,-0.37,0.86,1032,40.92,59.08,79.26,-0.07,-0.29,0.29,6778,8.23,0.01,39.44,0.0,9.87,8.23,19,1,1
315.0,7.0,7.1,6.99,-0.33,0.55,16920,36.25,63.75,70.26,-0.06,-0.28,0.28,128658,7.05,0.01,40.72,0.0,8.71,7.05,19,1,1
290.0,0.61,0.67,0.64,-0.06,0.23,830,6.63,93.37,13.04,0.0,-0.33,0.04,3662,0.64,0.0,74.79,0.0,0.79,0.64,3,1,1
310.0,3.22,3.46,3.4,-0.23,0.44,571,24.87,75.13,48.67,-0.02,-0.42,0.15,2705,3.34,0.01,48.09,0.0,4.55,3.34,8,1,1
290.0,2.63,2.71,2.79,-0.13,0.67,131,16.02,83.98,31.12,-0.03,-0.18,0.18,171,2.67,0.01,45.78,0.0,3.17,2.67,22,1,1
300.0,4.28,4.53,4.42,-0.2,0.82,71,23.61,76.39,45.75,-0.05,-0.21,0.24,229,4.405,0.01,42.83,0.0,5.44,4.405,24,1,1
312.0,6.22,6.3,6.14,-0.3,0.24,439,32.99,67.01,63.97,-0.06,-0.28,0.26,10054,6.26,0.01,41.63,0.0,7.6,6.26,19,1,1
290.0,2.85,3.07,3.48,-0.14,1.07,28,16.95,83.05,32.89,-0.03,-0.17,0.19,37,2.96,0.01,45.45,0.0,3.54,2.96,24,1,1
326.0,6.92,7.1,6.9,-0.46,0.01,4109,48.61,51.39,95.07,-0.03,-0.66,0.17,1652,7.01,0.02,45.54,0.0,9.64,7.01,5,1,1
267.0,0.99,1.03,0.96,-0.05,0.03,329,6.88,93.12,13.38,-0.01,-0.11,0.08,2779,1.01,0.0,56.06,0.0,1.16,1.01,19,1,1
307.5,2.33,2.43,2.34,-0.18,0.06,905,20.11,79.89,39.45,-0.01,-0.52,0.11,6301,2.38,0.01,55.54,0.0,3.32,2.38,5,1,1
255.0,0.8,0.94,0.89,-0.04,0.18,12,5.64,94.36,10.94,-0.01,-0.09,0.08,121,0.87,0.0,57.39,0.0,0.98,0.87,24,1,1
291.0,2.54,2.59,2.59,-0.13,0.3,190,15.87,84.13,30.85,-0.03,-0.2,0.16,5977,2.565,0.01,47.49,0.0,3.12,2.565,19,1,1
310.0,4.81,4.92,4.82,-0.26,0.77,90,29.01,70.99,56.45,-0.04,-0.3,0.22,2454,4.865,0.01,43.17,0.0,6.19,4.865,15,1,1
292.0,2.65,2.7,2.73,-0.14,0.26,529,16.45,83.55,31.98,-0.03,-0.2,0.17,38837,2.675,0.01,47.19,0.0,3.32,2.675,19,1,1
325.0,7.22,7.52,7.35,-0.45,0.35,798,47.11,52.89,91.95,-0.04,-0.48,0.2,2074,7.37,0.02,41.31,0.0,9.74,7.37,8,1,1
315.0,6.01,6.12,6.0,-0.32,0.93,252,34.65,65.35,67.38,-0.05,-0.32,0.24,616,6.065,0.01,41.51,0.0,7.68,6.065,15,1,1
320.0,7.46,7.59,7.45,-0.38,0.35,280,41.05,58.95,79.76,-0.06,-0.33,0.26,1096,7.525,0.01,39.81,0.0,9.35,7.525,15,1,1
315.0,5.61,5.72,5.39,-0.31,0.32,3464,33.92,66.08,66.05,-0.04,-0.38,0.22,9701,5.665,0.01,44.22,0.0,7.29,5.665,12,1,1
314.0,3.45,3.58,3.47,-0.26,0.42,1808,27.98,72.02,54.84,-0.01,-0.6,0.14,7926,3.515,0.01,52.16,0.0,5.05,3.515,5,1,1
325.0,9.7,9.82,10.0,-0.45,1.25,855,48.4,51.6,93.8,-0.08,-0.3,0.29,1170,9.76,0.01,37.53,0.0,11.92,9.76,17,1,1
264.0,0.89,0.92,0.97,-0.05,0.22,111,6.22,93.78,12.1,-0.01,-0.11,0.08,2698,0.905,0.0,57.21,0.0,1.02,0.905,19,1,1
303.0,4.26,4.33,4.39,-0.21,0.38,2140,24.4,75.6,47.38,-0.04,-0.25,0.22,9574,4.295,0.01,44.1,0.0,5.23,4.295,19,1,1
280.0,0.67,0.78,0.76,-0.05,0.26,195,6.29,93.71,12.31,0.0,-0.18,0.05,424,0.725,0.0,62.81,0.0,0.9,0.725,8,1,1
250.0,0.51,0.55,0.59,-0.03,0.13,18,3.82,96.18,7.43,0.0,-0.08,0.05,243,0.53,0.0,65.72,0.0,0.59,0.53,17,1,1
250.0,0.86,0.9,0.92,-0.04,0.2,132,5.49,94.51,10.63,-0.01,-0.07,0.08,457,0.88,0.0,55.94,0.0,1.0,0.88,29,1,1
285.0,1.14,1.19,1.25,-0.08,0.25,31,9.15,90.85,17.9,-0.01,-0.21,0.08,13604,1.165,0.0,57.62,0.0,1.45,1.165,10,1,1
295.0,2.14,2.22,2.21,-0.13,0.12,828,15.31,84.69,29.89,-0.02,-0.26,0.13,3814,2.18,0.01,51.28,0.0,2.79,2.18,12,1,1
285.0,1.97,2.02,1.98,-0.11,0.1,29665,12.76,87.24,24.82,-0.02,-0.17,0.14,28778,1.995,0.0,49.38,0.0,2.49,1.995,19,1,1
319.0,9.08,9.2,10.26,-0.38,3.03,1,41.85,58.15,80.84,-0.1,-0.23,0.34,9,9.14,0.01,36.64,0.0,10.26,9.14,26,1,1
261.0,0.81,0.84,0.92,-0.04,0.26,51,5.69,94.31,11.06,-0.01,-0.1,0.07,4510,0.825,0.0,58.57,0.0,0.99,0.825,19,1,1
275.0,1.87,1.94,2.03,-0.09,0.51,109,11.18,88.82,21.66,-0.03,-0.12,0.15,223,1.905,0.0,47.21,0.0,2.31,1.905,29,1,1
245.0,0.56,0.6,0.45,-0.03,-0.22,1,3.95,96.05,7.65,-0.01,-0.07,0.05,14,0.58,0.0,62.81,0.0,0.45,0.58,22,1,1
276.0,1.37,1.42,1.49,-0.07,0.38,315,9.27,90.73,18.04,-0.01,-0.14,0.11,3397,1.395,0.0,52.5,0.0,1.63,1.395,19,1,1
