Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,,
SPY201202C309,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,58.1582,<empty>,58.145,58.10,I,58.19,I,2 DEC 20,309,0,Z,.01,W,SPY201202P309,.01,I,.00,0,0,0.11%,99.89%,0.21%,.00,0,.00,.00,0,132,.005,.00,74.95%,0,<empty>,.005,,
SPY201202C310,52.66,I,1.00,+4.16,5,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,5,3,-.0132,.00,--,57.1582,<empty>,57.145,57.10,I,57.19,I,2 DEC 20,310,0,Z,.01,W,SPY201202P310,.02,C,.00,-.01,670,0.11%,99.89%,0.21%,.00,0,.00,.00,670,"2,723",.005,.00,73.65%,0,<empty>,.005,,
SPY201202C311,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,56.1582,<empty>,56.145,56.10,I,56.19,I,2 DEC 20,311,0,Z,.01,W,SPY201202P311,.01,M,.00,0,0,0.11%,99.89%,0.22%,.00,0,.00,.00,0,167,.005,.00,72.34%,0,<empty>,.005,,
SPY201202C312,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,55.1582,<empty>,55.145,55.10,I,55.19,I,2 DEC 20,312,0,Z,.01,W,SPY201202P312,.01,C,.00,0,0,0.11%,99.89%,0.22%,.00,0,.00,.00,0,71,.005,.00,71.05%,0,<empty>,.005,,
SPY201202C313,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,54.1582,<empty>,54.145,54.10,I,54.19,I,2 DEC 20,313,0,Z,.01,W,SPY201202P313,.01,C,.00,0,0,0.11%,99.89%,0.22%,.00,0,.00,.00,0,329,.005,.00,69.75%,0,<empty>,.005,,
SPY201202C314,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0132,.00,--,53.1582,<empty>,53.145,53.10,I,53.19,I,2 DEC 20,314,0,Z,.01,W,SPY201202P314,.01,D,.00,0,0,0.11%,99.89%,0.23%,.00,0,.00,.00,0,701,.005,.00,68.45%,0,<empty>,.005,,
SPY201202C315,22.00,M,1.00,<empty>,3,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,3,2,-.0582,.00,--,52.1582,<empty>,52.100,52.02,Q,52.18,I,2 DEC 20,315,0,Z,.01,W,SPY201202P315,.02,E,.00,0,0,0.12%,99.88%,0.23%,.00,0,.00,.00,0,"2,912",.005,.00,67.16%,0,<empty>,.005,,
SPY201202C316,41.69,C,.95,+1.47,1,96.08%,3.92%,7.69%,.00,0,-.02,.03,1,2,.0218,.00,112.14%,51.1582,<empty>,51.180,51.10,I,51.26,Q,2 DEC 20,316,0,Z,.01,W,SPY201202P316,.01,W,.00,0,0,0.12%,99.88%,0.23%,.00,0,.00,.00,0,862,.005,.00,65.87%,0,<empty>,.005,,
SPY201202C317,39.23,I,1.00,+3.83,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,4,-.0182,.00,--,50.1582,<empty>,50.140,50.09,Q,50.19,I,2 DEC 20,317,0,Z,.01,W,SPY201202P317,.01,C,.00,0,0,0.12%,99.88%,0.24%,.00,0,.00,.00,0,706,.005,.00,64.59%,0,<empty>,.005,,
SPY201202C318,45.30,N,1.00,+.29,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,13,-.0082,.00,--,49.1582,<empty>,49.150,49.11,Z,49.19,I,2 DEC 20,318,0,Z,.01,W,SPY201202P318,.01,C,.00,0,16,0.12%,99.88%,0.24%,.00,0,.00,.00,16,369,.005,.00,63.31%,0,.01,.005,,
SPY201202C319,0, ,1.00,0,<empty>,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,<empty>,0,-.0082,.00,--,48.1582,<empty>,48.150,48.10,I,48.20,Q,2 DEC 20,319,0,Z,.01,W,SPY201202P319,.01,C,.00,0,1,0.12%,99.88%,0.24%,.00,0,.00,.00,1,206,.005,.00,62.02%,0,.01,.005,,
SPY201202C320,40.86,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,99,-.0082,.00,--,47.1582,<empty>,47.150,47.11,I,47.19,I,2 DEC 20,320,0,Z,.01,W,SPY201202P320,.01,C,.00,-.01,1,0.13%,99.87%,0.25%,.00,0,.00,.00,1,"1,069",.005,.00,60.74%,0,.01,.005,,
SPY201202C321,42.90,C,1.00,+25.80,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,2,-.0082,.00,--,46.1582,<empty>,46.150,46.11,I,46.19,I,2 DEC 20,321,0,Z,.01,W,SPY201202P321,.01,X,.00,0,30,0.13%,99.87%,0.25%,.00,0,.00,.00,30,137,.005,.00,59.47%,0,.01,.005,,
SPY201202C322,39.62,I,1.00,+13.75,2,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,2,3,-.0132,.00,--,45.1582,<empty>,45.145,45.10,I,45.19,I,2 DEC 20,322,0,Z,.01,W,SPY201202P322,.01,W,.00,0,10,0.13%,99.87%,0.26%,.00,0,.00,.00,10,719,.005,.00,58.19%,0,.01,.005,,
SPY201202C323,31.20,W,.95,<empty>,2,96.19%,3.81%,7.50%,.00,0,-.03,.02,2,2,.0268,.00,95.36%,44.1582,<empty>,44.185,44.11,I,44.26,Q,2 DEC 20,323,0,Z,.01,W,SPY201202P323,.01,C,.00,-.01,1,0.13%,99.87%,0.26%,.00,0,.00,.00,1,519,.005,.00,56.92%,0,.01,.005,,
SPY201202C324,38.06,C,.95,+25.02,1,96.20%,3.80%,7.47%,.00,0,-.03,.02,1,5,.0268,.00,92.99%,43.1582,<empty>,43.185,43.11,I,43.26,Q,2 DEC 20,324,0,Z,.01,W,SPY201202P324,.02,P,.00,0,0,0.13%,99.87%,0.27%,.00,0,.00,.00,0,162,.005,.00,55.65%,0,<empty>,.005,,
SPY201202C325,37.89,I,.95,+5.85,2,96.22%,3.78%,7.44%,.00,0,-.03,.02,2,21,.0268,.00,90.64%,42.1582,<empty>,42.185,42.11,I,42.26,Q,2 DEC 20,325,0,Z,.01,W,SPY201202P325,.02,I,.00,0,0,0.14%,99.86%,0.27%,.00,0,.00,.00,0,629,.005,.00,54.38%,0,<empty>,.005,,
SPY201202C326,34.37,C,.95,0,0,96.20%,3.80%,7.49%,.00,0,-.03,.02,0,24,.0318,.00,88.51%,41.1582,<empty>,41.190,41.11,I,41.27,Q,2 DEC 20,326,0,Z,.01,W,SPY201202P326,.01,I,.00,-.01,57,0.14%,99.86%,0.28%,.00,0,.00,.00,57,343,.005,.00,53.11%,0,.01,.005,,
SPY201202C327,33.38,C,.95,0,0,96.24%,3.76%,7.39%,.00,0,-.03,.02,0,17,.0268,.00,85.98%,40.1582,<empty>,40.185,40.11,I,40.26,Q,2 DEC 20,327,0,Z,.01,W,SPY201202P327,.01,W,.00,-.01,"1,683",0.14%,99.86%,0.28%,.00,0,.00,.00,"1,683",636,.005,.00,51.85%,0,.02,.005,,
SPY201202C328,32.36,C,.95,0,0,96.26%,3.74%,7.37%,.00,0,-.03,.02,0,67,.0268,.00,83.68%,39.1582,<empty>,39.185,39.11,I,39.26,Q,2 DEC 20,328,0,P,.01,W,SPY201202P328,.01,C,.00,-.01,6,0.14%,99.86%,0.29%,.00,0,.00,.00,6,197,.005,.00,50.59%,0,.02,.005,,
SPY201202C329,31.37,C,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,32,-.0082,.00,--,38.1582,<empty>,38.150,38.11,I,38.19,I,2 DEC 20,329,0,P,.01,W,SPY201202P329,.01,I,.00,-.01,174,0.15%,99.85%,0.29%,.00,0,.00,.00,174,473,.005,.00,49.32%,0,.01,.005,,
SPY201202C330,32.80,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,243,-.0082,.00,--,37.1582,<empty>,37.150,37.10,I,37.20,Q,2 DEC 20,330,0,P,.01,W,SPY201202P330,.01,D,.00,-.02,"4,796",0.15%,99.85%,0.30%,.00,0,.00,.00,"4,796","16,247",.005,.00,48.06%,0,.02,.005,,
SPY201202C331,29.56,C,.95,0,0,96.28%,3.72%,7.32%,.00,0,-.03,.02,0,57,.0268,.00,76.85%,36.1582,<empty>,36.185,36.11,I,36.26,Q,2 DEC 20,331,0,I,.01,W,SPY201202P331,.01,W,.00,-.02,"8,486",0.15%,99.85%,0.30%,.00,0,.00,.00,"8,486","1,282",.005,.00,46.80%,0,.02,.005,,
SPY201202C332,34.93,J,.95,+6.50,1,96.51%,3.49%,6.88%,.00,0,.00,.02,1,42,.0018,.00,73.51%,35.1582,34.93,35.160,35.11,I,35.21,Q,2 DEC 20,332,0,I,.01,W,SPY201202P332,.01,D,.00,-.02,"7,414",0.16%,99.84%,0.31%,.00,0,.00,.00,"7,414",842,.005,.00,45.55%,0,.02,.005,,
SPY201202C333,28.23,C,.95,0,0,96.21%,3.79%,7.48%,.00,0,-.04,.02,0,84,.0368,.00,72.81%,34.1582,<empty>,34.195,34.11,I,34.28,Q,2 DEC 20,333,.01,P,.02,W,SPY201202P333,.02,C,.00,-.01,618,0.40%,99.60%,0.78%,.00,0,-.01,.00,618,"1,407",.015,.00,49.07%,0,.02,.015,,
SPY201202C334,27.24,C,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,99,-.0082,.00,--,33.1582,<empty>,33.150,33.11,I,33.19,I,2 DEC 20,334,.01,P,.02,W,SPY201202P334,.01,D,.00,-.02,1,0.40%,99.60%,0.80%,.00,0,-.01,.00,1,975,.015,.00,47.66%,0,.01,.015,,
SPY201202C335,30.99,C,.96,+5.36,8,96.45%,3.55%,7.00%,.00,0,-.01,.02,8,85,.0118,.00,67.27%,32.1582,30.99,32.170,32.05,Q,32.29,Q,2 DEC 20,335,.01,P,.02,W,SPY201202P335,.02,C,.00,0,18,0.42%,99.58%,0.84%,.00,0,-.01,.00,18,"2,365",.015,.00,46.45%,0,.02,.015,,
SPY201202C336,30.20,I,.96,+3.49,2,96.56%,3.44%,6.79%,.00,0,.00,.02,2,100,.0018,.00,64.61%,31.1582,30.20,31.160,31.12,I,31.20,Q,2 DEC 20,336,.01,P,.02,W,SPY201202P336,.01,A,.00,-.02,36,0.43%,99.57%,0.86%,.00,0,-.01,.00,36,830,.015,.00,45.08%,0,.03,.015,,
SPY201202C337,29.40,C,.96,+5.43,1,96.46%,3.54%,6.98%,.00,0,-.01,.02,1,61,.0118,.00,62.88%,30.1582,29.40,30.170,30.03,Q,30.31,Q,2 DEC 20,337,.01,W,.02,W,SPY201202P337,.01,W,.00,-.02,7,0.44%,99.56%,0.88%,.00,0,-.01,.00,7,607,.015,.00,43.71%,0,.02,.015,,
SPY201202C338,24.34,C,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,118,-.0082,.00,--,29.1582,<empty>,29.150,29.11,I,29.19,I,2 DEC 20,338,.01,W,.02,W,SPY201202P338,.02,C,.00,-.01,1,0.46%,99.54%,0.90%,.00,0,-.01,.00,1,"1,483",.015,.00,42.35%,0,.02,.015,,
SPY201202C339,21.20,I,.96,0,0,96.06%,3.94%,7.77%,.00,0,-.05,.02,0,16,.0468,.00,60.14%,28.1582,<empty>,28.205,28.11,I,28.30,Q,2 DEC 20,339,.01,W,.02,W,SPY201202P339,.01,C,.00,-.03,4,0.47%,99.53%,0.93%,.00,0,-.01,.00,4,"1,655",.015,.00,40.99%,0,.01,.015,,
SPY201202C340,26.36,A,.96,+3.73,4,96.52%,3.48%,6.86%,.00,0,-.01,.02,4,58,.0068,.00,56.16%,27.1582,26.36,27.165,27.12,I,27.21,Z,2 DEC 20,340,.01,W,.02,W,SPY201202P340,.01,A,.00,-.02,361,0.48%,99.52%,0.96%,.00,0,-.01,.00,361,"12,340",.015,.00,39.63%,0,.02,.015,,
SPY201202C341,26.04,N,.96,+5.56,4,96.59%,3.41%,6.74%,.00,0,.00,.02,4,30,.0018,.00,53.78%,26.1582,26.04,26.160,26.12,I,26.20,I,2 DEC 20,341,.01,W,.02,W,SPY201202P341,.01,A,.00,-.03,96,0.50%,99.50%,0.99%,.00,0,-.01,.00,96,"2,329",.015,.00,38.28%,0,.04,.015,,
SPY201202C342,24.74,C,.96,+5.82,129,96.59%,3.41%,6.74%,.00,0,.00,.02,129,104,.0018,.00,51.65%,25.1582,24.95,25.160,25.12,I,25.20,I,2 DEC 20,342,.01,W,.02,W,SPY201202P342,.02,Q,.00,-.02,778,0.52%,99.48%,1.02%,.00,0,-.02,.00,778,"1,283",.015,.00,36.92%,0,.03,.015,,
SPY201202C343,23.75,C,.96,+4.47,131,95.95%,4.05%,7.99%,.00,0,-.05,.02,131,62,.0468,.00,51.70%,24.1582,23.96,24.205,24.12,I,24.29,Q,2 DEC 20,343,.01,W,.02,W,SPY201202P343,.01,A,.00,-.04,925,0.54%,99.46%,1.06%,.00,0,-.02,.00,925,"1,993",.015,.00,35.56%,0,.03,.015,,
