LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,ASK,Strike,expire_days,expire_price,target,dt_predict,rf_predict,kn_predict
0.84,0.13,0.09,3066,12.62,87.38,25.67,0.02,-0.08,0.15,45075,0.845,0.02,18.85,0.0,1.44,0.845,0.84,0.85,325,16,322.57,WIN,LOSS,WIN,WIN
0.71,0.12,-0.07,151,11.11,88.89,22.59,0.02,-0.07,0.13,10007,0.725,0.02,18.84,0.0,0.83,0.725,0.72,0.73,326,16,322.57,WIN,LOSS,WIN,WIN
0.86,0.3,0.06,41655,28.95,71.05,60.18,0.0,-0.42,0.08,6012,0.875,0.07,20.63,0.0,1.34,0.875,0.87,0.88,313,1,315.7,LOSS,LOSS,LOSS,LOSS
6.05,0.5,0.68,269,47.66,52.34,98.13,0.08,-0.16,0.29,429,6.13,0.02,22.02,0.0,6.55,6.13,6.11,6.15,311,19,325.13,LOSS,LOSS,LOSS,LOSS
1.39,0.18,0.37,17,17.02,82.98,34.69,0.03,-0.08,0.2,154,1.38,0.02,18.67,0.0,1.39,1.38,1.37,1.39,324,21,327.2,LOSS,LOSS,WIN,WIN
6.08,0.45,0.43,73,43.21,56.79,88.97,0.09,-0.14,0.32,648,5.89,0.02,22.22,0.0,6.14,5.89,5.88,5.9,313,23,321.99,LOSS,LOSS,WIN,WIN
0.69,0.08,-0.9,9,7.76,92.24,15.77,0.02,-0.05,0.12,259,0.54,0.01,18.65,0.0,0.0,0.54,0.53,0.55,331,21,327.2,WIN,LOSS,WIN,WIN
1.95,0.35,0.17,676,33.81,66.19,69.23,0.02,-0.2,0.17,1875,2.01,0.04,18.98,0.0,2.4,2.01,2.0,2.02,314,7,316.3,LOSS,LOSS,LOSS,WIN
2.03,0.25,0.25,1311,24.03,75.97,49.07,0.04,-0.11,0.23,1341,2.05,0.02,18.9,0.0,2.33,2.05,2.04,2.06,320,19,325.13,LOSS,LOSS,WIN,WIN
1.56,0.22,0.2,1592,20.52,79.48,41.84,0.03,-0.11,0.2,21580,1.57,0.02,19.26,0.0,1.81,1.57,1.56,1.58,321,16,322.57,LOSS,LOSS,WIN,WIN
0.93,0.16,-0.07,153,15.67,84.33,31.9,0.02,-0.1,0.15,1234,0.9,0.02,17.83,0.0,1.04,0.9,0.89,0.91,321,12,322.71,LOSS,LOSS,WIN,WIN
0.7,0.09,0.01,45,8.07,91.93,16.42,0.02,-0.04,0.15,908,0.695,0.01,19.0,0.0,0.74,0.695,0.69,0.7,335,30,326.63,WIN,LOSS,WIN,WIN
0.68,0.08,0.04,28,7.35,92.65,14.94,0.02,-0.04,0.14,350,0.625,0.01,19.05,0.0,0.68,0.625,0.62,0.63,336,30,326.63,WIN,LOSS,WIN,WIN
4.12,0.49,0.45,3877,47.37,52.63,97.32,0.04,-0.22,0.2,1968,4.185,0.04,21.68,0.0,4.68,4.185,4.17,4.2,311,9,317.88,LOSS,LOSS,LOSS,LOSS
0.53,0.08,0.13,681,7.2,92.8,14.64,0.02,-0.05,0.12,606,0.53,0.01,19.02,0.0,0.6,0.53,0.52,0.54,333,23,321.99,WIN,LOSS,WIN,LOSS
1.26,0.19,0.0,417,18.35,81.65,37.4,0.02,-0.11,0.17,282,1.235,0.02,18.64,0.0,1.39,1.235,1.23,1.24,321,14,323.04,LOSS,LOSS,WIN,WIN
0.57,0.1,0.09,24,9.27,90.73,18.84,0.01,-0.07,0.11,615,0.535,0.02,18.45,0.0,0.61,0.535,0.53,0.54,326,14,323.04,WIN,LOSS,WIN,WIN
4.14,0.37,1.4,42,35.44,64.56,72.65,0.07,-0.13,0.29,172,3.945,0.02,20.62,0.0,4.29,3.945,3.93,3.96,316,21,327.2,LOSS,LOSS,WIN,WIN
4.11,0.35,0.25,10006,32.93,67.07,67.54,0.08,-0.11,0.32,97,4.11,0.02,20.54,0.0,4.3,4.11,4.09,4.13,318,28,325.73,LOSS,LOSS,WIN,LOSS
0.8,0.17,0.01,4028,15.96,84.04,32.5,0.01,-0.12,0.13,10635,0.84,0.03,18.64,0.0,1.07,0.84,0.83,0.85,320,9,317.88,WIN,WIN,LOSS,WIN
1.25,0.3,0.13,2837,29.58,70.42,60.63,0.02,-0.19,0.14,2867,1.28,0.05,16.83,0.0,1.7,1.28,1.27,1.29,314,5,317.68,LOSS,LOSS,LOSS,WIN
4.59,0.39,0.74,12,36.63,63.37,75.19,0.08,-0.12,0.32,115,4.6,0.02,20.65,0.0,4.78,4.6,4.58,4.62,316,26,323.41,LOSS,LOSS,WIN,WIN
2.34,0.39,0.3,1028,38.25,61.75,78.42,0.03,-0.21,0.18,1473,2.435,0.04,19.34,0.0,2.9,2.435,2.42,2.45,313,7,316.3,LOSS,LOSS,LOSS,WIN
1.81,0.28,-0.09,723,27.03,72.97,55.19,0.03,-0.14,0.2,480,1.87,0.03,18.56,0.0,2.19,1.87,1.86,1.88,317,12,322.71,LOSS,WIN,WIN,LOSS
4.44,0.42,0.79,78,39.85,60.15,81.79,0.07,-0.15,0.28,239,4.44,0.03,20.72,0.0,4.78,4.44,4.42,4.46,314,19,325.13,LOSS,LOSS,LOSS,WIN
1.38,0.17,0.32,12,15.96,84.04,32.52,0.04,-0.07,0.22,147,1.405,0.02,18.47,0.0,1.47,1.405,1.39,1.42,326,26,323.41,WIN,LOSS,WIN,WIN
4.52,0.49,0.06,576,47.49,52.51,97.55,0.05,-0.19,0.23,808,4.62,0.03,20.86,0.0,5.07,4.62,4.61,4.63,311,12,322.71,LOSS,LOSS,LOSS,LOSS
2.44,0.3,0.32,1851,28.17,71.83,57.58,0.04,-0.13,0.23,25506,2.45,0.03,19.96,0.0,2.77,2.45,2.44,2.46,318,16,322.57,LOSS,LOSS,WIN,WIN
5.53,0.42,0.34,21,39.42,60.58,81.06,0.1,-0.13,0.34,1163,5.51,0.02,21.48,0.0,5.85,5.51,5.49,5.53,315,28,325.73,LOSS,LOSS,WIN,WIN
1.8,0.3,0.2,763,28.62,71.38,58.48,0.02,-0.17,0.18,2932,1.85,0.03,19.48,0.0,2.19,1.85,1.84,1.86,316,9,317.88,LOSS,LOSS,LOSS,WIN
5.49,0.43,0.29,221,40.91,59.09,84.14,0.08,-0.14,0.31,1494,5.35,0.02,21.84,0.0,5.73,5.35,5.34,5.36,314,23,321.99,LOSS,LOSS,LOSS,WIN
7.15,0.48,0.48,19,45.7,54.3,94.27,0.11,-0.13,0.35,88,7.17,0.02,22.58,0.0,7.49,7.17,7.15,7.19,312,28,325.73,LOSS,LOSS,WIN,WIN
1.3,0.23,0.17,370,21.68,78.32,44.23,0.02,-0.14,0.15,2594,1.25,0.03,18.89,0.0,1.54,1.25,1.24,1.26,318,9,317.88,WIN,LOSS,LOSS,WIN
1.43,0.22,0.08,341,20.79,79.21,42.39,0.03,-0.11,0.19,1194,1.455,0.02,18.78,0.0,1.7,1.455,1.45,1.46,320,14,323.04,LOSS,LOSS,WIN,WIN
0.62,0.1,0.17,21,9.56,90.44,19.44,0.02,-0.06,0.13,386,0.64,0.01,18.25,0.0,0.71,0.64,0.63,0.65,328,19,325.13,WIN,LOSS,WIN,WIN
1.1,0.22,0.18,446,21.39,78.61,43.66,0.01,-0.15,0.14,1275,1.045,0.04,18.06,0.0,1.32,1.045,1.04,1.05,317,7,316.3,WIN,LOSS,LOSS,WIN
5.47,0.4,0.4,42,37.78,62.22,77.72,0.1,-0.12,0.35,2044,5.41,0.02,21.59,0.0,5.7,5.41,5.39,5.43,316,30,326.63,LOSS,LOSS,WIN,WIN
2.15,0.32,0.05,192,30.35,69.65,62.03,0.03,-0.15,0.21,493,2.215,0.03,18.84,0.0,2.53,2.215,2.2,2.23,316,12,322.71,LOSS,WIN,WIN,LOSS
1.81,0.24,0.21,6281,22.87,77.13,46.67,0.03,-0.12,0.21,44609,1.815,0.02,19.4,0.0,2.1,1.815,1.81,1.82,320,16,322.57,LOSS,LOSS,WIN,WIN
1.14,0.17,0.14,2104,16.15,83.85,32.88,0.02,-0.09,0.17,12303,1.145,0.02,18.94,0.0,1.34,1.145,1.14,1.15,323,16,322.57,WIN,LOSS,WIN,WIN
4.07,0.41,0.42,1471,39.42,60.58,80.86,0.06,-0.16,0.26,10220,4.145,0.03,21.34,0.0,4.56,4.145,4.14,4.15,314,16,322.57,LOSS,LOSS,LOSS,WIN
1.64,0.36,0.25,5314,35.19,64.81,72.22,0.02,-0.21,0.15,1965,1.66,0.05,17.21,0.0,2.13,1.66,1.65,1.67,313,5,317.68,LOSS,LOSS,LOSS,LOSS
2.95,0.29,0.07,69,27.56,72.44,56.38,0.06,-0.1,0.29,332,2.96,0.02,19.49,0.0,3.13,2.96,2.94,2.98,320,26,323.41,LOSS,LOSS,WIN,WIN
1.01,0.15,0.05,225,13.77,86.23,28.03,0.02,-0.08,0.17,750,0.99,0.02,18.27,0.0,1.14,0.99,0.98,1.0,325,19,325.13,WIN,LOSS,WIN,LOSS
1.19,0.14,0.17,524,12.84,87.16,26.17,0.04,-0.06,0.2,5701,1.195,0.01,18.91,0.0,1.3,1.195,1.18,1.21,330,30,326.63,WIN,LOSS,WIN,WIN
2.58,0.35,0.08,409,33.78,66.22,69.1,0.04,-0.16,0.22,1457,2.605,0.03,19.17,0.0,2.95,2.605,2.59,2.62,315,12,322.71,LOSS,LOSS,WIN,WIN
1.31,0.15,0.0,2,14.26,85.74,29.06,0.04,-0.07,0.21,0,1.29,0.01,18.68,0.0,1.31,1.29,1.28,1.3,328,28,325.73,WIN,LOSS,WIN,WIN
1.9,0.23,0.73,17,21.66,78.34,44.19,0.04,-0.1,0.22,733,1.775,0.02,18.7,0.0,2.0,1.775,1.76,1.79,321,19,325.13,LOSS,LOSS,WIN,WIN
0.88,0.12,0.15,19,10.58,89.42,21.52,0.03,-0.05,0.16,813,0.85,0.01,18.31,0.0,0.9,0.85,0.84,0.86,330,26,323.41,WIN,LOSS,WIN,WIN
1.2,0.14,0.0,10,12.94,87.06,26.36,0.03,-0.06,0.2,0,1.145,0.01,18.63,0.0,1.2,1.145,1.13,1.16,329,28,325.73,WIN,LOSS,WIN,WIN
1.84,0.21,0.65,4,19.36,80.64,39.5,0.05,-0.08,0.24,92,1.805,0.02,18.67,0.0,1.97,1.805,1.79,1.82,324,26,323.41,WIN,LOSS,WIN,WIN
3.36,0.32,1.42,5,29.83,70.17,61.08,0.07,-0.11,0.3,178,3.34,0.02,19.81,0.0,3.44,3.34,3.32,3.36,319,26,323.41,LOSS,LOSS,WIN,WIN
4.58,0.44,0.55,2940,42.19,57.81,86.62,0.06,-0.17,0.26,8693,4.63,0.03,21.63,0.0,5.11,4.63,4.62,4.64,313,16,322.57,LOSS,LOSS,LOSS,WIN
6.6,0.46,1.94,2,43.65,56.35,89.95,0.11,-0.13,0.35,93,6.595,0.02,22.21,0.0,6.6,6.595,6.57,6.62,313,28,325.73,LOSS,LOSS,WIN,WIN
0.64,0.15,0.03,197,14.76,85.24,30.07,0.01,-0.12,0.11,1507,0.645,0.03,17.74,0.0,0.85,0.645,0.64,0.65,319,7,316.3,WIN,WIN,LOSS,WIN
0.6,0.08,-0.01,27,7.24,92.76,14.72,0.02,-0.04,0.13,189,0.585,0.01,18.83,0.0,0.6,0.585,0.58,0.59,335,28,325.73,WIN,LOSS,WIN,WIN
4.31,0.4,0.11,28,37.92,62.08,77.79,0.07,-0.14,0.29,423,4.385,0.02,20.88,0.0,4.74,4.385,4.37,4.4,315,21,327.2,LOSS,LOSS,LOSS,WIN
5.24,0.49,0.75,722,47.58,52.42,97.83,0.06,-0.18,0.25,1855,5.245,0.03,21.91,0.0,5.71,5.245,5.23,5.26,311,14,323.04,LOSS,LOSS,LOSS,WIN
3.09,0.37,0.4,393,35.43,64.57,72.56,0.05,-0.16,0.24,713,3.17,0.03,20.25,0.0,3.55,3.17,3.16,3.18,315,14,323.04,LOSS,LOSS,WIN,LOSS
0.85,0.11,0.09,27,9.72,90.28,19.79,0.03,-0.05,0.17,1475,0.86,0.01,18.92,0.0,0.92,0.86,0.85,0.87,333,30,326.63,WIN,LOSS,WIN,WIN
0.61,0.09,-0.04,28,8.7,91.3,17.69,0.02,-0.05,0.13,1084,0.615,0.01,18.59,0.0,0.67,0.615,0.61,0.62,330,21,327.2,WIN,LOSS,WIN,WIN
0.72,0.2,0.06,3014,19.58,80.42,40.02,0.01,-0.15,0.11,2143,0.725,0.04,16.31,0.0,1.04,0.725,0.72,0.73,316,5,317.68,LOSS,LOSS,LOSS,LOSS
0.69,0.1,-0.02,116,8.84,91.16,17.97,0.02,-0.05,0.14,492,0.665,0.01,18.83,0.0,0.71,0.665,0.66,0.67,331,23,321.99,WIN,LOSS,WIN,WIN
1.24,0.16,0.25,8,14.41,85.59,29.36,0.03,-0.07,0.2,78,1.235,0.02,18.38,0.0,1.24,1.235,1.22,1.25,327,26,323.41,WIN,LOSS,WIN,WIN
0.51,0.16,-0.01,1539,15.47,84.53,31.58,0.01,-0.13,0.1,4167,0.535,0.04,16.17,0.0,0.8,0.535,0.53,0.54,317,5,317.68,LOSS,WIN,LOSS,WIN
0.55,0.07,0.1,25,6.7,93.3,13.63,0.02,-0.04,0.13,182,0.565,0.01,19.13,0.0,0.55,0.565,0.56,0.57,337,30,326.63,WIN,LOSS,WIN,WIN
2.05,0.23,0.6,4,21.3,78.7,43.47,0.05,-0.09,0.26,9,2.055,0.02,18.86,0.0,2.13,2.055,2.04,2.07,323,26,323.41,WIN,LOSS,WIN,WIN
0.95,0.25,0.05,26182,24.17,75.83,49.46,0.01,-0.17,0.13,21754,0.955,0.05,16.4,0.0,1.34,0.955,0.95,0.96,315,5,317.68,LOSS,LOSS,LOSS,LOSS
0.64,0.12,0.23,190,11.46,88.54,23.29,0.01,-0.08,0.12,1429,0.61,0.02,17.68,0.0,0.75,0.61,0.6,0.62,323,12,322.71,WIN,LOSS,WIN,WIN
0.74,0.11,0.24,11,9.74,90.26,19.81,0.02,-0.06,0.14,183,0.7,0.01,18.54,0.0,0.74,0.7,0.69,0.71,329,21,327.2,WIN,LOSS,WIN,WIN
1.03,0.13,0.13,16,11.75,88.25,23.93,0.03,-0.06,0.18,897,1.02,0.01,18.62,0.0,1.1,1.02,1.01,1.03,330,28,325.73,WIN,LOSS,WIN,WIN
1.18,0.14,0.41,1,12.98,87.02,26.43,0.03,-0.06,0.19,17,1.085,0.01,18.31,0.0,1.18,1.085,1.07,1.1,328,26,323.41,WIN,LOSS,WIN,WIN
5.21,0.4,0.2,2,37.26,62.74,76.56,0.09,-0.12,0.34,788,5.015,0.02,21.15,0.0,5.21,5.015,4.99,5.04,316,28,325.73,LOSS,LOSS,WIN,WIN
2.7,0.3,0.37,140,27.9,72.1,57.04,0.05,-0.12,0.26,435,2.72,0.02,19.63,0.0,2.7,2.72,2.71,2.73,319,21,327.2,LOSS,LOSS,WIN,WIN
3.36,0.3,0.66,360,27.54,72.46,56.41,0.07,-0.1,0.31,1427,3.295,0.02,20.15,0.0,3.54,3.295,3.28,3.31,321,30,326.63,LOSS,LOSS,WIN,WIN
0.55,0.09,-0.01,3,8.5,91.5,17.27,0.02,-0.05,0.12,345,0.56,0.01,18.34,0.0,0.55,0.56,0.55,0.57,329,19,325.13,WIN,LOSS,WIN,WIN
0.75,0.14,-0.1,177,13.42,86.58,27.3,0.02,-0.09,0.13,545,0.74,0.02,17.73,0.0,0.91,0.74,0.73,0.75,322,12,322.71,WIN,LOSS,WIN,LOSS
3.11,0.31,0.13,146,29.06,70.94,59.49,0.06,-0.12,0.28,958,3.08,0.02,20.1,0.0,3.24,3.08,3.07,3.09,319,23,321.99,WIN,LOSS,WIN,WIN
1.6,0.25,-0.17,75,23.93,76.07,48.83,0.03,-0.13,0.19,1440,1.58,0.03,18.37,0.0,1.8,1.58,1.57,1.59,318,12,322.71,LOSS,LOSS,WIN,WIN
3.13,0.33,0.35,26,31.77,68.23,65.01,0.05,-0.13,0.26,384,3.085,0.03,19.7,0.0,3.44,3.085,3.07,3.1,317,19,325.13,LOSS,LOSS,WIN,WIN
1.05,0.19,0.05,1104,18.1,81.9,36.87,0.02,-0.11,0.16,2234,1.08,0.03,17.91,0.0,1.3,1.08,1.07,1.09,320,12,322.71,LOSS,LOSS,LOSS,WIN
0.99,0.15,0.12,273,14.3,85.7,29.11,0.02,-0.09,0.16,9878,0.985,0.02,18.89,0.0,1.11,0.985,0.98,0.99,324,16,322.57,WIN,LOSS,WIN,WIN
3.65,0.38,0.45,5929,36.59,63.41,74.98,0.05,-0.16,0.26,29678,3.665,0.03,20.96,0.0,4.07,3.665,3.66,3.67,315,16,322.57,LOSS,LOSS,LOSS,WIN
2.12,0.22,0.32,652,20.14,79.86,41.14,0.06,-0.08,0.27,6424,2.125,0.02,19.39,0.0,2.28,2.125,2.11,2.14,325,30,326.63,WIN,LOSS,WIN,WIN
4.88,0.44,0.58,47,42.51,57.49,87.33,0.07,-0.15,0.29,520,4.96,0.03,21.1,0.0,5.3,4.96,4.94,4.98,313,19,325.13,LOSS,LOSS,LOSS,WIN
0.51,0.13,0.01,1379,12.1,87.9,24.63,0.01,-0.1,0.1,19526,0.505,0.03,17.68,0.0,0.69,0.505,0.5,0.51,320,7,316.3,WIN,WIN,LOSS,WIN
4.95,0.41,0.75,632,38.57,61.43,79.25,0.08,-0.14,0.31,1941,4.84,0.02,21.47,0.0,5.21,4.84,4.82,4.86,315,23,321.99,LOSS,LOSS,LOSS,WIN
3.5,0.42,0.45,361,40.77,59.23,83.56,0.04,-0.17,0.23,650,3.545,0.03,20.03,0.0,3.96,3.545,3.53,3.56,313,12,322.71,LOSS,LOSS,WIN,LOSS
1.05,0.17,-0.1,54,16.07,83.93,32.73,0.02,-0.1,0.16,233,1.04,0.02,18.5,0.0,1.18,1.04,1.03,1.05,322,14,323.04,WIN,LOSS,WIN,WIN
4.08,0.46,0.55,184,44.15,55.85,90.58,0.05,-0.18,0.23,1084,4.035,0.03,20.31,0.0,4.44,4.035,4.02,4.05,312,12,322.71,LOSS,LOSS,LOSS,WIN
1.85,0.22,0.1,210,20.46,79.54,41.78,0.04,-0.09,0.24,944,1.88,0.02,19.28,0.0,2.03,1.88,1.87,1.89,323,23,321.99,WIN,LOSS,WIN,WIN
0.91,0.15,0.13,20,13.97,86.03,28.44,0.02,-0.09,0.15,374,0.87,0.02,18.37,0.0,1.04,0.87,0.86,0.88,323,14,323.04,WIN,LOSS,WIN,WIN
0.66,0.14,-0.16,926,13.49,86.51,27.45,0.01,-0.1,0.12,1142,0.68,0.02,18.53,0.0,0.86,0.68,0.67,0.69,321,9,317.88,WIN,WIN,LOSS,LOSS
1.54,0.2,0.16,54,19.02,80.98,38.78,0.04,-0.09,0.22,477,1.6,0.02,18.86,0.0,1.75,1.6,1.59,1.61,323,21,327.2,LOSS,LOSS,WIN,WIN
0.93,0.13,0.13,452,12.26,87.74,24.95,0.02,-0.07,0.16,270,0.92,0.02,18.54,0.0,1.0,0.92,0.91,0.93,327,21,327.2,WIN,LOSS,WIN,LOSS
3.51,0.33,0.27,28,31.47,68.53,64.48,0.06,-0.12,0.29,601,3.49,0.02,20.48,0.0,3.75,3.49,3.48,3.5,318,23,321.99,LOSS,LOSS,WIN,WIN
1.02,0.2,0.04,1065,18.74,81.26,38.2,0.02,-0.13,0.14,2161,1.035,0.03,18.8,0.0,1.24,1.035,1.03,1.04,319,9,317.88,WIN,WIN,LOSS,WIN
0.54,0.09,0.05,885,8.57,91.43,17.41,0.01,-0.06,0.11,7102,0.535,0.01,18.89,0.0,0.63,0.535,0.53,0.54,328,16,322.57,WIN,LOSS,WIN,WIN
1.14,0.15,0.41,4,13.61,86.39,27.71,0.03,-0.07,0.18,466,1.04,0.02,18.49,0.0,1.14,1.04,1.03,1.05,326,21,327.2,LOSS,LOSS,WIN,WIN
1.1,0.13,0.09,157,11.71,88.29,23.86,0.03,-0.06,0.19,908,1.07,0.01,18.9,0.0,1.13,1.07,1.06,1.08,331,30,326.63,WIN,LOSS,WIN,WIN
3.92,0.39,-0.08,542,37.16,62.84,76.2,0.06,-0.14,0.28,424,3.955,0.03,20.36,0.0,4.19,3.955,3.94,3.97,315,19,325.13,LOSS,LOSS,LOSS,LOSS
1.84,0.2,0.45,8,18.97,81.03,38.72,0.05,-0.08,0.25,181,1.865,0.02,19.02,0.0,1.98,1.865,1.85,1.88,325,28,325.73,WIN,LOSS,WIN,WIN
0.56,0.12,-0.04,817,11.28,88.72,22.95,0.01,-0.09,0.1,6290,0.545,0.02,18.43,0.0,0.71,0.545,0.54,0.55,322,9,317.88,WIN,WIN,WIN,WIN
0.85,0.19,0.01,287,17.94,82.06,36.57,0.01,-0.13,0.12,788,0.83,0.03,17.92,0.0,1.03,0.83,0.82,0.84,318,7,316.3,WIN,WIN,LOSS,LOSS
2.18,0.22,0.0,187,20.71,79.29,42.29,0.05,-0.09,0.26,0,2.095,0.02,19.14,0.0,2.18,2.095,2.08,2.11,324,28,325.73,WIN,LOSS,WIN,WIN
2.38,0.28,0.19,46,26.59,73.41,54.33,0.05,-0.12,0.25,828,2.375,0.02,19.21,0.0,2.58,2.375,2.36,2.39,319,19,325.13,LOSS,LOSS,WIN,WIN
2.88,0.31,0.13,183,29.19,70.81,59.68,0.05,-0.12,0.26,333,2.725,0.02,19.49,0.0,3.03,2.725,2.71,2.74,318,19,325.13,LOSS,LOSS,WIN,WIN
7.12,0.5,0.78,1906,47.67,52.33,98.35,0.09,-0.15,0.32,1574,7.015,0.02,22.9,0.0,7.46,7.015,7.0,7.03,311,23,321.99,LOSS,LOSS,LOSS,LOSS
3.91,0.36,0.57,188,33.77,66.23,69.25,0.07,-0.13,0.3,1133,3.88,0.02,20.7,0.0,4.1,3.88,3.87,3.89,317,23,321.99,LOSS,LOSS,WIN,WIN
0.69,0.09,0.0,8,8.61,91.39,17.5,0.02,-0.05,0.14,0,0.67,0.01,18.38,0.0,0.71,0.67,0.66,0.68,332,26,323.41,WIN,LOSS,WIN,WIN
4.45,0.36,0.29,45,33.65,66.35,69.1,0.09,-0.11,0.34,957,4.48,0.02,20.97,0.0,4.7,4.48,4.46,4.5,318,30,326.63,LOSS,LOSS,WIN,WIN
4.57,0.46,0.17,218,44.64,55.36,91.68,0.06,-0.18,0.25,815,4.675,0.03,21.48,0.0,5.08,4.675,4.66,4.69,312,14,323.04,LOSS,LOSS,LOSS,LOSS
2.18,0.34,0.24,3642,32.41,67.59,66.31,0.03,-0.19,0.19,15081,2.24,0.04,19.94,0.0,2.63,2.24,2.23,2.25,315,9,317.88,LOSS,LOSS,LOSS,WIN
