Strike,BID,ASK,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,expire_days,target
285,0.68,0.69,0.67,-0.09,-0.15,248,9.75,90.25,19.26,-0.01,-0.13,0.08,1617,0.685,0.01,32.34,0.0,1.02,0.685,9,1
286,0.75,0.76,0.79,-0.1,-0.95,66,10.64,89.36,21.02,-0.01,-0.14,0.09,607,0.755,0.01,31.96,0.0,1.2,0.755,9,1
287,0.82,0.83,0.91,-0.11,-0.16,99,11.55,88.45,22.82,-0.01,-0.14,0.09,827,0.825,0.01,31.5,0.0,1.34,0.825,9,1
288,0.89,0.91,0.88,-0.12,-0.18,211,12.53,87.47,24.74,-0.01,-0.15,0.1,723,0.9,0.01,31.02,0.0,1.49,0.9,9,1
289,0.98,0.99,0.98,-0.13,-0.25,47,13.61,86.39,26.87,-0.01,-0.16,0.1,860,0.985,0.01,30.57,0.0,1.55,0.985,9,1
290,1.07,1.09,1.08,-0.14,-0.18,428,14.79,85.21,29.21,-0.01,-0.17,0.11,3632,1.08,0.01,30.14,0.0,1.72,1.08,9,1
291,1.17,1.19,1.16,-0.15,-0.34,177,16.04,83.96,31.68,-0.01,-0.17,0.12,816,1.18,0.02,29.67,0.0,1.84,1.18,9,1
292,1.29,1.31,1.27,-0.16,-0.2,128,17.47,82.53,34.49,-0.01,-0.18,0.12,2031,1.3,0.02,29.27,0.0,2.01,1.3,9,1
293,1.41,1.43,1.4,-0.18,-0.28,646,18.92,81.08,37.36,-0.02,-0.19,0.13,768,1.42,0.02,28.79,0.0,2.19,1.42,9,1
294,1.54,1.57,1.58,-0.19,-0.38,72,20.52,79.48,40.52,-0.02,-0.2,0.14,841,1.555,0.02,28.33,0.0,2.25,1.555,9,1
295,1.69,1.71,1.67,-0.21,-0.23,1142,22.23,77.77,43.88,-0.02,-0.2,0.15,1219,1.7,0.02,27.84,0.0,2.58,1.7,9,1
296,1.86,1.87,1.82,-0.23,-0.41,553,24.1,75.9,47.57,-0.02,-0.21,0.15,1040,1.865,0.02,27.4,0.0,2.81,1.865,9,1
297,2.03,2.05,2.07,-0.25,-0.18,389,26.08,73.92,51.48,-0.02,-0.22,0.16,911,2.04,0.02,26.91,0.0,3.0,2.04,9,1
298,2.22,2.25,2.21,-0.27,-0.23,173,28.22,71.78,55.7,-0.02,-0.22,0.17,491,2.235,0.02,26.44,0.0,3.2,2.235,9,1
299,2.44,2.46,2.41,-0.29,-0.5,163,30.53,69.47,60.24,-0.02,-0.23,0.17,814,2.45,0.03,25.98,0.0,3.51,2.45,9,1
300,2.67,2.69,2.66,-0.31,-0.24,478,32.97,67.03,65.04,-0.03,-0.23,0.18,1997,2.68,0.03,25.49,0.0,3.9,2.68,9,1
301,2.93,2.94,2.91,-0.34,-0.52,451,35.58,64.42,70.19,-0.03,-0.24,0.19,1089,2.935,0.03,25.01,0.0,4.22,2.935,9,1
302,3.2,3.23,3.15,-0.37,-0.37,243,38.37,61.63,75.67,-0.03,-0.24,0.19,737,3.215,0.03,24.53,0.0,4.55,3.215,9,1
303,3.51,3.54,3.45,-0.4,-0.29,827,41.32,58.68,81.48,-0.03,-0.24,0.2,1101,3.525,0.03,24.07,0.0,4.95,3.525,9,1
304,3.84,3.87,3.82,-0.43,-0.26,511,44.42,55.58,87.58,-0.04,-0.24,0.2,546,3.855,0.03,23.57,0.0,5.25,3.855,9,1
305,4.21,4.24,4.22,-0.46,-0.23,1792,47.69,52.31,94.0,-0.04,-0.24,0.2,622,4.225,0.03,23.12,0.0,5.84,4.225,9,1
276,0.52,0.53,0.58,-0.06,-0.03,112,6.65,93.35,13.11,-0.01,-0.1,0.06,7384,0.525,0.01,36.95,0.0,0.72,0.525,11,1
277,0.56,0.57,0.61,-0.06,-0.1,60,7.13,92.87,14.05,-0.01,-0.1,0.07,23751,0.565,0.01,36.51,0.0,0.89,0.565,11,1
278,0.6,0.62,0.65,-0.07,-0.06,202,7.65,92.35,15.09,-0.01,-0.11,0.07,3989,0.61,0.01,36.1,0.0,0.85,0.61,11,1
279,0.65,0.66,0.64,-0.07,-0.31,420,8.19,91.81,16.14,-0.01,-0.11,0.08,1786,0.655,0.01,35.64,0.0,1.03,0.655,11,1
280,0.7,0.71,0.71,-0.08,-0.1,419,8.78,91.22,17.3,-0.01,-0.12,0.08,22712,0.705,0.01,35.2,0.0,1.09,0.705,11,1
281,0.75,0.76,0.76,-0.08,-0.11,126,9.37,90.63,18.48,-0.01,-0.12,0.09,1543,0.755,0.01,34.71,0.0,1.11,0.755,11,1
282,0.81,0.82,0.81,-0.09,-0.2,238,10.06,89.94,19.84,-0.01,-0.13,0.09,12983,0.815,0.01,34.29,0.0,1.12,0.815,11,1
283,0.87,0.89,0.86,-0.1,-0.14,1628,10.8,89.2,21.3,-0.01,-0.13,0.1,6590,0.88,0.01,33.86,0.0,1.31,0.88,11,1
284,0.94,0.96,0.94,-0.1,-0.11,704,11.59,88.41,22.86,-0.01,-0.14,0.1,5406,0.95,0.01,33.43,0.0,1.46,0.95,11,1
285,1.02,1.03,1.0,-0.11,-0.14,688,12.44,87.56,24.52,-0.01,-0.14,0.11,29730,1.025,0.01,33.0,0.0,1.54,1.025,11,1
286,1.1,1.11,1.09,-0.12,-0.16,141,13.33,86.67,26.28,-0.01,-0.15,0.11,1597,1.105,0.01,32.55,0.0,1.61,1.105,11,1
287,1.18,1.2,1.19,-0.13,-0.16,1060,14.29,85.71,28.16,-0.01,-0.16,0.12,31897,1.19,0.01,32.09,0.0,1.79,1.19,11,1
288,1.28,1.3,1.27,-0.14,-0.18,917,15.36,84.64,30.27,-0.01,-0.16,0.12,2742,1.29,0.01,31.69,0.0,1.91,1.29,11,1
289,1.39,1.4,1.38,-0.15,-0.27,9828,16.49,83.51,32.49,-0.02,-0.17,0.13,3056,1.395,0.01,31.26,0.0,2.05,1.395,11,1
290,1.49,1.5,1.49,-0.16,-0.17,3674,17.61,82.39,34.7,-0.02,-0.17,0.14,41442,1.495,0.01,30.73,0.0,2.21,1.495,11,1
291,1.61,1.63,1.63,-0.17,-0.17,276,18.91,81.09,37.26,-0.02,-0.18,0.14,1847,1.62,0.02,30.32,0.0,2.31,1.62,11,1
292,1.74,1.76,1.72,-0.19,-0.24,1602,20.27,79.73,39.94,-0.02,-0.19,0.15,3036,1.75,0.02,29.87,0.0,2.54,1.75,11,1
293,1.89,1.9,1.85,-0.2,-0.29,294,21.75,78.25,42.85,-0.02,-0.19,0.16,1883,1.895,0.02,29.44,0.0,2.43,1.895,11,1
294,2.03,2.05,2.03,-0.22,-0.42,126,23.26,76.74,45.83,-0.02,-0.2,0.16,1163,2.04,0.02,28.94,0.0,2.93,2.04,11,1
295,2.19,2.22,2.18,-0.23,-0.24,3683,24.92,75.08,49.1,-0.02,-0.2,0.17,16913,2.205,0.02,28.48,0.0,3.15,2.205,11,1
296,2.37,2.39,2.37,-0.25,-0.2,331,26.67,73.33,52.54,-0.03,-0.21,0.18,1508,2.38,0.02,28.01,0.0,3.34,2.38,11,1
297,2.56,2.59,2.52,-0.27,-0.25,471,28.56,71.44,56.26,-0.03,-0.21,0.18,2054,2.575,0.02,27.55,0.0,3.59,2.575,11,1
298,2.77,2.79,2.75,-0.29,-0.25,445,30.54,69.46,60.16,-0.03,-0.22,0.19,6216,2.78,0.02,27.07,0.0,3.9,2.78,11,1
299,2.99,3.02,2.98,-0.31,-0.26,417,32.66,67.34,64.32,-0.03,-0.22,0.2,1670,3.005,0.02,26.6,0.0,4.18,3.005,11,1
300,3.23,3.26,3.24,-0.33,-0.22,5176,34.9,65.1,68.72,-0.03,-0.22,0.2,21968,3.245,0.03,26.1,0.0,4.49,3.245,11,1
301,3.49,3.52,3.47,-0.36,-0.25,928,37.27,62.73,73.38,-0.04,-0.22,0.21,5769,3.505,0.03,25.61,0.0,4.81,3.505,11,1
302,3.78,3.81,3.75,-0.38,-0.28,776,39.79,60.21,78.33,-0.04,-0.23,0.21,5408,3.795,0.03,25.15,0.0,5.18,3.795,11,1
303,4.09,4.12,4.05,-0.41,-0.28,1074,42.44,57.56,83.53,-0.04,-0.23,0.22,1991,4.105,0.03,24.68,0.0,5.56,4.105,11,0
304,4.43,4.45,4.39,-0.43,-0.28,1919,45.22,54.78,88.98,-0.04,-0.22,0.22,2357,4.44,0.03,24.2,0.0,5.98,4.44,11,0
305,4.78,4.82,4.8,-0.46,-0.32,2402,48.12,51.88,94.67,-0.05,-0.22,0.22,2982,4.8,0.03,23.72,0.0,6.39,4.8,11,0
272,0.51,0.52,0.55,-0.05,-0.21,16,6.09,93.91,11.98,-0.01,-0.08,0.07,284,0.515,0.0,36.58,0.0,0.68,0.515,14,1
273,0.54,0.56,0.55,-0.06,-0.54,83,6.48,93.52,12.76,-0.01,-0.08,0.07,209,0.55,0.01,36.17,0.0,0.64,0.55,14,1
274,0.58,0.59,0.69,-0.06,-0.49,10,6.88,93.12,13.54,-0.01,-0.09,0.07,309,0.585,0.01,35.73,0.0,0.77,0.585,14,1
275,0.62,0.63,0.62,-0.06,-0.12,79,7.32,92.68,14.42,-0.01,-0.09,0.08,677,0.625,0.01,35.32,0.0,0.92,0.625,14,1
276,0.66,0.68,0.67,-0.07,-0.49,85,7.81,92.19,15.39,-0.01,-0.09,0.08,135,0.67,0.01,34.93,0.0,0.99,0.67,14,1
277,0.71,0.72,0.75,-0.07,-0.1,65,8.31,91.69,16.37,-0.01,-0.1,0.09,290,0.715,0.01,34.51,0.0,1.08,0.715,14,1
278,0.76,0.77,0.84,-0.08,-0.19,32,8.86,91.14,17.44,-0.01,-0.1,0.09,284,0.765,0.01,34.1,0.0,1.02,0.765,14,1
279,0.81,0.82,0.93,-0.08,-0.07,10,9.42,90.58,18.54,-0.01,-0.1,0.1,208,0.815,0.01,33.65,0.0,1.05,0.815,14,1
280,0.87,0.88,0.87,-0.09,-0.2,1282,10.05,89.95,19.8,-0.01,-0.11,0.1,4001,0.875,0.01,33.27,0.0,1.3,0.875,14,1
281,0.93,0.94,1.0,-0.1,-0.15,104,10.7,89.3,21.08,-0.01,-0.11,0.11,427,0.935,0.01,32.84,0.0,1.22,0.935,14,1
282,1.0,1.01,1.02,-0.1,-0.17,15,11.44,88.56,22.52,-0.01,-0.12,0.11,447,1.005,0.01,32.47,0.0,1.48,1.005,14,1
283,1.07,1.08,1.15,-0.11,-0.31,524,12.18,87.82,23.99,-0.01,-0.12,0.12,761,1.075,0.01,32.04,0.0,1.5,1.075,14,1
284,1.15,1.16,1.25,-0.12,-0.69,13,13.01,86.99,25.61,-0.02,-0.13,0.12,593,1.155,0.01,31.66,0.0,1.53,1.155,14,1
285,1.22,1.24,1.22,-0.12,-0.18,124,13.82,86.18,27.21,-0.02,-0.13,0.13,1115,1.23,0.01,31.18,0.0,1.83,1.23,14,1
286,1.32,1.33,1.36,-0.13,-0.13,79,14.78,85.22,29.09,-0.02,-0.14,0.13,486,1.325,0.01,30.81,0.0,1.9,1.325,14,1
287,1.41,1.43,1.43,-0.14,-0.17,60,15.75,84.25,31.02,-0.02,-0.14,0.14,723,1.42,0.01,30.4,0.0,1.89,1.42,14,1
288,1.51,1.54,1.51,-0.15,-0.17,105,16.81,83.19,33.09,-0.02,-0.15,0.15,584,1.525,0.01,29.99,0.0,2.14,1.525,14,1
289,1.63,1.65,1.69,-0.16,-0.15,223,17.94,82.06,35.32,-0.02,-0.15,0.15,303,1.64,0.01,29.6,0.0,2.21,1.64,14,1
290,1.74,1.77,1.76,-0.18,-0.19,3809,19.1,80.9,37.6,-0.02,-0.16,0.16,2465,1.755,0.01,29.15,0.0,2.51,1.755,14,1
291,1.88,1.9,1.87,-0.19,-0.32,48,20.4,79.6,40.16,-0.02,-0.16,0.17,472,1.89,0.02,28.77,0.0,2.61,1.89,14,1
292,2.02,2.04,2.0,-0.2,-0.64,75,21.75,78.25,42.81,-0.03,-0.17,0.17,529,2.03,0.02,28.36,0.0,2.52,2.03,14,1
293,2.16,2.18,2.25,-0.21,-1.75,27,23.14,76.86,45.53,-0.03,-0.17,0.18,290,2.17,0.02,27.88,0.0,3.05,2.17,14,1
294,2.32,2.34,2.28,-0.23,-0.28,467,24.65,75.35,48.51,-0.03,-0.17,0.19,645,2.33,0.02,27.45,0.0,3.22,2.33,14,1
295,2.5,2.51,2.49,-0.25,-0.27,161,26.28,73.72,51.7,-0.03,-0.18,0.2,3570,2.505,0.02,27.04,0.0,3.44,2.505,14,1
296,2.68,2.7,2.7,-0.26,-0.76,62,27.98,72.02,55.06,-0.03,-0.18,0.2,556,2.69,0.02,26.6,0.0,3.61,2.69,14,1
297,2.88,2.9,2.88,-0.28,-0.24,75,29.8,70.2,58.62,-0.04,-0.18,0.21,566,2.89,0.02,26.17,0.0,3.97,2.89,14,1
298,3.09,3.12,3.09,-0.3,-0.81,354,31.71,68.29,62.39,-0.04,-0.19,0.22,335,3.105,0.02,25.73,0.0,4.19,3.105,14,1
299,3.32,3.35,3.46,-0.32,-0.12,52,33.74,66.26,66.37,-0.04,-0.19,0.22,373,3.335,0.02,25.29,0.0,4.42,3.335,14,1
300,3.57,3.6,3.54,-0.34,-0.31,554,35.88,64.12,70.57,-0.04,-0.19,0.23,1424,3.585,0.02,24.85,0.0,4.81,3.585,14,1
301,3.84,3.87,3.8,-0.36,-0.28,106,38.14,61.86,75.01,-0.05,-0.19,0.23,617,3.855,0.02,24.42,0.0,5.09,3.855,14,0
302,4.12,4.15,4.12,-0.39,-0.33,98,40.5,59.5,79.64,-0.05,-0.19,0.24,1123,4.135,0.03,23.93,0.0,5.39,4.135,14,0
303,4.44,4.47,4.52,-0.41,-0.24,77,43.01,56.99,84.56,-0.05,-0.19,0.24,458,4.455,0.03,23.53,0.0,5.91,4.455,14,0
304,4.78,4.81,4.76,-0.44,-0.29,391,45.63,54.37,89.69,-0.06,-0.19,0.24,505,4.795,0.03,23.1,0.0,6.3,4.795,14,0
305,5.14,5.17,5.08,-0.47,-0.5,1091,48.35,51.65,95.02,-0.06,-0.19,0.25,808,5.155,0.03,22.66,0.0,6.75,5.155,14,0
266,0.51,0.52,0.51,-0.05,-0.45,11,5.52,94.48,10.85,-0.01,-0.07,0.06,134,0.515,0.0,39.53,0.0,0.59,0.515,16,1
267,0.54,0.55,0.63,-0.05,-0.37,18,5.83,94.17,11.45,-0.01,-0.08,0.07,142,0.545,0.0,39.12,0.0,0.65,0.545,16,1
268,0.57,0.58,0.57,-0.05,-0.47,13,6.14,93.86,12.06,-0.01,-0.08,0.07,160,0.575,0.0,38.68,0.0,0.73,0.575,16,1
269,0.6,0.61,0.75,-0.05,-0.05,11,6.46,93.54,12.69,-0.01,-0.08,0.07,73,0.605,0.0,38.22,0.0,0.79,0.605,16,1
270,0.63,0.64,0.63,-0.06,-0.11,76,6.78,93.22,13.32,-0.01,-0.08,0.08,1380,0.635,0.0,37.74,0.0,0.93,0.635,16,1
271,0.67,0.68,0.79,-0.06,-0.25,6,7.18,92.82,14.11,-0.01,-0.09,0.08,122,0.675,0.0,37.36,0.0,0.89,0.675,16,1
272,0.71,0.72,0.75,-0.07,-0.05,6,7.58,92.42,14.9,-0.01,-0.09,0.08,316,0.715,0.01,36.95,0.0,0.83,0.715,16,1
273,0.75,0.76,0.87,-0.07,-0.13,25,7.99,92.01,15.71,-0.01,-0.09,0.09,1282,0.755,0.01,36.5,0.0,0.98,0.755,16,1
274,0.8,0.81,0.89,-0.07,-0.06,6,8.48,91.52,16.67,-0.01,-0.1,0.09,550,0.805,0.01,36.14,0.0,0.92,0.805,16,1
275,0.85,0.86,0.86,-0.08,-0.09,210,8.98,91.02,17.64,-0.01,-0.1,0.1,4010,0.855,0.01,35.75,0.0,1.19,0.855,16,1
276,0.9,0.91,0.9,-0.08,-0.79,113,9.48,90.52,18.63,-0.01,-0.1,0.1,402,0.905,0.01,35.32,0.0,1.15,0.905,16,1
277,0.96,0.97,1.08,-0.09,-0.05,3,10.05,89.95,19.76,-0.01,-0.11,0.11,350,0.965,0.01,34.95,0.0,1.39,0.965,16,1
278,1.02,1.03,1.03,-0.09,-0.1,1,10.64,89.36,20.91,-0.01,-0.11,0.11,2254,1.025,0.01,34.55,0.0,1.03,1.025,16,1
279,1.08,1.09,1.23,-0.1,-0.16,1,11.24,88.76,22.08,-0.01,-0.11,0.12,1464,1.085,0.01,34.11,0.0,1.23,1.085,16,1
280,1.15,1.16,1.15,-0.11,-0.12,112,11.9,88.1,23.4,-0.02,-0.12,0.12,3540,1.155,0.01,33.72,0.0,1.66,1.155,16,1
281,1.22,1.23,1.68,-0.11,-0.38,1,12.59,87.41,24.74,-0.02,-0.12,0.13,430,1.225,0.01,33.29,0.0,1.68,1.225,16,1
282,1.3,1.31,1.6,-0.12,0.18,1,13.34,86.66,26.22,-0.02,-0.13,0.13,1730,1.305,0.01,32.91,0.0,1.6,1.305,16,1
283,1.38,1.4,1.38,-0.13,-0.19,18,14.14,85.86,27.78,-0.02,-0.13,0.14,298,1.39,0.01,32.52,0.0,1.98,1.39,16,1
284,1.47,1.48,1.47,-0.13,-0.14,25,14.95,85.05,29.38,-0.02,-0.13,0.14,312,1.475,0.01,32.08,0.0,2.03,1.475,16,1
285,1.57,1.58,1.55,-0.14,-0.17,119,15.86,84.14,31.17,-0.02,-0.14,0.15,1091,1.575,0.01,31.72,0.0,2.21,1.575,16,1
286,1.67,1.68,1.98,-0.15,0.01,3,16.79,83.21,32.99,-0.02,-0.14,0.16,760,1.675,0.01,31.3,0.0,2.28,1.675,16,1
287,1.78,1.79,1.78,-0.16,-0.24,6,17.79,82.21,34.96,-0.02,-0.15,0.16,746,1.785,0.01,30.9,0.0,2.33,1.785,16,1
288,1.89,1.91,1.88,-0.17,-0.45,1004,18.83,81.17,37.01,-0.03,-0.15,0.17,474,1.9,0.01,30.49,0.0,2.62,1.9,16,1
289,2.02,2.04,2.04,-0.18,-0.29,107,19.98,80.02,39.26,-0.03,-0.15,0.17,693,2.03,0.01,30.11,0.0,2.46,2.03,16,1
290,2.15,2.16,2.11,-0.19,-0.17,167,21.12,78.88,41.5,-0.03,-0.16,0.18,5181,2.155,0.01,29.66,0.0,2.81,2.155,16,1
291,2.29,2.3,2.6,-0.21,-0.05,12,22.36,77.64,43.93,-0.03,-0.16,0.19,216,2.295,0.01,29.24,0.0,2.8,2.295,16,1
292,2.44,2.45,2.55,-0.22,-0.07,14,23.67,76.33,46.51,-0.03,-0.17,0.19,415,2.445,0.02,28.82,0.0,3.26,2.445,16,1
293,2.6,2.61,2.58,-0.23,-0.66,35,25.06,74.94,49.23,-0.03,-0.17,0.2,209,2.605,0.02,28.4,0.0,3.43,2.605,16,1
294,2.77,2.78,2.75,-0.25,-0.36,310,26.52,73.48,52.09,-0.04,-0.17,0.21,395,2.775,0.02,27.97,0.0,3.72,2.775,16,1
295,2.95,2.96,2.94,-0.26,-0.36,29,28.05,71.95,55.1,-0.04,-0.18,0.21,789,2.955,0.02,27.53,0.0,3.79,2.955,16,1
296,3.14,3.16,3.5,-0.28,-0.36,54,29.68,70.32,58.3,-0.04,-0.18,0.22,790,3.15,0.02,27.1,0.0,3.8,3.15,16,1
297,3.35,3.37,3.33,-0.29,-0.44,64,31.4,68.6,61.68,-0.04,-0.18,0.23,276,3.36,0.02,26.67,0.0,4.44,3.36,16,1
298,3.57,3.59,3.54,-0.31,-0.35,76,33.21,66.79,65.21,-0.05,-0.18,0.23,346,3.58,0.02,26.23,0.0,4.39,3.58,16,1
299,3.81,3.83,3.77,-0.33,-0.27,8,35.12,64.88,68.96,-0.05,-0.18,0.24,148,3.82,0.02,25.8,0.0,5.03,3.82,16,1
300,4.06,4.09,4.06,-0.35,-0.24,425,37.12,62.88,72.88,-0.05,-0.18,0.24,1461,4.075,0.02,25.36,0.0,5.35,4.075,16,1
301,4.34,4.38,4.28,-0.37,-0.38,176,39.24,60.76,77.05,-0.05,-0.19,0.25,525,4.36,0.02,24.97,0.0,5.26,4.36,16,1
302,4.63,4.66,4.6,-0.39,-0.4,60,41.43,58.57,81.33,-0.06,-0.19,0.25,676,4.645,0.02,24.5,0.0,5.89,4.645,16,1
303,4.94,4.98,4.93,-0.42,-1.09,186,43.74,56.26,85.84,-0.06,-0.18,0.26,555,4.96,0.02,24.06,0.0,6.41,4.96,16,1
304,5.28,5.32,5.22,-0.44,-0.51,121,46.15,53.85,90.56,-0.06,-0.18,0.26,189,5.3,0.03,23.64,0.0,6.87,5.3,16,1
305,5.64,5.68,5.61,-0.47,-0.29,98,48.65,51.35,95.45,-0.07,-0.18,0.26,471,5.66,0.03,23.21,0.0,7.2,5.66,16,1
259,0.5,0.51,0.5,-0.04,-0.06,118,4.99,95.01,9.71,-0.01,-0.07,0.06,7670,0.505,0.0,42.5,0.0,0.63,0.505,18,1
