LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,ASK,Strike,expire_days,expire_price,target,dt_predict,rf_predict,kn_predict
0.63,0.29,3,9.77,90.23,20.66,0.03,-0.04,0.18,2,0.71,0.01,14.24,0.0,0.69,0.73,384.0,27,372.59,0,0,0,0
0.79,0.46,1,10.82,89.18,22.81,0.02,-0.06,0.17,174,0.74,0.01,15.25,0.0,0.73,0.75,382.0,20,378.46,0,0,0,0
3.76,1.57,1038,47.08,52.92,95.82,0.05,-0.19,0.25,2032,3.77,0.04,16.01,0.0,3.76,3.78,367.0,10,366.7402,0,1,0,0
4.05,1.49,3085,39.5,60.5,84.56,0.07,-0.13,0.32,10610,4.105,0.03,17.44,0.0,4.1,4.11,369.0,17,371.15,0,1,0,1
1.28,0.75,5625,32.51,67.49,66.47,0.01,-0.27,0.14,7508,1.29,0.06,15.57,0.0,1.28,1.3,369.0,3,369.85,0,1,0,1
1.7,0.94,414,20.02,79.98,42.64,0.05,-0.08,0.27,1960,1.655,0.02,15.0,0.0,1.64,1.67,377.0,23,369.03,0,1,0,1
0.91,0.5,750,17.74,82.26,35.91,0.02,-0.11,0.17,9096,0.925,0.03,14.66,0.0,0.92,0.93,375.0,10,366.7402,0,1,0,0
3.98,1.5,233,37.02,62.98,79.77,0.08,-0.1,0.36,2710,4.01,0.03,16.13,0.0,3.99,4.03,370.0,23,369.03,0,1,0,0
1.59,0.81,5,19.42,80.58,41.22,0.04,-0.08,0.25,1210,1.535,0.02,15.49,0.0,1.52,1.55,377.0,20,378.46,0,0,0,0
2.98,1.39,203,34.78,65.22,70.62,0.06,-0.14,0.29,2460,2.93,0.03,15.87,0.0,2.92,2.94,371.0,15,371.16,0,1,0,0
0.64,0.35,1,8.99,91.01,18.94,0.02,-0.04,0.16,216,0.615,0.01,14.75,0.0,0.6,0.63,384.0,23,369.03,0,0,0,0
1.94,0.93,378,25.78,74.22,52.26,0.04,-0.12,0.25,582,1.91,0.03,15.45,0.0,1.9,1.92,374.0,15,371.16,0,1,0,1
1.84,0.81,5687,23.35,76.65,49.48,0.04,-0.1,0.26,52605,1.89,0.02,16.32,0.0,1.88,1.9,375.0,17,371.15,0,1,0,1
4.33,1.84,1047,39.54,60.46,85.08,0.08,-0.12,0.34,472,4.295,0.03,16.84,0.0,4.28,4.31,369.0,20,378.46,1,1,0,1
2.39,1.09,183,26.79,73.21,57.35,0.06,-0.09,0.32,1280,2.465,0.02,15.36,0.0,2.45,2.48,374.0,23,369.03,0,1,0,1
2.59,1.16,165,26.16,73.84,56.04,0.08,-0.08,0.35,149,2.625,0.02,15.03,0.0,2.61,2.64,375.0,29,373.1,0,1,0,1
1.08,0.54,556,14.41,85.59,30.55,0.04,-0.06,0.22,17351,1.085,0.02,14.78,0.0,1.07,1.1,380.0,23,369.03,0,1,0,1
5.1,1.84,505,42.19,57.81,91.32,0.09,-0.11,0.36,207,4.97,0.03,16.94,0.0,4.95,4.99,368.0,22,369.62,0,1,0,1
1.46,0.0,10,17.04,82.96,36.29,0.05,-0.06,0.27,5,1.405,0.02,14.39,0.0,1.38,1.43,379.0,27,372.59,0,0,0,0
4.21,1.99,60,36.96,63.04,79.72,0.08,-0.11,0.35,1883,3.995,0.03,16.45,0.0,3.98,4.01,370.0,22,369.62,0,0,0,0
2.63,1.43,23,26.77,73.23,57.35,0.06,-0.09,0.31,364,2.465,0.02,15.7,0.0,2.45,2.48,374.0,22,369.62,0,0,0,0
5.95,2.7,51,42.5,57.5,92.07,0.12,-0.1,0.41,63,5.525,0.02,16.27,0.0,5.5,5.55,368.0,29,373.1,0,0,0,0
0.74,0.46,54,12.81,87.19,25.9,0.02,-0.08,0.16,136,0.68,0.02,14.19,0.0,0.67,0.69,378.0,13,369.8,0,0,0,0
0.55,0.26,15,9.08,90.92,18.35,0.02,-0.06,0.13,225,0.515,0.01,15.08,0.0,0.51,0.52,382.0,15,371.16,0,0,0,0
1.01,0.56,20129,24.95,75.05,50.77,0.02,-0.16,0.16,2092,1.055,0.05,13.67,0.0,1.05,1.06,371.0,6,369.62,0,1,0,1
0.94,0.51,94,12.87,87.13,27.25,0.03,-0.06,0.2,305,0.945,0.02,15.09,0.0,0.93,0.96,381.0,22,369.62,0,0,0,0
0.79,0.31,5,10.15,89.85,21.43,0.02,-0.05,0.17,16,0.71,0.01,15.07,0.0,0.7,0.72,383.0,22,369.62,0,0,0,0
4.77,2.21,268,47.48,52.52,96.68,0.07,-0.16,0.31,728,4.84,0.03,16.75,0.0,4.83,4.85,367.0,15,371.16,0,1,0,1
0.65,0.4,276,14.48,85.52,29.32,0.01,-0.1,0.13,491,0.625,0.03,14.15,0.0,0.62,0.63,375.0,8,371.05,0,1,0,1
0.8,0.45,649,11.61,88.39,24.37,0.02,-0.07,0.17,5489,0.775,0.02,15.9,0.0,0.77,0.78,381.0,17,371.15,0,1,0,0
6.03,1.77,293,44.85,55.15,97.31,0.12,-0.1,0.42,497,6.065,0.02,16.5,0.0,6.04,6.09,367.0,29,373.1,1,1,0,1
2.09,1.01,141,23.92,76.08,50.95,0.05,-0.09,0.28,229,2.035,0.02,15.73,0.0,2.02,2.05,375.0,20,378.46,1,1,0,1
1.58,0.76,21,18.89,81.11,40.3,0.05,-0.06,0.28,9,1.605,0.02,14.46,0.0,1.58,1.63,378.0,27,372.59,0,0,0,0
0.62,0.3,12,8.7,91.3,18.38,0.03,-0.04,0.17,65,0.62,0.01,14.26,0.0,0.6,0.64,385.0,27,372.59,0,0,0,0
1.03,0.54,160,13.81,86.19,29.17,0.03,-0.07,0.2,1292,0.995,0.02,15.3,0.0,0.98,1.01,380.0,20,378.46,0,1,0,1
1.19,0.67,4,15.55,84.45,32.9,0.03,-0.07,0.22,12,1.155,0.02,15.36,0.0,1.14,1.17,379.0,20,378.46,0,0,0,0
0.66,0.38,43,10.54,89.46,21.29,0.02,-0.07,0.15,51,0.615,0.02,15.09,0.0,0.61,0.62,381.0,15,371.16,0,0,0,0
0.81,0.48,124,14.94,85.06,30.21,0.02,-0.09,0.17,145,0.82,0.02,14.2,0.0,0.81,0.83,377.0,13,369.8,0,1,0,0
0.75,0.03,235,11.44,88.56,24.2,0.03,-0.05,0.19,174,0.82,0.01,15.08,0.0,0.81,0.83,382.0,22,369.62,0,1,0,1
4.03,1.22,13,35.34,64.66,76.2,0.1,-0.09,0.4,10,4.09,0.02,15.64,0.0,4.07,4.11,371.0,29,373.1,0,0,0,0
2.13,1.17,14545,45.35,54.65,93.03,0.02,-0.31,0.15,7388,2.145,0.06,16.09,0.0,2.14,2.15,367.0,3,369.85,1,1,0,1
3.71,1.91,125,32.25,67.75,69.51,0.09,-0.09,0.37,57,3.385,0.02,15.21,0.0,3.35,3.42,372.0,27,372.59,0,1,0,0
5.27,1.78,863,44.91,55.09,96.96,0.09,-0.12,0.35,396,5.335,0.03,17.38,0.0,5.32,5.35,367.0,20,378.46,1,1,0,1
0.7,0.42,4507,21.27,78.73,43.37,0.01,-0.21,0.11,15305,0.725,0.05,15.34,0.0,0.72,0.73,371.0,3,369.85,0,1,0,1
0.54,0.27,1213,7.92,92.08,16.67,0.02,-0.04,0.15,744,0.53,0.01,14.74,0.0,0.52,0.54,385.0,23,369.03,0,0,0,1
2.53,1.41,16,26.33,73.67,56.19,0.05,-0.1,0.29,178,2.325,0.02,15.86,0.0,2.31,2.34,374.0,20,378.46,1,0,0,0
4.24,1.68,1307,47.28,52.72,96.2,0.06,-0.16,0.29,928,4.18,0.04,15.61,0.0,4.17,4.19,367.0,13,369.8,0,1,0,1
1.62,0.97,187,28.54,71.46,57.97,0.03,-0.16,0.2,712,1.51,0.04,14.4,0.0,1.5,1.52,371.0,8,371.05,0,1,0,1
3.18,1.24,4284,33.88,66.12,72.28,0.06,-0.13,0.3,8052,3.225,0.03,16.99,0.0,3.22,3.23,371.0,17,371.15,0,1,0,0
2.08,1.14,1547,40.52,59.48,82.74,0.03,-0.2,0.2,1768,2.115,0.05,14.13,0.0,2.11,2.12,368.0,6,369.62,0,1,0,1
1.03,0.6,57,17.3,82.7,35.0,0.02,-0.09,0.19,212,0.985,0.03,14.22,0.0,0.98,0.99,376.0,13,369.8,0,0,0,0
1.39,0.83,89,22.83,77.17,46.23,0.03,-0.11,0.22,535,1.41,0.03,14.34,0.0,1.4,1.42,374.0,13,369.8,0,0,0,0
3.02,0.69,11,28.35,71.65,60.83,0.08,-0.08,0.36,66,2.94,0.02,15.15,0.0,2.92,2.96,374.0,29,373.1,0,0,0,0
1.12,0.62,426,14.47,85.53,30.7,0.03,-0.06,0.22,914,1.095,0.02,15.15,0.0,1.08,1.11,380.0,22,369.62,0,1,0,1
2.4,1.24,95,28.65,71.35,58.11,0.05,-0.13,0.27,666,2.21,0.03,15.56,0.0,2.2,2.22,373.0,15,371.16,0,0,0,0
3.1,1.44,133,31.81,68.19,68.32,0.07,-0.1,0.34,2381,3.17,0.03,15.71,0.0,3.15,3.19,372.0,23,369.03,0,1,0,0
2.4,1.25,336,37.43,62.57,76.15,0.03,-0.18,0.22,1227,2.24,0.05,14.74,0.0,2.23,2.25,369.0,8,371.05,0,1,0,0
2.3,1.03,58,32.78,67.22,66.51,0.05,-0.14,0.26,909,2.34,0.03,14.75,0.0,2.33,2.35,371.0,13,369.8,0,0,0,0
1.18,0.22,3,13.39,86.61,28.37,0.04,-0.05,0.24,5,1.09,0.01,14.46,0.0,1.08,1.1,382.0,29,373.1,0,0,0,0
0.55,0.29,186,7.96,92.04,16.77,0.02,-0.04,0.14,260,0.535,0.01,15.1,0.0,0.53,0.54,385.0,22,369.62,0,1,0,1
2.26,1.16,4,22.97,77.03,49.16,0.06,-0.07,0.32,47,2.085,0.02,14.66,0.0,2.06,2.11,376.0,27,372.59,0,0,0,0
0.66,0.13,10,9.03,90.97,19.04,0.02,-0.05,0.16,145,0.62,0.01,15.1,0.0,0.61,0.63,384.0,22,369.62,0,0,0,0
0.7,0.37,70,10.15,89.85,21.43,0.03,-0.05,0.18,661,0.71,0.01,14.74,0.0,0.7,0.72,383.0,23,369.03,0,0,0,0
2.3,1.09,6399,35.12,64.88,71.31,0.04,-0.17,0.24,26991,2.36,0.04,15.3,0.0,2.35,2.37,370.0,10,366.7402,0,1,0,1
5.49,2.03,259,44.81,55.19,97.06,0.1,-0.11,0.37,1537,5.52,0.03,16.86,0.0,5.5,5.54,367.0,23,369.03,0,1,0,1
3.88,1.82,51,41.15,58.85,83.66,0.07,-0.15,0.3,351,3.805,0.03,16.26,0.0,3.79,3.82,369.0,15,371.16,0,0,0,1
0.59,0.34,97,12.82,87.18,25.92,0.01,-0.09,0.14,402,0.62,0.02,14.65,0.0,0.61,0.63,377.0,10,366.7402,0,0,0,1
2.01,1.07,6,22.14,77.86,47.27,0.05,-0.08,0.28,748,1.895,0.02,15.44,0.0,1.88,1.91,376.0,22,369.62,0,0,0,0
1.95,0.93,493,31.21,68.79,63.32,0.03,-0.16,0.23,746,1.98,0.04,15.09,0.0,1.97,1.99,371.0,10,366.7402,0,1,0,1
5.94,2.53,16,44.7,55.3,97.17,0.12,-0.1,0.4,12,5.75,0.02,16.29,0.0,5.72,5.78,367.0,27,372.59,0,0,0,0
1.38,0.72,16,17.42,82.58,36.92,0.04,-0.08,0.23,53,1.335,0.02,15.42,0.0,1.32,1.35,378.0,20,378.46,0,0,0,0
2.33,0.98,48,25.14,74.86,53.91,0.07,-0.08,0.33,121,2.36,0.02,14.76,0.0,2.34,2.38,375.0,27,372.59,0,0,0,0
2.58,1.17,515,42.06,57.94,85.65,0.04,-0.19,0.23,1720,2.69,0.05,14.97,0.0,2.68,2.7,368.0,8,371.05,1,1,0,1
3.56,1.34,4469,36.69,63.31,78.4,0.06,-0.13,0.31,31661,3.65,0.03,17.21,0.0,3.64,3.66,370.0,17,371.15,0,1,0,1
0.97,0.6,46202,26.59,73.41,54.29,0.01,-0.25,0.13,164663,0.975,0.06,15.43,0.0,0.97,0.98,370.0,3,369.85,0,1,0,1
0.9,0.39,4,10.97,89.03,23.23,0.03,-0.05,0.2,1,0.815,0.01,14.25,0.0,0.8,0.83,383.0,27,372.59,0,0,0,0
2.7,1.34,181,36.38,63.62,73.85,0.05,-0.15,0.27,1782,2.735,0.04,14.93,0.0,2.72,2.75,370.0,13,369.8,0,1,0,0
1.16,0.47,23,13.73,86.27,29.15,0.04,-0.05,0.23,6,1.07,0.02,14.28,0.0,1.05,1.09,381.0,27,372.59,0,0,0,0
4.42,1.83,14,39.59,60.41,85.54,0.09,-0.11,0.36,357,4.47,0.03,16.7,0.0,4.45,4.49,369.0,22,369.62,0,0,0,1
0.57,0.19,7,7.77,92.23,16.39,0.02,-0.04,0.16,151,0.545,0.01,14.3,0.0,0.53,0.56,386.0,27,372.59,0,0,0,0
3.8,1.44,622,36.84,63.16,79.13,0.07,-0.11,0.33,2500,3.835,0.03,16.62,0.0,3.82,3.85,370.0,20,378.46,1,1,0,0
0.55,0.3,17,10.91,89.09,22.06,0.02,-0.07,0.14,82,0.56,0.02,14.18,0.0,0.55,0.57,379.0,13,369.8,0,0,0,0
3.02,1.31,236,31.47,68.53,67.37,0.06,-0.11,0.32,138,3.01,0.03,16.2,0.0,2.99,3.03,372.0,20,378.46,1,1,0,0
1.03,0.5,325,14.91,85.09,31.39,0.03,-0.08,0.2,4084,1.055,0.02,15.99,0.0,1.05,1.06,379.0,17,371.15,0,1,0,0
1.3,0.7,39,16.17,83.83,34.32,0.04,-0.07,0.24,118,1.255,0.02,14.85,0.0,1.24,1.27,379.0,23,369.03,0,0,0,0
4.49,1.95,100,39.63,60.37,85.56,0.09,-0.11,0.36,1487,4.48,0.03,16.35,0.0,4.46,4.5,369.0,23,369.03,0,0,0,0
0.77,0.51,31026,31.89,68.11,66.48,0.01,-0.35,0.1,6051,0.775,0.1,13.65,0.0,0.77,0.78,368.0,1,366.96,0,1,1,1
0.63,0.17,5,7.75,92.25,16.32,0.02,-0.04,0.16,96,0.57,0.01,14.46,0.0,0.56,0.58,387.0,29,373.1,0,0,0,0
3.31,1.71,92,40.02,59.98,81.31,0.06,-0.15,0.28,519,3.175,0.04,15.14,0.0,3.16,3.19,369.0,13,369.8,0,0,0,0
1.31,0.03,7,18.18,81.82,38.7,0.06,-0.06,0.29,4,1.605,0.02,14.62,0.0,1.59,1.62,379.0,29,373.1,0,0,0,0
1.43,0.73,37,18.04,81.96,38.36,0.04,-0.07,0.26,184,1.445,0.02,14.93,0.0,1.43,1.46,378.0,23,369.03,0,0,0,0
2.35,1.09,3,23.98,76.02,51.28,0.07,-0.07,0.34,6,2.32,0.02,14.88,0.0,2.3,2.34,376.0,29,373.1,0,0,0,0
0.57,0.28,65,9.01,90.99,18.87,0.02,-0.06,0.14,5133,0.575,0.01,15.94,0.0,0.57,0.58,383.0,17,371.15,0,0,0,0
0.52,0.28,299,10.8,89.2,21.82,0.01,-0.08,0.12,714,0.505,0.02,14.67,0.0,0.5,0.51,378.0,10,366.7402,0,0,0,1
2.54,1.12,1625,28.43,71.57,60.46,0.05,-0.12,0.28,14708,2.49,0.03,16.61,0.0,2.48,2.5,373.0,17,371.15,0,1,0,1
0.64,0.39,637,16.65,83.35,33.82,0.01,-0.12,0.13,1022,0.625,0.04,13.56,0.0,0.62,0.63,373.0,6,369.62,0,1,0,1
4.88,2.07,1,39.75,60.25,86.1,0.1,-0.09,0.39,17,4.705,0.02,15.81,0.0,4.67,4.74,369.0,27,372.59,0,0,0,0
3.87,1.86,9,34.73,65.27,74.98,0.09,-0.09,0.38,62,3.79,0.02,15.39,0.0,3.76,3.82,371.0,27,372.59,0,0,0,0
1.28,0.61,28,15.34,84.66,32.62,0.04,-0.06,0.25,1693,1.23,0.02,14.34,0.0,1.21,1.25,380.0,27,372.59,0,0,0,1
3.7,1.75,2284,34.39,65.61,74.0,0.08,-0.1,0.35,874,3.57,0.03,15.9,0.0,3.55,3.59,371.0,23,369.03,0,1,0,1
3.14,1.56,764,46.67,53.33,95.14,0.04,-0.19,0.23,378,3.2,0.05,15.26,0.0,3.19,3.21,367.0,8,371.05,1,1,0,1
1.94,1.06,65,22.16,77.84,47.27,0.05,-0.08,0.29,495,1.895,0.02,15.1,0.0,1.88,1.91,376.0,23,369.03,0,0,0,0
5.43,1.77,296,44.76,55.24,97.05,0.09,-0.12,0.36,259,5.51,0.03,17.21,0.0,5.48,5.54,367.0,22,369.62,0,1,0,1
1.65,0.87,1208,35.04,64.96,71.47,0.02,-0.19,0.19,2293,1.695,0.05,13.91,0.0,1.69,1.7,369.0,6,369.62,0,1,0,0
2.13,0.93,1108,25.82,74.18,54.81,0.05,-0.11,0.27,8059,2.17,0.02,16.44,0.0,2.16,2.18,374.0,17,371.15,0,1,0,0
1.73,0.91,51,25.97,74.03,52.62,0.04,-0.12,0.24,917,1.68,0.03,14.46,0.0,1.67,1.69,373.0,13,369.8,0,0,0,0
2.89,1.36,133,29.22,70.78,62.71,0.07,-0.1,0.32,1189,2.795,0.02,15.86,0.0,2.78,2.81,373.0,22,369.62,0,1,0,0
2.13,1.1,34,21.94,78.06,46.84,0.07,-0.07,0.32,243,2.055,0.02,14.77,0.0,2.04,2.07,377.0,29,373.1,0,0,0,0
1.7,0.97,330,23.04,76.96,46.68,0.04,-0.11,0.24,1138,1.64,0.03,15.34,0.0,1.63,1.65,375.0,15,371.16,0,1,0,1
2.85,1.44,25,27.44,72.56,58.93,0.08,-0.08,0.35,64,2.67,0.02,14.9,0.0,2.65,2.69,374.0,27,372.59,0,0,0,0
1.07,0.68,172,13.91,86.09,28.14,0.02,-0.08,0.18,26,0.86,0.02,15.1,0.0,0.85,0.87,379.0,15,371.16,0,1,0,0
4.25,1.54,84,37.23,62.77,80.53,0.1,-0.09,0.39,2075,4.23,0.02,15.59,0.0,4.2,4.26,370.0,27,372.59,0,0,0,0
0.53,0.33,2811,16.64,83.36,33.89,0.01,-0.18,0.1,4474,0.53,0.04,15.28,0.0,0.52,0.54,372.0,3,369.85,0,0,0,1
0.77,0.44,124,12.15,87.85,24.56,0.02,-0.07,0.16,400,0.73,0.02,15.1,0.0,0.72,0.74,380.0,15,371.16,0,1,0,1
1.46,0.84,235,20.46,79.54,41.42,0.03,-0.11,0.22,260,1.4,0.02,15.25,0.0,1.39,1.41,376.0,15,371.16,0,1,0,1
1.84,0.9,137,21.6,78.4,45.93,0.05,-0.09,0.27,146,1.77,0.02,15.6,0.0,1.75,1.79,376.0,20,378.46,1,1,0,0
4.24,2.13,452,44.33,55.67,90.2,0.07,-0.16,0.3,1438,4.3,0.03,16.48,0.0,4.29,4.31,368.0,15,371.16,0,1,0,1
3.22,1.5,989,43.1,56.9,87.66,0.05,-0.18,0.25,2308,3.25,0.04,15.74,0.0,3.24,3.26,368.0,10,366.7402,0,1,0,0
1.19,0.81,56128,42.22,57.78,88.39,0.01,-0.39,0.11,9003,1.185,0.1,14.02,0.0,1.18,1.19,367.0,1,366.96,0,1,1,1
0.8,0.48,119,17.4,82.6,35.26,0.02,-0.12,0.15,615,0.785,0.03,14.15,0.0,0.78,0.79,374.0,8,371.05,0,1,0,0
0.55,0.3,2,8.42,91.58,17.68,0.02,-0.05,0.14,8,0.55,0.01,15.26,0.0,0.54,0.56,384.0,20,378.46,0,0,0,0
3.28,1.28,288,34.14,65.86,73.21,0.07,-0.11,0.33,282,3.405,0.03,16.4,0.0,3.39,3.42,371.0,20,378.46,1,1,0,1
3.5,1.75,877,37.95,62.05,77.12,0.06,-0.15,0.29,42163,3.35,0.03,16.06,0.0,3.34,3.36,370.0,15,371.16,0,1,0,1
1.73,0.88,1041,20.98,79.02,44.39,0.04,-0.1,0.24,16492,1.635,0.02,16.18,0.0,1.63,1.64,376.0,17,371.15,0,1,0,1
0.9,0.44,2660,13.17,86.83,27.71,0.02,-0.07,0.18,59516,0.905,0.02,15.94,0.0,0.9,0.91,380.0,17,371.15,0,1,0,1
1.04,0.7,103,20.76,79.24,42.1,0.02,-0.13,0.17,346,0.985,0.04,14.21,0.0,0.98,0.99,373.0,8,371.05,0,0,0,1
2.73,1.37,41,31.67,68.33,64.26,0.05,-0.14,0.28,413,2.55,0.03,15.7,0.0,2.54,2.56,372.0,15,371.16,0,0,0,1
1.15,0.61,232,20.71,79.29,41.94,0.02,-0.12,0.19,1459,1.13,0.03,14.73,0.0,1.12,1.14,374.0,10,366.7402,0,1,0,0
0.77,0.44,703,20.52,79.48,41.72,0.01,-0.14,0.15,21536,0.815,0.04,13.59,0.0,0.81,0.82,372.0,6,369.62,0,1,0,1
1.39,0.66,288,16.47,83.53,35.02,0.05,-0.06,0.27,934,1.415,0.02,14.56,0.0,1.4,1.43,380.0,29,373.1,0,1,0,0
1.46,0.56,7,18.03,81.97,38.36,0.04,-0.07,0.25,1116,1.445,0.02,15.26,0.0,1.43,1.46,378.0,22,369.62,0,0,0,0
3.08,1.49,152,31.77,68.23,68.29,0.07,-0.1,0.33,861,3.165,0.02,16.05,0.0,3.15,3.18,372.0,22,369.62,0,1,0,0
1.03,0.6,20,12.84,87.16,27.17,0.03,-0.06,0.21,484,0.94,0.02,14.74,0.0,0.93,0.95,381.0,23,369.03,0,0,0,0
1.36,0.34,7,16.16,83.84,34.32,0.04,-0.07,0.23,515,1.255,0.02,15.19,0.0,1.24,1.27,379.0,22,369.62,0,0,0,0
2.51,1.23,2748,46.04,53.96,94.12,0.03,-0.21,0.2,2632,2.595,0.05,14.36,0.0,2.59,2.6,367.0,6,369.62,1,1,0,1
0.75,0.45,249,15.09,84.91,30.52,0.02,-0.1,0.15,233,0.755,0.03,14.62,0.0,0.75,0.76,376.0,10,366.7402,0,1,0,1
1.25,0.63,401,16.78,83.22,35.39,0.03,-0.08,0.21,12379,1.225,0.02,16.04,0.0,1.22,1.23,378.0,17,371.15,0,1,0,1
1.78,0.87,1926,32.9,67.1,66.88,0.03,-0.17,0.21,2129,1.85,0.04,14.56,0.0,1.84,1.86,370.0,8,371.05,0,1,0,1
1.49,0.89,1891,18.79,81.21,39.7,0.03,-0.09,0.23,12607,1.415,0.02,16.1,0.0,1.41,1.42,377.0,17,371.15,0,1,0,1
5.4,2.27,311,42.24,57.76,91.66,0.11,-0.1,0.4,13,5.21,0.02,16.04,0.0,5.18,5.24,368.0,27,372.59,0,1,0,0
5.03,1.7,3668,45.09,54.91,96.86,0.08,-0.14,0.32,12556,5.135,0.03,17.99,0.0,5.13,5.14,367.0,17,371.15,0,1,0,1
1.45,0.81,651,23.96,76.04,48.54,0.03,-0.14,0.2,1510,1.37,0.03,14.82,0.0,1.36,1.38,373.0,10,366.7402,0,1,0,1
1.62,0.81,761,27.49,72.51,55.73,0.03,-0.15,0.22,1863,1.655,0.04,14.95,0.0,1.65,1.66,372.0,10,366.7402,0,1,0,1
2.13,0.94,311,24.42,75.58,52.19,0.06,-0.08,0.3,975,2.165,0.02,15.22,0.0,2.15,2.18,375.0,23,369.03,0,1,0,1
1.45,0.64,2,14.89,85.11,31.6,0.05,-0.05,0.25,2,1.245,0.02,14.51,0.0,1.23,1.26,381.0,29,373.1,0,0,0,0
1.27,0.67,78,18.05,81.95,36.54,0.03,-0.1,0.21,42,1.19,0.02,15.17,0.0,1.18,1.2,377.0,15,371.16,0,0,0,0
1.03,0.36,16,12.02,87.98,25.44,0.04,-0.05,0.22,11,0.955,0.01,14.42,0.0,0.94,0.97,383.0,29,373.1,0,0,0,0
0.63,0.35,4,9.57,90.43,20.14,0.02,-0.05,0.16,24,0.64,0.01,15.26,0.0,0.63,0.65,383.0,20,378.46,0,0,0,0
0.68,0.36,807,10.26,89.74,21.51,0.02,-0.06,0.15,3448,0.67,0.01,15.93,0.0,0.66,0.68,382.0,17,371.15,0,1,0,0
2.74,1.25,1067,39.1,60.9,79.44,0.04,-0.17,0.25,3427,2.78,0.04,15.5,0.0,2.77,2.79,369.0,10,366.7402,0,1,0,0
1.61,0.89,8127,38.85,61.15,79.57,0.02,-0.3,0.15,8270,1.68,0.06,15.8,0.0,1.67,1.69,368.0,3,369.85,1,1,0,1
3.64,1.43,66,34.34,65.66,73.95,0.08,-0.1,0.34,725,3.56,0.03,16.23,0.0,3.54,3.58,371.0,22,369.62,0,0,0,1
2.65,1.11,46,28.88,71.12,61.71,0.06,-0.1,0.31,31,2.655,0.03,16.04,0.0,2.64,2.67,373.0,20,378.46,1,0,0,0
