Strike,BID,ASK,LAST,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,expire_days,target,dt_predict,rf_predict,kn_predict
285,0.5,0.51,0.55,-0.03,-0.01,4,4.01,95.99,7.77,-0.01,-0.06,0.06,5842,0.505,0.0,43.59,0.0,0.55,0.505,24,1,1,1,1
345,1.91,1.93,1.94,-0.28,-0.67,1093,28.97,71.03,57.38,-0.03,-0.17,0.21,5162,1.92,0.03,17.95,0.0,2.57,1.92,10,0,1,1,1
322,1.24,1.26,1.41,-0.1,0.09,1,11.78,88.22,22.83,-0.02,-0.11,0.15,132,1.25,0.01,28.88,0.0,1.41,1.25,20,1,1,1,1
334,3.53,3.55,3.6,-0.24,-0.03,6,26.06,73.94,49.82,-0.07,-0.13,0.31,1567,3.54,0.01,24.31,0.0,3.8,3.54,29,1,1,1,1
309,1.09,1.11,1.27,-0.08,-0.04,14,8.88,91.12,17.18,-0.02,-0.09,0.13,198,1.1,0.0,34.35,0.0,1.27,1.1,24,1,1,1,1
338,3.55,3.58,3.69,-0.27,-0.43,12,28.83,71.17,55.12,-0.07,-0.15,0.3,2416,3.565,0.02,23.05,0.0,3.85,3.565,24,0,1,1,1
343,1.56,1.58,1.64,-0.23,-0.51,351,24.09,75.91,47.72,-0.02,-0.16,0.19,1452,1.57,0.03,18.87,0.0,2.17,1.57,10,0,1,1,1
332,3.24,3.27,3.29,-0.22,0.13,270,24.03,75.97,46.02,-0.07,-0.13,0.3,3636,3.255,0.01,25.02,0.0,3.52,3.255,29,1,1,1,1
351,4.1,4.13,4.18,-0.49,-0.96,322,49.91,50.09,98.66,-0.07,-0.15,0.27,1185,4.115,0.04,15.34,0.0,5.05,4.115,13,0,1,1,1
339,3.98,4.02,4.15,-0.29,0.02,2,30.95,69.05,59.03,-0.08,-0.14,0.33,333,4.0,0.02,22.16,0.0,4.15,4.0,27,0,1,1,1
329,1.07,1.09,1.11,-0.11,-1.21,26,12.34,87.66,24.35,-0.02,-0.11,0.14,399,1.08,0.01,26.29,0.0,1.15,1.08,15,1,1,1,1
336,2.47,2.49,2.65,-0.22,-0.13,2,23.36,76.64,44.98,-0.05,-0.14,0.25,252,2.48,0.02,23.18,0.0,2.65,2.48,20,0,1,1,1
333,0.66,0.67,0.69,-0.1,-0.32,86,10.31,89.69,20.42,-0.01,-0.11,0.1,3378,0.665,0.01,23.84,0.0,0.97,0.665,10,0,1,1,1
349,6.0,6.02,6.09,-0.46,-0.38,3,47.89,52.11,90.47,-0.11,-0.16,0.35,14,6.01,0.02,18.93,0.0,6.29,6.01,22,0,1,1,1
336,1.62,1.64,1.69,-0.17,-0.06,4,18.71,81.29,36.93,-0.03,-0.14,0.19,895,1.63,0.02,23.13,0.0,1.69,1.63,15,1,1,1,1
325,0.87,0.89,0.89,-0.09,-0.1,26,9.95,90.05,19.63,-0.01,-0.1,0.12,3530,0.88,0.01,28.17,0.0,1.11,0.88,15,1,1,1,1
280,0.58,0.59,0.6,-0.03,-0.05,5,4.28,95.72,8.27,-0.01,-0.05,0.07,6617,0.585,0.0,43.75,0.0,0.6,0.585,29,1,1,1,1
334,2.94,2.96,3.13,-0.22,-0.3,3,24.05,75.95,46.11,-0.05,-0.14,0.27,1746,2.95,0.01,24.58,0.0,3.13,2.95,24,0,1,1,1
301,0.83,0.85,0.86,-0.06,0.08,11,6.73,93.27,13.04,-0.01,-0.08,0.1,214,0.84,0.0,37.46,0.0,0.9,0.84,24,1,1,1,1
350,0.75,0.76,0.75,-0.35,-1.11,50035,35.58,64.42,70.95,-0.01,-0.33,0.1,14578,0.755,0.12,12.16,0.0,1.95,0.755,1,1,1,1,1
323,0.79,0.8,0.86,-0.08,-0.56,3,8.95,91.05,17.65,-0.01,-0.1,0.11,876,0.795,0.01,29.08,0.0,0.0,0.795,15,1,1,1,1
341,4.81,4.83,4.85,-0.32,-0.46,99,34.81,65.19,66.2,-0.1,-0.14,0.36,1006,4.82,0.02,21.83,0.0,5.1,4.82,29,0,1,1,1
331,1.67,1.68,1.7,-0.15,-0.38,255,16.83,83.17,32.62,-0.03,-0.14,0.18,9602,1.675,0.01,26.09,0.0,2.07,1.675,17,0,1,1,1
349,1.94,1.95,1.95,-0.38,-0.85,1201,38.63,61.37,76.71,-0.03,-0.18,0.2,898,1.945,0.05,14.06,0.0,2.94,1.945,7,0,1,1,1
349,5.53,5.56,5.73,-0.45,-0.24,30,47.31,52.69,89.77,-0.09,-0.17,0.33,82,5.545,0.03,18.59,0.0,6.58,5.545,20,0,1,1,1
285,0.67,0.69,0.67,-0.04,-0.09,11,4.96,95.04,9.59,-0.01,-0.06,0.08,11226,0.68,0.0,42.02,0.0,0.75,0.68,29,1,1,1,1
315,0.55,0.56,0.65,-0.05,-0.01,1,6.09,93.91,12.01,-0.01,-0.08,0.08,257,0.555,0.0,32.85,0.0,0.65,0.555,15,1,1,1,1
339,3.73,3.76,3.78,-0.28,-0.54,25,30.2,69.8,57.68,-0.07,-0.15,0.31,1799,3.745,0.02,22.67,0.0,4.07,3.745,24,0,1,1,1
345,4.68,4.71,4.79,-0.37,-0.19,2,39.19,60.81,74.49,-0.09,-0.16,0.33,423,4.695,0.02,20.17,0.0,4.9,4.695,22,0,1,1,1
329,1.51,1.52,1.56,-0.14,-0.37,458,15.19,84.81,29.47,-0.02,-0.13,0.17,12784,1.515,0.01,26.99,0.0,1.71,1.515,17,1,1,1,1
314,0.9,0.91,0.98,-0.07,-0.34,1,8.4,91.6,16.3,-0.02,-0.09,0.12,81,0.905,0.01,32.27,0.0,0.98,0.905,20,1,1,1,1
335,2.72,2.74,2.8,-0.22,-0.01,26,23.8,76.2,45.69,-0.05,-0.14,0.26,1057,2.73,0.01,23.92,0.0,3.16,2.73,22,0,1,1,1
300,0.81,0.82,0.83,-0.05,-0.12,34,6.52,93.48,12.63,-0.01,-0.08,0.1,736,0.815,0.0,37.87,0.0,0.87,0.815,24,1,1,1,1
327,0.6,0.61,0.63,-0.07,-0.18,2,8.22,91.78,16.26,-0.01,-0.09,0.1,372,0.605,0.01,25.74,0.0,0.63,0.605,13,1,1,1,1
340,2.82,2.83,2.83,-0.26,-0.63,1759,27.78,72.22,53.56,-0.05,-0.17,0.25,50120,2.825,0.02,22.37,0.0,3.45,2.825,17,0,1,1,1
329,1.72,1.74,1.78,-0.15,-0.33,62,16.38,83.62,31.66,-0.03,-0.13,0.19,265,1.73,0.01,26.01,0.0,1.8,1.73,20,0,1,1,1
333,2.46,2.49,3.19,-0.2,-0.18,7,21.63,78.37,41.59,-0.05,-0.14,0.25,255,2.475,0.01,24.71,0.0,0.0,2.475,22,0,1,1,1
309,0.63,0.64,0.66,-0.05,-0.09,36,6.15,93.85,11.97,-0.01,-0.08,0.08,12402,0.635,0.0,35.9,0.0,0.74,0.635,17,1,1,1,1
348,1.14,1.15,1.17,-0.3,-0.74,4563,30.22,69.78,60.11,-0.01,-0.27,0.13,7104,1.145,0.06,16.5,0.0,2.02,1.145,3,0,1,1,1
341,4.39,4.43,4.48,-0.32,0.17,7,33.85,66.15,64.45,-0.09,-0.14,0.35,673,4.41,0.02,21.46,0.0,4.55,4.41,27,0,1,1,1
348,1.65,1.67,1.68,-0.33,-0.82,1286,33.93,66.07,67.38,-0.03,-0.17,0.19,1488,1.66,0.05,14.46,0.0,2.51,1.66,7,0,1,1,1
337,2.35,2.36,2.36,-0.22,-0.48,509,23.41,76.59,45.24,-0.04,-0.16,0.23,9979,2.355,0.02,23.6,0.0,2.82,2.355,17,0,1,1,1
318,1.05,1.07,1.07,-0.09,-0.07,24,9.91,90.09,19.23,-0.02,-0.1,0.13,146,1.06,0.01,30.58,0.0,1.22,1.06,20,1,1,1,1
316,0.83,0.84,0.86,-0.07,-0.12,69,8.22,91.78,15.99,-0.01,-0.1,0.11,15060,0.835,0.01,32.74,0.0,1.02,0.835,17,1,1,1,1
342,4.35,4.38,4.48,-0.33,0.01,21,34.75,65.25,66.18,-0.08,-0.16,0.33,1976,4.365,0.02,21.57,0.0,4.85,4.365,24,0,1,1,1
342,0.91,0.93,0.97,-0.17,-0.44,90,17.81,82.19,35.36,-0.01,-0.14,0.14,417,0.92,0.03,18.02,0.0,1.26,0.92,8,0,1,1,1
328,1.95,1.97,1.99,-0.15,-0.45,3,17.17,82.83,33.09,-0.04,-0.13,0.21,13,1.96,0.01,26.69,0.0,2.17,1.96,22,0,1,1,1
347,0.94,0.95,0.95,-0.25,-0.72,4907,25.51,74.49,50.75,-0.01,-0.26,0.12,8899,0.945,0.05,17.14,0.0,1.71,0.945,3,0,1,1,1
344,0.53,0.54,0.55,-0.15,-0.5,2621,15.19,84.81,30.23,-0.01,-0.2,0.08,7785,0.535,0.03,19.01,0.0,1.03,0.535,3,0,1,1,1
350,7.54,7.57,7.67,-0.49,-0.79,588,50.84,49.16,95.55,-0.15,-0.15,0.4,2035,7.555,0.02,19.02,0.0,8.54,7.555,29,0,1,1,1
335,1.52,1.54,1.57,-0.16,-0.11,55,17.57,82.43,34.69,-0.03,-0.13,0.18,868,1.53,0.01,23.56,0.0,1.87,1.53,15,1,1,1,1
350,5.61,5.63,5.64,-0.48,-0.97,4568,49.39,50.61,94.1,-0.09,-0.18,0.31,32093,5.62,0.03,18.97,0.0,6.73,5.62,17,0,1,1,1
305,1.23,1.24,1.22,-0.08,-0.22,39,9.1,90.9,17.57,-0.02,-0.08,0.14,4674,1.235,0.0,34.77,0.0,1.36,1.235,29,1,1,1,1
345,4.22,4.26,4.37,-0.36,0.04,129,38.09,61.91,72.72,-0.08,-0.16,0.32,210,4.24,0.02,19.82,0.0,4.6,4.24,20,0,1,1,1
350,1.7,1.71,1.71,-0.41,-0.97,19899,42.01,57.99,83.54,-0.02,-0.29,0.14,8281,1.705,0.07,15.35,0.0,2.84,1.705,3,0,1,1,1
349,3.36,3.39,3.5,-0.42,-0.77,40,42.74,57.26,84.52,-0.06,-0.16,0.27,685,3.375,0.04,16.02,0.0,4.11,3.375,13,0,1,1,1
344,3.96,3.99,4.01,-0.34,-0.35,102,36.05,63.95,68.9,-0.07,-0.16,0.31,341,3.975,0.02,20.16,0.0,4.5,3.975,20,0,1,1,1
330,0.52,0.54,0.53,-0.08,-0.27,537,8.17,91.83,16.19,-0.01,-0.1,0.09,17685,0.53,0.01,25.32,0.0,0.79,0.53,10,1,1,1,1
326,1.49,1.5,1.61,-0.13,0.07,2,14.15,85.85,27.4,-0.03,-0.12,0.18,352,1.495,0.01,27.22,0.0,1.61,1.495,20,0,1,1,1
337,4.01,4.04,4.07,-0.27,-0.49,102,29.45,70.55,56.2,-0.08,-0.14,0.33,2358,4.025,0.01,23.23,0.0,4.31,4.025,29,0,1,1,1
350,3.72,3.74,3.75,-0.45,-0.92,1225,46.24,53.76,91.42,-0.06,-0.16,0.27,1067,3.73,0.04,15.69,0.0,4.75,3.73,13,0,1,1,1
344,2.1,2.12,2.14,-0.27,-0.32,41,28.47,71.53,56.33,-0.04,-0.15,0.23,999,2.11,0.03,17.99,0.0,2.42,2.11,13,0,1,1,1
351,2.66,2.68,2.69,-0.49,-1.0,1851,49.35,50.65,97.95,-0.04,-0.18,0.21,460,2.67,0.06,13.31,0.0,3.72,2.67,7,0,1,1,1
333,2.1,2.12,2.2,-0.18,-0.17,5,19.98,80.02,38.54,-0.04,-0.14,0.22,574,2.11,0.01,24.37,0.0,2.51,2.11,20,0,1,1,1
339,0.64,0.65,0.67,-0.12,-0.36,71,12.68,87.32,25.18,-0.01,-0.12,0.11,1059,0.645,0.02,19.44,0.0,0.91,0.645,8,0,1,1,1
320,1.38,1.4,1.41,-0.11,-0.2,13,12.13,87.87,23.45,-0.02,-0.11,0.16,142,1.39,0.01,29.87,0.0,1.58,1.39,22,1,1,1,1
344,5.54,5.57,5.61,-0.37,-0.74,690,39.52,60.48,74.91,-0.11,-0.15,0.38,920,5.555,0.02,20.81,0.0,5.87,5.555,29,0,1,1,1
324,1.91,1.93,2.09,-0.14,-0.04,7,15.7,84.3,30.25,-0.03,-0.12,0.2,1162,1.92,0.01,28.48,0.0,2.1,1.92,24,0,1,1,1
343,0.77,0.78,0.8,-0.17,-0.47,829,17.27,82.73,34.32,-0.01,-0.14,0.13,1133,0.775,0.03,16.66,0.0,1.24,0.775,7,0,1,1,1
351,6.36,6.41,6.4,-0.51,-0.13,442,52.44,47.56,99.14,-0.11,-0.17,0.34,64,6.385,0.03,18.13,0.0,6.86,6.385,20,0,1,1,1
347,4.5,4.52,4.52,-0.4,-0.8,1091,41.74,58.26,79.88,-0.07,-0.18,0.3,9104,4.51,0.02,19.8,0.0,5.36,4.51,17,0,1,1,1
340,3.93,3.95,4.02,-0.3,-0.23,44,31.64,68.36,60.39,-0.07,-0.15,0.32,2466,3.94,0.02,22.31,0.0,4.28,3.94,24,0,1,1,1
339,1.97,1.98,2.09,-0.21,-0.1,6,22.6,77.4,44.63,-0.03,-0.15,0.21,398,1.975,0.02,21.77,0.0,2.27,1.975,15,1,1,1,1
338,3.8,3.83,3.89,-0.27,-0.05,7,29.61,70.39,56.52,-0.08,-0.14,0.32,303,3.815,0.02,22.52,0.0,4.03,3.815,27,0,1,1,1
351,7.95,8.01,8.0,-0.51,-0.76,50,52.94,47.06,99.32,-0.15,-0.14,0.4,687,7.98,0.02,18.79,0.0,8.46,7.98,29,0,1,1,1
331,2.24,2.26,2.38,-0.18,0.21,1,19.7,80.3,37.91,-0.04,-0.13,0.23,140,2.25,0.01,25.5,0.0,2.38,2.25,22,0,1,1,1
321,0.72,0.73,0.78,-0.07,0.01,5,8.11,91.89,15.99,-0.01,-0.09,0.1,657,0.725,0.01,30.04,0.0,0.78,0.725,15,1,1,1,1
314,1.65,1.67,1.68,-0.11,-0.04,15,12.3,87.7,23.69,-0.03,-0.1,0.18,3638,1.66,0.01,31.51,0.0,1.83,1.66,29,1,1,1,1
340,1.5,1.51,1.53,-0.2,-0.47,94,20.69,79.31,40.94,-0.03,-0.13,0.19,2153,1.505,0.02,19.75,0.0,1.99,1.505,13,0,1,1,1
334,0.94,0.96,0.99,-0.12,-0.35,32,13.14,86.86,26.0,-0.02,-0.11,0.14,767,0.95,0.01,22.44,0.0,1.14,0.95,13,1,1,1,1
346,1.21,1.22,1.25,-0.25,-0.66,376,25.96,74.04,51.57,-0.02,-0.16,0.17,1286,1.215,0.04,15.31,0.0,1.92,1.215,7,0,1,1,1
295,0.57,0.58,0.76,-0.04,0.04,11,4.85,95.15,9.4,-0.01,-0.06,0.07,510,0.575,0.0,40.02,0.0,0.0,0.575,22,1,1,1,1
343,4.86,4.9,5.2,-0.35,0.41,1,37.05,62.95,70.4,-0.1,-0.15,0.36,788,4.88,0.02,20.78,0.0,5.2,4.88,27,0,1,1,1
300,0.89,0.91,0.91,-0.06,-0.04,8,6.98,93.02,13.49,-0.02,-0.07,0.11,352,0.9,0.0,36.54,0.0,0.95,0.9,27,1,1,1,1
316,0.97,0.99,1.51,-0.08,0.18,5,9.12,90.88,17.71,-0.02,-0.09,0.12,173,0.98,0.01,31.44,0.0,0.0,0.98,20,1,1,1,1
348,3.81,3.83,3.96,-0.4,0.03,50,41.2,58.8,81.3,-0.06,-0.16,0.28,819,3.82,0.03,18.02,0.0,4.41,3.82,15,0,1,1,1
321,1.03,1.04,1.04,-0.09,-0.3,191,10.28,89.72,19.99,-0.02,-0.11,0.13,12085,1.035,0.01,30.51,0.0,1.17,1.035,17,1,1,1,1
308,0.71,0.73,0.79,-0.06,0.0,1,6.61,93.39,12.85,-0.01,-0.08,0.09,222,0.72,0.0,34.77,0.0,0.79,0.72,20,1,1,1,1
325,1.99,2.01,1.97,-0.15,-0.42,101,16.36,83.64,31.51,-0.04,-0.12,0.21,27830,2.0,0.01,28.09,0.0,2.31,2.0,24,0,1,1,1
347,6.44,6.47,6.52,-0.43,0.03,134,44.88,55.12,84.74,-0.13,-0.15,0.39,2165,6.455,0.02,19.87,0.0,7.16,6.455,29,0,1,1,1
330,2.65,2.69,2.7,-0.19,-0.1,24,20.99,79.01,40.28,-0.05,-0.13,0.26,718,2.67,0.01,25.43,0.0,3.08,2.67,27,1,1,1,1
346,1.53,1.55,1.6,-0.28,-0.6,585,28.42,71.58,56.4,-0.02,-0.17,0.18,1096,1.54,0.04,16.24,0.0,2.16,1.54,8,0,1,1,1
298,0.99,1.0,1.01,-0.06,-0.1,2,7.3,92.7,14.11,-0.02,-0.07,0.12,943,0.995,0.0,37.32,0.0,1.04,0.995,29,1,1,1,1
317,0.6,0.61,0.69,-0.06,0.01,5,6.68,93.32,13.18,-0.01,-0.08,0.09,318,0.605,0.0,31.91,0.0,0.69,0.605,15,1,1,1,1
344,4.84,4.87,5.04,-0.36,-0.5,46,38.19,61.81,72.57,-0.09,-0.16,0.34,1592,4.855,0.02,20.86,0.0,5.21,4.855,24,0,1,1,1
333,2.81,2.83,2.93,-0.21,0.03,8,23.01,76.99,44.15,-0.05,-0.14,0.26,3399,2.82,0.01,24.97,0.0,3.13,2.82,24,0,1,1,1
346,2.52,2.54,2.6,-0.32,-0.68,148,33.51,66.49,66.3,-0.04,-0.15,0.25,347,2.53,0.03,17.16,0.0,2.95,2.53,13,0,1,1,1
343,5.28,5.31,5.37,-0.35,-0.56,392,37.88,62.12,71.89,-0.11,-0.15,0.37,1109,5.295,0.02,21.15,0.0,5.54,5.295,29,0,1,1,1
287,0.71,0.73,0.75,-0.04,-0.09,100,5.26,94.74,10.17,-0.01,-0.06,0.09,2955,0.72,0.0,41.3,0.0,0.75,0.72,29,1,1,1,1
327,0.97,0.98,1.04,-0.1,0.02,8,11.07,88.93,21.85,-0.02,-0.11,0.13,735,0.975,0.01,27.24,0.0,1.11,0.975,15,1,1,1,1
351,3.03,3.06,3.05,-0.49,-0.98,765,49.53,50.47,98.2,-0.04,-0.18,0.22,728,3.045,0.05,14.26,0.0,4.18,3.045,8,0,1,1,1
325,2.46,2.48,2.48,-0.16,-0.13,201,18.32,81.68,35.19,-0.05,-0.12,0.25,4224,2.47,0.01,27.55,0.0,2.87,2.47,29,1,1,1,1
342,3.94,3.97,3.97,-0.32,-0.38,5,33.67,66.33,64.25,-0.07,-0.16,0.31,334,3.955,0.02,21.26,0.0,4.24,3.955,22,0,1,1,1
349,6.43,6.46,6.55,-0.46,-0.75,233,48.27,51.73,91.04,-0.12,-0.16,0.36,857,6.445,0.02,19.27,0.0,7.34,6.445,24,0,1,1,1
337,3.62,3.66,3.75,-0.26,0.04,2,28.33,71.67,54.13,-0.07,-0.14,0.32,1147,3.64,0.01,22.88,0.0,3.75,3.64,27,0,1,1,1
294,0.88,0.89,0.8,-0.05,-0.22,3,6.48,93.52,12.51,-0.02,-0.07,0.11,668,0.885,0.0,38.79,0.0,0.0,0.885,29,1,1,1,1
317,1.45,1.47,1.47,-0.1,-0.05,1,11.9,88.1,22.97,-0.03,-0.11,0.16,487,1.46,0.01,31.19,0.0,1.47,1.46,24,1,1,1,1
335,3.3,3.34,3.4,-0.24,-0.11,6,25.95,74.05,49.67,-0.07,-0.14,0.3,1079,3.32,0.01,23.6,0.0,3.69,3.32,27,1,1,1,1
315,1.14,1.16,1.23,-0.09,0.07,2,9.95,90.05,19.26,-0.02,-0.1,0.14,312,1.15,0.01,31.94,0.0,1.29,1.15,22,1,1,1,1
