LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,ASK,Strike,expire_days,expire_price,target
0.45,0.04,660,5.04,94.96,10.21,0.0,-0.41,0.03,2515,0.465,0.01,78.71,0.0,0.45,0.48,370.0,1,332.36,0
0.31,0.04,423,3.43,96.57,6.94,0.0,-0.28,0.02,1005,0.31,0.0,80.93,0.0,0.3,0.32,375.0,1,332.36,0
0.21,0.02,11,2.43,97.57,4.91,0.0,-0.21,0.02,5,0.22,0.0,83.88,0.0,0.21,0.23,380.0,1,332.36,0
0.16,0.02,23,1.75,98.25,3.54,0.0,-0.15,0.01,1,0.16,0.0,86.96,0.0,0.15,0.17,385.0,1,332.36,0
0.08,-0.02,142,0.96,99.04,1.94,0.0,-0.09,0.01,15,0.09,0.0,93.25,0.0,0.08,0.1,395.0,1,332.36,0
0.08,0.02,28,0.77,99.23,1.56,0.0,-0.07,0.01,30,0.075,0.0,97.33,0.0,0.07,0.08,400.0,1,332.36,0
0.03,0.01,51,0.25,99.75,0.5,0.0,-0.02,0.0,6,0.025,0.0,107.57,0.0,0.02,0.03,420.0,1,332.36,0
9.69,1.05,42,46.7,53.3,96.28,0.02,-1.38,0.14,7,9.725,0.02,73.06,0.0,9.64,9.81,338.0,3,347.94,1
8.31,-0.26,22,43.58,56.42,89.7,0.02,-1.34,0.14,610,8.625,0.02,71.66,0.0,8.55,8.7,340.0,3,347.94,0
7.47,1.32,4,40.38,59.62,82.97,0.02,-1.3,0.14,2,7.565,0.02,70.08,0.0,7.48,7.65,342.0,3,347.94,0
6.47,0.98,2,37.14,62.86,76.19,0.01,-1.24,0.14,7,6.595,0.02,68.66,0.0,6.52,6.67,344.0,3,347.94,0
6.14,0.14,15,35.51,64.49,72.8,0.01,-1.21,0.13,910,6.14,0.02,67.98,0.0,6.07,6.21,345.0,3,347.94,0
5.63,0.0,41,33.88,66.12,69.42,0.01,-1.18,0.13,0,5.705,0.02,67.32,0.0,5.64,5.77,346.0,3,347.94,0
4.39,-0.52,3,30.64,69.36,62.68,0.01,-1.11,0.13,3,4.885,0.02,65.98,0.0,4.83,4.94,348.0,3,347.94,0
4.11,0.84,7,27.47,72.53,56.12,0.01,-1.03,0.12,149,4.155,0.02,64.79,0.0,4.1,4.21,350.0,3,347.94,0
3.3,0.0,49,24.4,75.6,49.8,0.01,-0.95,0.12,0,3.505,0.01,63.68,0.0,3.46,3.55,352.0,3,347.94,0
3.0,0.05,5,21.5,78.5,43.83,0.01,-0.87,0.11,6,2.94,0.01,62.74,0.0,2.9,2.98,354.0,3,347.94,0
2.6,0.24,1,20.13,79.87,41.02,0.01,-0.83,0.1,242,2.69,0.01,62.34,0.0,2.64,2.74,355.0,3,347.94,0
2.68,0.0,2,18.8,81.2,38.29,0.01,-0.79,0.1,0,2.455,0.01,61.95,0.0,2.41,2.5,356.0,3,347.94,0
1.55,-0.04,1,14.09,85.91,28.65,0.01,-0.63,0.08,14,1.695,0.01,60.81,0.0,1.65,1.74,360.0,3,347.94,0
1.02,0.0,3,9.57,90.43,19.44,0.0,-0.46,0.06,0,1.06,0.01,60.16,0.0,1.02,1.1,365.0,3,347.94,0
0.16,0.0,11,1.65,98.35,3.35,0.0,-0.11,0.02,0,0.165,0.0,66.77,0.0,0.15,0.18,390.0,3,347.94,0
10.24,0.35,96,48.14,51.86,99.55,0.03,-0.97,0.17,89,11.015,0.01,64.39,0.0,10.92,11.11,337.0,5,351.51,1
10.85,1.07,6,47.43,52.57,98.03,0.03,-0.96,0.17,145,10.725,0.01,64.09,0.0,10.63,10.82,337.5,5,351.51,1
10.42,-0.62,114,46.71,53.29,96.51,0.03,-0.96,0.17,168,10.44,0.01,63.8,0.0,10.35,10.53,338.0,5,351.51,1
9.78,0.49,5,45.26,54.74,93.44,0.03,-0.95,0.17,65,9.875,0.01,63.19,0.0,9.79,9.96,339.0,5,351.51,1
9.37,1.07,220,43.79,56.21,90.33,0.02,-0.94,0.17,355,9.315,0.01,62.53,0.0,9.23,9.4,340.0,5,351.51,1
8.88,1.35,6,42.31,57.69,87.19,0.02,-0.92,0.17,25,8.775,0.01,61.89,0.0,8.69,8.86,341.0,5,351.51,1
8.49,-0.1,7,40.81,59.19,84.03,0.02,-0.91,0.17,103,8.255,0.01,61.28,0.0,8.17,8.34,342.0,5,351.51,1
7.55,0.29,41,39.3,60.7,80.85,0.02,-0.89,0.17,115,7.75,0.01,60.66,0.0,7.67,7.83,343.0,5,351.51,1
7.23,1.41,20,37.78,62.22,77.67,0.02,-0.87,0.17,39,7.265,0.01,60.07,0.0,7.18,7.35,344.0,5,351.51,1
6.8,1.04,51,36.25,63.75,74.47,0.02,-0.86,0.17,131,6.795,0.01,59.47,0.0,6.72,6.87,345.0,5,351.51,0
6.36,0.36,106,34.72,65.28,71.28,0.02,-0.84,0.16,209,6.345,0.01,58.89,0.0,6.27,6.42,346.0,5,351.51,0
5.84,1.36,80,33.2,66.8,68.1,0.02,-0.81,0.16,138,5.915,0.01,58.34,0.0,5.84,5.99,347.0,5,351.51,0
5.65,0.25,3,31.68,68.32,64.93,0.02,-0.79,0.16,220,5.5,0.01,57.77,0.0,5.43,5.57,348.0,5,351.51,0
5.02,0.22,9,30.16,69.84,61.78,0.02,-0.77,0.16,118,5.105,0.01,57.22,0.0,5.04,5.17,349.0,5,351.51,0
4.68,0.25,133,28.67,71.33,58.7,0.02,-0.75,0.15,656,4.735,0.01,56.73,0.0,4.67,4.8,350.0,5,351.51,0
4.3,-0.32,17,27.19,72.81,55.64,0.02,-0.72,0.15,78,4.38,0.01,56.23,0.0,4.32,4.44,351.0,5,351.51,0
4.16,0.44,13,25.73,74.27,52.61,0.01,-0.69,0.15,37,4.04,0.01,55.72,0.0,3.98,4.1,352.0,5,351.51,0
3.93,0.48,6,25.01,74.99,51.13,0.01,-0.68,0.14,136,3.88,0.01,55.49,0.0,3.82,3.94,352.5,5,351.51,0
3.24,0.3,1,22.93,77.07,46.84,0.01,-0.64,0.14,23,3.435,0.01,54.89,0.0,3.38,3.49,354.0,5,351.51,0
2.97,0.04,33,21.57,78.43,44.03,0.01,-0.62,0.13,269,3.155,0.01,54.46,0.0,3.1,3.21,355.0,5,351.51,0
2.99,0.44,14,20.27,79.73,41.36,0.01,-0.59,0.13,7,2.9,0.01,54.11,0.0,2.84,2.96,356.0,5,351.51,0
2.17,0.09,9,17.81,82.19,36.29,0.01,-0.54,0.12,78,2.44,0.01,53.47,0.0,2.38,2.5,358.0,5,351.51,0
2.1,0.08,1,16.61,83.39,33.84,0.01,-0.51,0.11,41,2.225,0.01,53.11,0.0,2.17,2.28,359.0,5,351.51,0
1.82,0.11,153,15.54,84.46,31.65,0.01,-0.49,0.11,150,2.045,0.01,52.93,0.0,1.99,2.1,360.0,5,351.51,0
1.67,0.05,12,14.5,85.5,29.53,0.01,-0.46,0.11,52,1.875,0.01,52.75,0.0,1.82,1.93,361.0,5,351.51,0
1.75,0.3,2,13.49,86.51,27.45,0.01,-0.44,0.1,353,1.71,0.01,52.51,0.0,1.66,1.76,362.0,5,351.51,0
1.6,0.5,2,12.55,87.45,25.54,0.01,-0.41,0.1,1,1.565,0.01,52.35,0.0,1.51,1.62,363.0,5,351.51,0
1.48,0.49,2,11.66,88.34,23.72,0.01,-0.39,0.09,1,1.43,0.01,52.21,0.0,1.38,1.48,364.0,5,351.51,0
1.31,0.16,10,10.8,89.2,21.95,0.01,-0.37,0.09,2078,1.3,0.01,52.01,0.0,1.25,1.35,365.0,5,351.51,0
1.06,0.27,8,9.31,90.69,18.91,0.01,-0.33,0.08,8,1.09,0.01,51.9,0.0,1.04,1.14,367.0,5,351.51,0
0.73,0.02,6,7.4,92.6,15.03,0.0,-0.27,0.07,92,0.835,0.01,51.83,0.0,0.79,0.88,370.0,5,351.51,0
0.59,0.05,6,5.13,94.87,10.4,0.0,-0.2,0.05,92,0.555,0.01,52.34,0.0,0.52,0.59,375.0,5,351.51,0
0.38,0.0,8,3.63,96.37,7.36,0.0,-0.16,0.04,13,0.385,0.0,53.4,0.0,0.36,0.41,380.0,5,351.51,0
0.24,-0.01,5,2.58,97.42,5.23,0.0,-0.12,0.03,6,0.27,0.0,54.54,0.0,0.25,0.29,385.0,5,351.51,0
0.14,0.01,8,1.39,98.61,2.81,0.0,-0.07,0.02,17,0.145,0.0,57.42,0.0,0.13,0.16,395.0,5,351.51,0
0.08,0.0,1,0.64,99.36,1.3,0.0,-0.04,0.01,102,0.07,0.0,62.63,0.0,0.06,0.08,410.0,5,351.51,0
11.67,0.0,4,46.7,53.3,96.82,0.06,-0.48,0.25,0,11.565,0.01,47.78,0.0,11.47,11.66,338.0,12,358.9,1
11.08,0.0,2,45.39,54.61,94.02,0.05,-0.47,0.25,0,10.99,0.01,47.33,0.0,10.92,11.06,339.0,12,358.9,1
10.3,0.0,77,44.06,55.94,91.18,0.05,-0.47,0.25,0,10.425,0.01,46.87,0.0,10.35,10.5,340.0,12,358.9,1
9.31,0.0,1,42.72,57.28,88.33,0.05,-0.46,0.25,0,9.875,0.01,46.41,0.0,9.8,9.95,341.0,12,358.9,1
9.23,0.0,99,41.36,58.64,85.45,0.05,-0.45,0.25,0,9.34,0.01,45.95,0.0,9.27,9.41,342.0,12,358.9,1
8.53,0.0,5,39.99,60.01,82.55,0.05,-0.45,0.25,0,8.82,0.01,45.5,0.0,8.75,8.89,343.0,12,358.9,1
8.07,0.0,3,38.61,61.39,79.64,0.05,-0.44,0.25,0,8.32,0.01,45.07,0.0,8.25,8.39,344.0,12,358.9,1
7.12,0.0,1,35.83,64.17,73.79,0.04,-0.42,0.24,0,7.365,0.01,44.21,0.0,7.3,7.43,346.0,12,358.9,1
7.03,0.0,103,34.44,65.56,70.87,0.04,-0.41,0.24,0,6.915,0.01,43.81,0.0,6.85,6.98,347.0,12,358.9,1
6.41,0.0,1,31.65,68.35,65.03,0.04,-0.39,0.23,0,6.055,0.01,42.97,0.0,5.99,6.12,349.0,12,358.9,1
5.81,0.0,18,30.26,69.74,62.14,0.04,-0.38,0.23,0,5.655,0.01,42.58,0.0,5.59,5.72,350.0,12,358.9,1
4.95,0.0,50,26.88,73.12,55.11,0.03,-0.36,0.22,0,4.745,0.01,41.71,0.0,4.69,4.8,352.5,12,358.9,1
3.54,0.0,1,23.62,76.38,48.34,0.03,-0.33,0.21,0,3.94,0.01,40.9,0.0,3.88,4.0,355.0,12,358.9,1
3.41,0.0,4,20.53,79.47,41.97,0.03,-0.3,0.19,0,3.245,0.01,40.18,0.0,3.19,3.3,357.5,12,358.9,0
2.59,0.0,48,17.69,82.31,36.12,0.02,-0.27,0.18,0,2.66,0.01,39.59,0.0,2.6,2.72,360.0,12,358.9,0
1.68,0.0,10,12.85,87.15,26.18,0.02,-0.21,0.14,0,1.77,0.01,38.78,0.0,1.72,1.82,365.0,12,358.9,0
1.21,0.0,2,9.22,90.78,18.75,0.01,-0.17,0.12,0,1.19,0.01,38.53,0.0,1.15,1.23,370.0,12,358.9,0
0.81,0.0,33,6.58,93.42,13.38,0.01,-0.13,0.09,0,0.81,0.01,38.65,0.0,0.77,0.85,375.0,12,358.9,0
0.55,0.0,11,4.71,95.29,9.56,0.01,-0.1,0.07,0,0.56,0.0,39.02,0.0,0.53,0.59,380.0,12,358.9,0
0.43,0.0,1,3.45,96.55,7.01,0.0,-0.08,0.06,0,0.405,0.0,39.78,0.0,0.39,0.42,385.0,12,358.9,0
0.32,0.0,1,2.57,97.43,5.22,0.0,-0.07,0.04,0,0.3,0.0,40.68,0.0,0.28,0.32,390.0,12,358.9,0
0.18,0.0,20,1.46,98.54,2.96,0.0,-0.04,0.03,0,0.17,0.0,42.54,0.0,0.16,0.18,400.0,12,358.9,0
13.36,2.0,1105,47.86,52.14,99.62,0.09,-0.33,0.31,4319,13.11,0.01,41.93,0.0,13.07,13.15,337.0,19,357.72,1
12.76,1.9,577,46.67,53.33,97.03,0.09,-0.33,0.31,13933,12.515,0.01,41.54,0.0,12.47,12.56,338.0,19,357.72,1
12.2,1.99,669,45.46,54.54,94.43,0.08,-0.33,0.31,14487,11.935,0.01,41.16,0.0,11.9,11.97,339.0,19,357.72,1
11.48,1.71,2824,44.23,55.77,91.8,0.08,-0.32,0.31,14390,11.375,0.01,40.81,0.0,11.34,11.41,340.0,19,357.72,1
11.04,1.77,174,42.99,57.01,89.14,0.08,-0.32,0.31,10796,10.815,0.01,40.41,0.0,10.78,10.85,341.0,19,357.72,1
10.49,1.76,720,41.73,58.27,86.47,0.08,-0.32,0.31,7355,10.275,0.01,40.04,0.0,10.24,10.31,342.0,19,357.72,1
9.96,1.69,573,40.47,59.53,83.77,0.08,-0.31,0.31,16675,9.745,0.01,39.66,0.0,9.71,9.78,343.0,19,357.72,1
8.95,1.13,286,39.19,60.81,81.07,0.07,-0.31,0.31,11924,9.235,0.01,39.3,0.0,9.2,9.27,344.0,19,357.72,1
9.0,1.6,1004,37.91,62.09,78.34,0.07,-0.3,0.31,15074,8.735,0.01,38.93,0.0,8.7,8.77,345.0,19,357.72,1
8.28,1.34,558,36.61,63.39,75.61,0.07,-0.3,0.3,2540,8.25,0.01,38.56,0.0,8.22,8.28,346.0,19,357.72,1
7.76,1.24,680,35.32,64.68,72.87,0.07,-0.29,0.3,13727,7.78,0.01,38.2,0.0,7.75,7.81,347.0,19,357.72,1
7.37,1.33,404,34.03,65.97,70.16,0.06,-0.29,0.3,4184,7.335,0.01,37.87,0.0,7.3,7.37,348.0,19,357.72,1
7.04,1.41,273,32.73,67.27,67.44,0.06,-0.28,0.29,4039,6.9,0.01,37.53,0.0,6.87,6.93,349.0,19,357.72,1
6.6,1.34,1031,31.44,68.56,64.72,0.06,-0.27,0.29,61232,6.48,0.01,37.19,0.0,6.45,6.51,350.0,19,357.72,1
6.08,1.11,386,30.15,69.85,62.04,0.06,-0.27,0.29,4090,6.08,0.01,36.87,0.0,6.05,6.11,351.0,19,357.72,1
5.51,0.87,268,28.88,71.12,59.38,0.06,-0.26,0.28,5050,5.7,0.01,36.57,0.0,5.67,5.73,352.0,19,357.72,1
5.08,0.72,700,27.62,72.38,56.74,0.05,-0.25,0.28,2929,5.33,0.01,36.26,0.0,5.3,5.36,353.0,19,357.72,0
5.08,0.74,232,26.38,73.62,54.16,0.05,-0.25,0.27,4687,4.985,0.01,35.98,0.0,4.96,5.01,354.0,19,357.72,0
4.75,1.05,854,25.15,74.85,51.62,0.05,-0.24,0.26,5895,4.655,0.01,35.71,0.0,4.63,4.68,355.0,19,357.72,0
4.45,1.01,1201,23.95,76.05,49.11,0.05,-0.23,0.26,6450,4.34,0.01,35.45,0.0,4.31,4.37,356.0,19,357.72,0
4.08,0.64,175,22.76,77.24,46.66,0.04,-0.22,0.25,6318,4.04,0.01,35.19,0.0,4.01,4.07,357.0,19,357.72,0
3.62,0.59,209,21.61,78.39,44.28,0.04,-0.22,0.25,6299,3.76,0.01,34.95,0.0,3.73,3.79,358.0,19,357.72,0
3.52,0.29,117,20.49,79.51,41.96,0.04,-0.21,0.24,2273,3.495,0.01,34.73,0.0,3.47,3.52,359.0,19,357.72,0
3.32,0.77,993,19.37,80.63,39.64,0.04,-0.2,0.23,17027,3.235,0.01,34.47,0.0,3.22,3.25,360.0,19,357.72,0
3.09,0.25,470,18.35,81.65,37.54,0.04,-0.19,0.22,5617,3.015,0.01,34.33,0.0,2.99,3.04,361.0,19,357.72,0
2.66,0.17,137,17.33,82.67,35.44,0.03,-0.19,0.22,2745,2.795,0.01,34.15,0.0,2.77,2.82,362.0,19,357.72,0
2.62,0.39,233,16.37,83.63,33.45,0.03,-0.18,0.21,1816,2.595,0.01,34.0,0.0,2.57,2.62,363.0,19,357.72,0
2.46,0.58,576,15.43,84.57,31.52,0.03,-0.17,0.2,1972,2.405,0.01,33.85,0.0,2.38,2.43,364.0,19,357.72,0
2.3,0.32,591,14.54,85.46,29.68,0.03,-0.16,0.19,4561,2.23,0.01,33.72,0.0,2.21,2.25,365.0,19,357.72,0
2.02,0.18,250,13.68,86.32,27.92,0.03,-0.16,0.19,1884,2.065,0.01,33.59,0.0,2.04,2.09,366.0,19,357.72,0
1.96,0.28,116,12.87,87.13,26.26,0.03,-0.15,0.18,3374,1.915,0.01,33.5,0.0,1.89,1.94,367.0,19,357.72,0
1.83,0.41,70,12.1,87.9,24.67,0.02,-0.14,0.17,1658,1.775,0.01,33.41,0.0,1.75,1.8,368.0,19,357.72,0
1.63,0.16,7,11.38,88.62,23.21,0.02,-0.14,0.17,4686,1.65,0.01,33.37,0.0,1.63,1.67,369.0,19,357.72,0
1.59,0.38,9415,10.69,89.31,21.8,0.02,-0.13,0.16,13690,1.53,0.01,33.31,0.0,1.51,1.55,370.0,19,357.72,0
1.44,0.19,13,10.04,89.96,20.46,0.02,-0.13,0.15,1431,1.42,0.01,33.27,0.0,1.4,1.44,371.0,19,357.72,0
1.37,0.28,89,9.43,90.57,19.22,0.02,-0.12,0.15,3281,1.32,0.01,33.25,0.0,1.3,1.34,372.0,19,357.72,0
1.26,0.23,7,8.87,91.13,18.08,0.02,-0.12,0.14,1179,1.23,0.01,33.26,0.0,1.21,1.25,373.0,19,357.72,0
1.11,0.18,8,8.32,91.68,16.94,0.02,-0.11,0.13,951,1.14,0.01,33.23,0.0,1.12,1.16,374.0,19,357.72,0
1.09,0.25,290,7.83,92.17,15.94,0.02,-0.11,0.13,9060,1.065,0.01,33.28,0.0,1.05,1.08,375.0,19,357.72,0
1.04,0.22,6,7.37,92.63,15.0,0.02,-0.1,0.12,5285,0.995,0.01,33.32,0.0,0.98,1.01,376.0,19,357.72,0
0.91,0.08,608,6.93,93.07,14.11,0.01,-0.1,0.12,1063,0.93,0.01,33.38,0.0,0.91,0.95,377.0,19,357.72,0
0.87,0.13,55,6.5,93.5,13.24,0.01,-0.09,0.11,363,0.865,0.01,33.4,0.0,0.85,0.88,378.0,19,357.72,0
0.83,0.04,259,6.12,93.88,12.46,0.01,-0.09,0.11,1586,0.81,0.01,33.47,0.0,0.79,0.83,379.0,19,357.72,0
0.76,0.1,352,5.75,94.25,11.7,0.01,-0.08,0.1,18413,0.755,0.0,33.51,0.0,0.74,0.77,380.0,19,357.72,0
0.67,0.04,133,5.43,94.57,11.04,0.01,-0.08,0.1,483,0.71,0.0,33.62,0.0,0.69,0.73,381.0,19,357.72,0
0.65,-0.06,11,5.11,94.89,10.39,0.01,-0.08,0.09,1013,0.665,0.0,33.7,0.0,0.65,0.68,382.0,19,357.72,0
0.6,-0.01,4,4.82,95.18,9.8,0.01,-0.07,0.09,2500,0.625,0.0,33.81,0.0,0.61,0.64,383.0,19,357.72,0
0.58,0.03,6,4.51,95.49,9.17,0.01,-0.07,0.09,879,0.58,0.0,33.82,0.0,0.57,0.59,384.0,19,357.72,0
0.56,0.11,89,4.28,95.72,8.7,0.01,-0.07,0.08,3989,0.55,0.0,33.99,0.0,0.54,0.56,385.0,19,357.72,0
0.41,0.09,78,3.22,96.78,6.55,0.01,-0.06,0.07,9236,0.41,0.0,34.62,0.0,0.4,0.42,390.0,19,357.72,0
0.31,0.04,31,2.45,97.55,4.98,0.01,-0.05,0.05,6658,0.31,0.0,35.31,0.0,0.3,0.32,395.0,19,357.72,0
0.24,0.04,422,1.86,98.14,3.79,0.0,-0.04,0.04,33526,0.235,0.0,35.98,0.0,0.23,0.24,400.0,19,357.72,0
0.18,-0.02,3,1.46,98.54,2.96,0.0,-0.03,0.04,3531,0.185,0.0,36.83,0.0,0.18,0.19,405.0,19,357.72,0
0.14,-0.01,71,1.14,98.86,2.31,0.0,-0.03,0.03,7169,0.145,0.0,37.61,0.0,0.14,0.15,410.0,19,357.72,0
0.11,0.0,61,0.9,99.1,1.82,0.0,-0.02,0.02,4875,0.115,0.0,38.39,0.0,0.11,0.12,415.0,19,357.72,0
0.1,0.01,224,0.73,99.27,1.48,0.0,-0.02,0.02,7595,0.095,0.0,39.34,0.0,0.09,0.1,420.0,19,357.72,0
0.07,0.01,23,0.61,99.39,1.23,0.0,-0.02,0.02,3212,0.08,0.0,40.35,0.0,0.07,0.09,425.0,19,357.72,0
0.07,0.01,9,0.49,99.51,0.99,0.0,-0.01,0.01,2354,0.065,0.0,41.13,0.0,0.06,0.07,430.0,19,357.72,0
0.05,0.01,5,0.36,99.64,0.73,0.0,-0.01,0.01,967,0.05,0.0,43.25,0.0,0.04,0.06,440.0,19,357.72,0
0.03,-0.01,1,0.31,99.69,0.63,0.0,-0.01,0.01,617,0.045,0.0,44.35,0.0,0.04,0.05,445.0,19,357.72,0
0.04,0.0,1,0.3,99.7,0.61,0.0,-0.01,0.01,4738,0.045,0.0,45.92,0.0,0.04,0.05,450.0,19,357.72,0
0.06,-0.01,3,0.24,99.76,0.48,0.0,-0.01,0.01,1431,0.035,0.0,46.35,0.0,0.03,0.04,455.0,19,357.72,0
0.03,-0.01,6,0.23,99.77,0.46,0.0,-0.01,0.01,1688,0.035,0.0,47.82,0.0,0.03,0.04,460.0,19,357.72,0
0.03,0.0,1,0.16,99.84,0.33,0.0,-0.01,0.01,472,0.025,0.0,47.76,0.0,0.02,0.03,465.0,19,357.72,0
0.03,0.0,74,0.16,99.84,0.32,0.0,-0.01,0.01,892,0.025,0.0,49.14,0.0,0.02,0.03,470.0,19,357.72,0
0.02,0.0,1,0.15,99.85,0.31,0.0,-0.01,0.01,3105,0.025,0.0,50.55,0.0,0.02,0.03,475.0,19,357.72,0
0.02,0.0,17,0.09,99.91,0.19,0.0,0.0,0.0,3670,0.015,0.0,49.61,0.0,0.01,0.02,480.0,19,357.72,0
