,Option Code,LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Volume.1,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,ASK,Unnamed: 22,Unnamed: 23,Exp,Strike
10,SPY200902C215,0.0,0,<empty>,98.60%,1.40%,2.70%,0.01,-0.2,0.01,<empty>,0,0.21,0.0,286.69%,135.51,135.56,135.88,,,2 SEP 20,215
11,SPY200902C220,0.0,0,<empty>,98.69%,1.31%,2.54%,0.01,-0.18,0.01,<empty>,0,0.19,0.0,271.01%,130.51,130.54,130.86,,,2 SEP 20,220
12,SPY200902C225,119.62,<empty>,2,98.47%,1.53%,2.96%,0.01,-0.22,0.01,2,1,0.225,0.0,264.99%,125.51,125.58,125.89,,,2 SEP 20,225
13,SPY200902C230,0.0,0,<empty>,99.19%,0.81%,1.59%,0.01,-0.1,0.0,<empty>,0,0.1,0.0,228.92%,120.51,120.46,120.76,,,2 SEP 20,230
14,SPY200902C235,0.0,0,<empty>,98.67%,1.33%,2.59%,0.01,-0.18,0.01,<empty>,0,0.18,0.0,234.59%,115.51,115.54,115.84,,,2 SEP 20,235
15,SPY200902C240,0.0,0,<empty>,99.05%,0.95%,1.86%,0.01,-0.11,0.0,<empty>,0,0.115,0.0,211.28%,110.51,110.48,110.77,,,2 SEP 20,240
16,SPY200902C245,0.0,0,<empty>,98.54%,1.46%,2.83%,0.01,-0.18,0.01,<empty>,0,0.19,0.0,214.05%,105.51,105.55,105.85,,,2 SEP 20,245
17,SPY200902C250,0.0,0,<empty>,98.38%,1.62%,3.15%,0.01,-0.2,0.01,<empty>,0,0.21,0.0,206.06%,100.51,100.58,100.86,,,2 SEP 20,250
18,SPY200902C255,0.0,0,<empty>,99.35%,0.65%,1.28%,0.01,-0.06,0.0,<empty>,0,0.065,0.0,168.93%,95.51,95.42,95.73,,,2 SEP 20,255
19,SPY200902C260,0.0,0,<empty>,98.93%,1.07%,2.09%,0.01,-0.11,0.01,<empty>,0,0.115,0.0,170.66%,90.51,90.48,90.77,,,2 SEP 20,260
20,SPY200902C265,0.0,0,<empty>,99.01%,0.99%,1.94%,0.01,-0.1,0.01,<empty>,0,0.1,0.0,158.13%,85.51,85.46,85.76,,,2 SEP 20,265
21,SPY200902C270,78.78,+16.64,20,99.06%,0.94%,1.86%,0.01,-0.09,0.01,20,40,0.09,0.0,146.82%,80.51,80.4,80.8,,,2 SEP 20,270
22,SPY200902C275,0.0,0,<empty>,98.93%,1.07%,2.10%,0.01,-0.1,0.01,<empty>,0,0.1,0.0,139.31%,75.51,75.46,75.76,,,2 SEP 20,275
23,SPY200902C280,44.03,<empty>,2,98.97%,1.03%,2.02%,0.02,-0.09,0.01,2,2,0.09,0.0,128.36%,70.51,70.4,70.8,,,2 SEP 20,280
24,SPY200902C285,0.0,0,<empty>,97.92%,2.08%,4.09%,0.02,-0.2,0.01,<empty>,0,0.21,0.0,133.99%,65.51,65.63,65.81,,,2 SEP 20,285
25,SPY200902C290,60.2,+2.37,2,97.97%,2.03%,3.99%,0.02,-0.18,0.01,2,36,0.19,0.0,122.33%,60.51,60.59,60.81,,,2 SEP 20,290
26,SPY200902C295,37.52,+7.38,1,97.81%,2.19%,4.31%,0.02,-0.19,0.01,1,2,0.195,0.0,113.18%,55.51,55.62,55.79,,,2 SEP 20,295
27,SPY200902C297,0.0,0,<empty>,97.76%,2.24%,4.41%,0.02,-0.18,0.01,<empty>,0,0.195,0.0,109.34%,53.51,53.57,53.84,,,2 SEP 20,297
28,SPY200902C298,0.0,0,<empty>,100.00%,0.00%,0.00%,0.02,0.0,0.0,<empty>,0,-0.015,0.0,--,52.51,52.43,52.56,,,2 SEP 20,298
29,SPY200902C299,51.49,0,0,100.00%,0.00%,0.00%,0.02,0.0,0.0,0,11,-0.01,0.0,--,51.51,51.44,51.56,,,2 SEP 20,299
30,SPY200902C300,48.36,+5.96,1,97.68%,2.32%,4.58%,0.02,-0.18,0.01,1,453,0.195,0.0,103.62%,50.51,50.62,50.79,,,2 SEP 20,300
31,SPY200902C301,37.28,+7.87,1,97.69%,2.31%,4.55%,0.02,-0.18,0.01,1,2,0.19,0.0,101.31%,49.51,49.58,49.82,,,2 SEP 20,301
32,SPY200902C302,31.37,<empty>,2,98.98%,1.02%,2.01%,0.02,-0.06,0.01,2,33,0.065,0.0,85.61%,48.51,48.46,48.69,,,2 SEP 20,302
33,SPY200902C303,47.46,+.74,19,97.63%,2.37%,4.68%,0.02,-0.18,0.01,19,41,0.19,0.0,97.52%,47.51,47.61,47.79,,,2 SEP 20,303
34,SPY200902C304,46.41,+8.52,3,100.00%,0.00%,0.00%,0.02,0.0,0.0,3,20,-0.03,0.0,--,46.51,46.4,46.56,,,2 SEP 20,304
35,SPY200902C305,45.55,0,0,97.66%,2.34%,4.63%,0.02,-0.17,0.01,0,24,0.18,0.0,92.96%,45.51,45.57,45.81,,,2 SEP 20,305
36,SPY200902C306,25.33,+4.98,2,97.10%,2.90%,5.73%,0.02,-0.22,0.01,2,4,0.235,0.0,95.06%,44.51,44.66,44.83,,,2 SEP 20,306
37,SPY200902C307,43.28,0,0,97.63%,2.37%,4.67%,0.02,-0.17,0.01,0,20,0.175,0.0,88.83%,43.51,43.59,43.78,,,2 SEP 20,307
38,SPY200902C308,0.0,0,<empty>,97.60%,2.40%,4.75%,0.02,-0.17,0.01,<empty>,33,0.175,0.0,86.97%,42.51,42.59,42.78,,,2 SEP 20,308
39,SPY200902C309,41.24,0,0,99.86%,0.14%,0.28%,0.02,-0.01,0.0,0,11,0.005,0.0,56.59%,41.51,41.45,41.58,,,2 SEP 20,309
40,SPY200902C310,40.81,0,0,97.42%,2.58%,5.11%,0.02,-0.17,0.01,0,15,0.185,0.0,83.95%,40.51,40.61,40.78,,,2 SEP 20,310
41,SPY200902C311,39.73,0,0,97.48%,2.52%,4.98%,0.02,-0.16,0.01,0,1,0.175,0.0,81.35%,39.51,39.59,39.78,,,2 SEP 20,311
42,SPY200902C312,19.66,<empty>,6,98.14%,1.86%,3.68%,0.02,-0.11,0.01,6,11,0.115,0.0,74.51%,38.51,38.53,38.72,,,2 SEP 20,312
43,SPY200902C313,37.73,0,0,98.23%,1.77%,3.51%,0.02,-0.1,0.01,0,1,0.105,0.0,71.82%,37.51,37.5,37.73,,,2 SEP 20,313
44,SPY200902C314,36.43,0,0,98.19%,1.81%,3.58%,0.02,-0.1,0.01,0,11,0.105,0.0,70.07%,36.51,36.5,36.73,,,2 SEP 20,314
45,SPY200902C315,35.54,-.47,19,98.16%,1.84%,3.65%,0.02,-0.1,0.01,19,67,0.105,0.0,68.32%,35.51,35.52,35.71,,,2 SEP 20,315
46,SPY200902C316,34.9,0,0,97.01%,2.99%,5.92%,0.02,-0.18,0.02,0,143,0.195,0.0,73.36%,34.51,34.59,34.82,,,2 SEP 20,316
47,SPY200902C317,33.97,0,0,99.60%,0.40%,0.79%,0.02,-0.01,0.0,0,62,0.015,0.0,50.84%,33.51,33.48,33.57,,,2 SEP 20,317
48,SPY200902C318,30.43,+6.42,1,96.89%,3.11%,6.16%,0.02,-0.18,0.02,1,23,0.195,0.0,69.59%,32.51,32.59,32.82,,,2 SEP 20,318
49,SPY200902C319,32.22,+.21,18,99.70%,0.30%,0.60%,0.02,-0.01,0.0,18,178,0.01,0.0,46.10%,31.51,31.43,31.61,,,2 SEP 20,319
50,SPY200902C320,30.59,0,0,96.75%,3.25%,6.44%,0.02,-0.18,0.02,0,42,0.195,0.0,65.82%,30.51,30.63,30.78,,,2 SEP 20,320
51,SPY200902C321,29.06,0,0,96.32%,3.68%,7.30%,0.02,-0.21,0.02,0,185,0.225,0.0,65.56%,29.51,29.64,29.83,,,2 SEP 20,321
52,SPY200902C322,28.28,0,0,96.11%,3.89%,7.71%,0.02,-0.21,0.02,0,14,0.235,0.0,64.14%,28.51,28.63,28.86,,,2 SEP 20,322
53,SPY200902C323,27.76,0,0,96.52%,3.48%,6.90%,0.02,-0.18,0.02,0,49,0.195,0.0,60.15%,27.51,27.59,27.82,,,2 SEP 20,323
54,SPY200902C324,26.48,0,0,96.23%,3.77%,7.47%,0.02,-0.19,0.02,0,44,0.21,0.0,59.03%,26.51,26.62,26.82,,,2 SEP 20,324
55,SPY200902C325,25.94,+1.23,20,96.27%,3.73%,7.40%,0.02,-0.18,0.02,20,186,0.2,0.01,56.61%,25.51,25.61,25.81,,,2 SEP 20,325
56,SPY200902C326,24.71,+.24,30,96.24%,3.76%,7.46%,0.02,-0.18,0.02,30,516,0.195,0.01,54.45%,24.51,24.59,24.82,,,2 SEP 20,326
57,SPY200902C327,23.27,0,0,96.42%,3.58%,7.11%,0.02,-0.16,0.02,0,688,0.175,0.01,51.53%,23.51,23.6,23.77,,,2 SEP 20,327
58,SPY200902C328,22.02,0,0,99.17%,0.83%,1.66%,0.02,-0.02,0.01,0,75,0.025,0.0,37.25%,22.51,22.49,22.58,,,2 SEP 20,328
59,SPY200902C329,22.12,0,0,99.00%,1.00%,1.99%,0.02,-0.03,0.01,0,67,0.03,0.0,36.56%,21.51,21.49,21.59,,,2 SEP 20,329
60,SPY200902C330,21.14,+.13,1,98.97%,1.03%,2.06%,0.02,-0.03,0.01,1,245,0.03,0.0,35.02%,20.51,20.49,20.59,,,2 SEP 20,330
61,SPY200902C331,20.19,+.48,9,97.10%,2.90%,5.77%,0.02,-0.1,0.02,9,464,0.11,0.01,40.51%,19.51,19.5,19.74,,,2 SEP 20,331
62,SPY200902C332,19.18,-.05,8,98.74%,1.26%,2.51%,0.02,-0.03,0.01,8,645,0.035,0.0,32.58%,18.51,18.49,18.6,,,2 SEP 20,332
63,SPY200902C333,17.41,+.67,23,95.81%,4.19%,8.33%,0.02,-0.15,0.02,23,406,0.165,0.01,39.71%,17.51,17.6,17.75,,,2 SEP 20,333
64,SPY200902C334,17.18,0,0,97.06%,2.94%,5.85%,0.02,-0.09,0.02,0,510,0.095,0.01,34.27%,16.51,16.52,16.69,,,2 SEP 20,334
65,SPY200902C335,16.02,+.31,96,97.84%,2.16%,4.31%,0.02,-0.06,0.01,96,783,0.06,0.01,30.10%,15.51,15.5,15.64,,,2 SEP 20,335
66,SPY200902C336,14.86,+.10,50,96.80%,3.20%,6.37%,0.02,-0.09,0.02,50,763,0.095,0.01,30.66%,14.51,14.55,14.66,,,2 SEP 20,336
67,SPY200902C337,13.5,+.79,33,93.75%,6.25%,12.43%,0.02,-0.2,0.03,33,"1,162",0.23,0.01,34.34%,13.51,13.68,13.8,,,2 SEP 20,337
68,SPY200902C338,12.79,+.74,18,92.70%,7.30%,14.52%,0.02,-0.23,0.03,18,"1,079",0.27,0.02,33.49%,12.51,12.71,12.85,,,2 SEP 20,338
69,SPY200902C339,11.7,-.48,23,93.69%,6.31%,12.56%,0.02,-0.17,0.03,23,863,0.2,0.02,29.30%,11.51,11.6,11.82,,,2 SEP 20,339
70,SPY200902C340,10.72,+.81,404,96.78%,3.22%,6.42%,0.02,-0.06,0.02,404,"1,901",0.07,0.01,22.15%,10.51,10.53,10.63,,,2 SEP 20,340
71,SPY200902C341,10.33,+.82,24,96.54%,3.46%,6.89%,0.02,-0.06,0.02,24,"3,219",0.07,0.01,20.37%,9.51,9.53,9.63,,,2 SEP 20,341
72,SPY200902C342,8.6,+.49,251,94.86%,5.14%,10.25%,0.02,-0.1,0.03,251,"1,547",0.11,0.02,20.27%,8.51,8.58,8.66,,,2 SEP 20,342
73,SPY200902C343,8.22,+1.13,395,93.44%,6.56%,13.08%,0.02,-0.12,0.03,395,"2,091",0.14,0.02,19.30%,7.51,7.61,7.69,,,2 SEP 20,343
74,SPY200902C344,6.62,+.30,60,91.11%,8.89%,17.73%,0.02,-0.16,0.04,60,"1,450",0.195,0.03,18.71%,6.51,6.66,6.75,,,2 SEP 20,344
75,SPY200902C345,5.76,+.34,521,88.17%,11.83%,23.59%,0.02,-0.2,0.05,521,"2,402",0.265,0.04,17.99%,5.51,5.74,5.81,,,2 SEP 20,345
76,SPY200902C346,4.85,+.53,265,82.82%,17.18%,34.24%,0.02,-0.29,0.07,265,"2,223",0.43,0.05,18.35%,4.51,4.9,4.98,,,2 SEP 20,346
77,SPY200902C347,4.1,+.57,"1,019",79.74%,20.26%,40.38%,0.02,-0.3,0.07,"1,019","3,708",0.47,0.07,16.22%,3.51,3.96,4.0,,,2 SEP 20,347
78,SPY200902C348,3.15,+.38,"2,702",71.16%,28.84%,57.46%,0.01,-0.42,0.09,"2,702","4,837",0.795,0.08,17.21%,2.51,3.28,3.33,,,2 SEP 20,348
79,SPY200902C349,2.38,+.25,"9,717",65.45%,34.55%,68.86%,0.01,-0.39,0.1,"9,717","7,933",0.86,0.1,14.48%,1.51,2.36,2.38,,,2 SEP 20,349
80,SPY200902C350,1.68,+.12,"30,694",55.54%,44.46%,88.59%,0.01,-0.41,0.1,"30,694","11,089",1.17,0.11,13.64%,0.51,1.67,1.69,,,2 SEP 20,350
81,SPY200902C351,1.12,+.04,"37,985",44.04%,55.96%,88.39%,0.01,-0.39,0.1,"37,985","10,948",1.115,0.12,13.00%,0.0,1.11,1.12,,,2 SEP 20,351
82,SPY200902C352,0.67,-.04,"20,187",32.16%,67.84%,64.51%,0.01,-0.33,0.09,"20,187","9,289",0.685,0.11,12.50%,0.0,0.68,0.69,,,2 SEP 20,352
83,SPY200902C353,0.43,-.04,"12,071",22.29%,77.71%,44.69%,0.0,-0.26,0.08,"12,071","5,002",0.425,0.09,12.62%,0.0,0.42,0.43,,,2 SEP 20,353
84,SPY200902C354,0.24,-.06,"6,989",14.05%,85.95%,28.17%,0.0,-0.17,0.06,"6,989","6,903",0.235,0.07,12.47%,0.0,0.23,0.24,,,2 SEP 20,354
85,SPY200902C355,0.12,-.07,"9,029",7.90%,92.10%,15.82%,0.0,-0.1,0.04,"9,029","11,551",0.115,0.05,12.22%,0.0,0.11,0.12,,,2 SEP 20,355
86,SPY200902C356,0.06,-.05,"3,857",4.22%,95.78%,8.46%,0.0,-0.05,0.02,"3,857","8,280",0.055,0.03,12.20%,0.0,0.05,0.06,,,2 SEP 20,356
87,SPY200902C357,0.04,-.05,"1,868",2.66%,97.34%,5.33%,0.0,-0.03,0.02,"1,868","6,300",0.035,0.02,12.85%,0.0,0.03,0.04,,,2 SEP 20,357
88,SPY200902C358,0.03,-.02,"2,142",1.88%,98.12%,3.78%,0.0,-0.02,0.01,"2,142","4,251",0.025,0.01,13.78%,0.0,0.02,0.03,,,2 SEP 20,358
89,SPY200902C359,0.01,-.03,"1,243",1.14%,98.86%,2.28%,0.0,-0.01,0.01,"1,243","3,000",0.015,0.01,14.23%,0.0,0.01,0.02,,,2 SEP 20,359
90,SPY200902C360,0.01,-.02,"1,657",1.04%,98.96%,2.08%,0.0,-0.01,0.01,"1,657","6,216",0.015,0.01,15.65%,0.0,0.01,0.02,,,2 SEP 20,360
91,SPY200902C361,0.01,-.01,315,0.40%,99.60%,0.80%,0.0,0.0,0.0,315,"1,779",0.005,0.0,15.06%,0.0,0.0,0.01,,,2 SEP 20,361
92,SPY200902C362,0.01,-.01,126,0.37%,99.63%,0.74%,0.0,0.0,0.0,126,823,0.005,0.0,16.31%,0.0,0.0,0.01,,,2 SEP 20,362
93,SPY200902C363,0.01,0,50,0.35%,99.65%,0.69%,0.0,0.0,0.0,50,985,0.005,0.0,17.56%,0.0,0.0,0.01,,,2 SEP 20,363
94,SPY200902C364,0.01,0,100,0.32%,99.68%,0.65%,0.0,0.0,0.0,100,774,0.005,0.0,18.79%,0.0,0.0,0.01,,,2 SEP 20,364
95,SPY200902C365,0.01,0,45,0.30%,99.70%,0.61%,0.0,0.0,0.0,45,368,0.005,0.0,20.01%,0.0,0.0,0.01,,,2 SEP 20,365
96,SPY200902C366,0.01,0,0,0.29%,99.71%,0.58%,0.0,0.0,0.0,0,331,0.005,0.0,21.22%,0.0,0.0,0.01,,,2 SEP 20,366
97,SPY200902C367,0.01,-.04,26,0.27%,99.73%,0.55%,0.0,0.0,0.0,26,268,0.005,0.0,22.42%,0.0,0.0,0.01,,,2 SEP 20,367
98,SPY200902C368,0.01,0,0,0.26%,99.74%,0.52%,0.0,0.0,0.0,0,362,0.005,0.0,23.61%,0.0,0.0,0.01,,,2 SEP 20,368
99,SPY200902C369,0.01,0,0,0.25%,99.75%,0.50%,0.0,0.0,0.0,0,153,0.005,0.0,24.80%,0.0,0.0,0.01,,,2 SEP 20,369
100,SPY200902C370,0.01,0,0,0.24%,99.76%,0.47%,0.0,0.0,0.0,0,192,0.005,0.0,25.97%,0.0,0.0,0.01,,,2 SEP 20,370
101,SPY200902C375,0.01,-.01,1,0.19%,99.81%,0.39%,0.0,0.0,0.0,1,222,0.005,0.0,31.73%,0.0,0.0,0.01,,,2 SEP 20,375
102,SPY200902C380,0.01,-.01,1,0.16%,99.84%,0.33%,0.0,0.0,0.0,1,701,0.005,0.0,37.32%,0.0,0.0,0.01,,,2 SEP 20,380
103,SPY200902C385,0.02,+.01,"1,074",0.14%,99.86%,0.29%,0.0,0.0,0.0,"1,074","1,100",0.005,0.0,42.76%,0.0,0.0,0.01,,,2 SEP 20,385
104,SPY200902C390,0.01,0,105,0.13%,99.87%,0.25%,0.0,0.0,0.0,105,867,0.005,0.0,48.07%,0.0,0.0,0.01,,,2 SEP 20,390
105,SPY200902C395,0.01,0,10,0.11%,99.89%,0.23%,0.0,0.0,0.0,10,20,0.005,0.0,53.26%,0.0,0.0,0.01,,,2 SEP 20,395
106,SPY200902C400,0.01,0,74,0.10%,99.90%,0.21%,0.0,0.0,0.0,74,104,0.005,0.0,58.34%,0.0,0.0,0.01,,,2 SEP 20,400
107,SPY200902C405,0.0,0,<empty>,0.09%,99.91%,0.19%,0.0,0.0,0.0,<empty>,0,0.005,0.0,63.32%,0.0,0.0,0.01,,,2 SEP 20,405
108,SPY200902C410,0.01,<empty>,1,0.09%,99.91%,0.18%,0.0,0.0,0.0,1,1,0.005,0.0,68.21%,0.0,0.0,0.01,,,2 SEP 20,410
109,SPY200902C415,0.01,0,0,0.08%,99.92%,0.16%,0.0,0.0,0.0,0,11,0.005,0.0,73.01%,0.0,0.0,0.01,,,2 SEP 20,415
110,SPY200904C165,0.0,0,<empty>,100.00%,0.00%,0.00%,0.02,0.0,0.0,<empty>,0,0.0,0.0,0.00%,185.51,185.35,185.67,,,4 SEP 20,165
111,SPY200904C170,0.0,0,<empty>,100.00%,0.00%,0.00%,0.02,0.0,0.0,<empty>,0,0.0,0.0,0.00%,180.51,180.35,180.67,,,4 SEP 20,170
112,SPY200904C175,0.0,0,<empty>,100.00%,0.00%,0.00%,0.02,0.0,0.0,<empty>,0,0.0,0.0,0.00%,175.51,175.35,175.67,,,4 SEP 20,175
113,SPY200904C180,0.0,0,<empty>,100.00%,0.00%,0.00%,0.02,0.0,0.0,<empty>,0,0.0,0.0,0.00%,170.51,170.35,170.67,,,4 SEP 20,180
114,SPY200904C185,0.0,0,<empty>,98.82%,1.18%,2.26%,0.02,-0.14,0.01,<empty>,0,0.185,0.0,254.75%,165.51,165.54,165.85,,,4 SEP 20,185
115,SPY200904C190,160.45,0,0,98.79%,1.21%,2.33%,0.02,-0.14,0.01,0,1,0.19,0.0,245.74%,160.51,160.54,160.86,,,4 SEP 20,190
116,SPY200904C195,0.0,0,<empty>,99.27%,0.73%,1.41%,0.02,-0.08,0.0,<empty>,0,0.1,0.0,219.15%,155.51,155.45,155.77,,,4 SEP 20,195
117,SPY200904C200,0.0,0,<empty>,99.26%,0.74%,1.42%,0.02,-0.08,0.0,<empty>,0,0.1,0.0,210.35%,150.51,150.45,150.77,,,4 SEP 20,200
118,SPY200904C205,0.0,0,<empty>,99.19%,0.81%,1.56%,0.02,-0.08,0.0,<empty>,0,0.11,0.0,203.99%,145.51,145.46,145.78,,,4 SEP 20,205
119,SPY200904C210,124.39,+2.48,15,98.60%,1.40%,2.70%,0.02,-0.15,0.01,15,0,0.215,0.0,212.16%,140.51,140.56,140.89,,,4 SEP 20,210
120,SPY200904C215,0.0,0,<empty>,99.23%,0.77%,1.49%,0.02,-0.08,0.0,<empty>,0,0.1,0.0,185.31%,135.51,135.45,135.77,,,4 SEP 20,215
121,SPY200904C220,0.0,0,<empty>,99.22%,0.78%,1.52%,0.02,-0.08,0.0,<empty>,10,0.1,0.0,177.35%,130.51,130.45,130.77,,,4 SEP 20,220
122,SPY200904C225,0.0,0,<empty>,99.20%,0.80%,1.55%,0.02,-0.08,0.01,<empty>,0,0.1,0.0,169.53%,125.51,125.45,125.77,,,4 SEP 20,225
123,SPY200904C230,0.0,0,<empty>,99.06%,0.94%,1.83%,0.02,-0.09,0.01,<empty>,0,0.12,0.0,165.35%,120.51,120.48,120.78,,,4 SEP 20,230
124,SPY200904C235,0.0,0,<empty>,99.34%,0.66%,1.28%,0.03,-0.06,0.0,<empty>,0,0.075,0.0,149.35%,115.51,115.42,115.75,,,4 SEP 20,235
125,SPY200904C240,0.0,0,<empty>,99.01%,0.99%,1.92%,0.03,-0.09,0.01,<empty>,0,0.12,0.0,150.15%,110.51,110.48,110.78,,,4 SEP 20,240
126,SPY200904C245,0.0,0,<empty>,99.20%,0.80%,1.56%,0.03,-0.07,0.01,<empty>,0,0.09,0.0,137.94%,105.51,105.38,105.82,,,4 SEP 20,245
127,SPY200904C250,96.75,+3.43,2,99.07%,0.93%,1.82%,0.03,-0.08,0.01,2,4,0.105,0.0,133.30%,100.51,100.46,100.77,,,4 SEP 20,250
128,SPY200904C255,94.39,<empty>,1,99.15%,0.85%,1.66%,0.03,-0.07,0.01,1,1,0.09,0.0,123.94%,95.51,95.38,95.82,,,4 SEP 20,255
129,SPY200904C260,89.7,<empty>,7,98.93%,1.07%,2.09%,0.03,-0.08,0.01,7,7,0.115,0.0,120.66%,90.51,90.48,90.77,,,4 SEP 20,260
130,SPY200904C265,67.28,+3.74,5,99.05%,0.95%,1.86%,0.03,-0.07,0.01,5,17,0.095,0.0,111.10%,85.51,85.39,85.82,,,4 SEP 20,265
131,SPY200904C270,64.11,+11.21,2,98.07%,1.93%,3.78%,0.03,-0.15,0.01,2,8,0.225,0.0,117.13%,80.51,80.59,80.88,,,4 SEP 20,270
132,SPY200904C275,73.91,+1.96,2,98.77%,1.23%,2.42%,0.03,-0.09,0.01,2,9,0.12,0.0,100.81%,75.51,75.48,75.78,,,4 SEP 20,275
133,SPY200904C280,69.04,+.57,1,98.72%,1.28%,2.53%,0.03,-0.08,0.01,1,146,0.12,0.0,94.13%,70.51,70.48,70.78,,,4 SEP 20,280
134,SPY200904C285,64.16,+1.06,5,99.76%,0.24%,0.48%,0.03,-0.01,0.0,5,11,0.015,0.0,69.38%,65.51,65.47,65.58,,,4 SEP 20,285
135,SPY200904C290,60.5,0,0,99.67%,0.33%,0.66%,0.03,-0.02,0.0,0,15,0.02,0.0,65.86%,60.51,60.47,60.59,,,4 SEP 20,290
136,SPY200904C291,60.02,+7.05,1,98.43%,1.57%,3.10%,0.03,-0.09,0.01,1,13,0.135,0.0,81.07%,59.51,59.51,59.78,,,4 SEP 20,291
137,SPY200904C292,58.51,0,0,98.27%,1.73%,3.40%,0.03,-0.1,0.01,0,1,0.15,0.0,80.94%,58.51,58.58,58.74,,,4 SEP 20,292
138,SPY200904C293,55.88,+11.57,50,99.52%,0.48%,0.95%,0.03,-0.02,0.0,50,57,0.03,0.0,65.28%,57.51,57.42,57.66,,,4 SEP 20,293
139,SPY200904C294,55.52,<empty>,76,99.14%,0.86%,1.69%,0.03,-0.04,0.01,76,76,0.06,0.0,69.42%,56.51,56.43,56.71,,,4 SEP 20,294
140,SPY200904C295,55.24,+.59,1,99.07%,0.93%,1.83%,0.03,-0.05,0.01,1,23,0.065,0.0,68.89%,55.51,55.49,55.66,,,4 SEP 20,295
141,SPY200904C296,54.99,+1.63,2,99.37%,0.63%,1.25%,0.03,-0.03,0.01,2,18,0.04,0.0,63.92%,54.51,54.44,54.66,,,4 SEP 20,296
142,SPY200904C297,45.76,+1.01,5,98.88%,1.12%,2.21%,0.03,-0.06,0.01,5,7,0.08,0.0,68.25%,53.51,53.53,53.65,,,4 SEP 20,297
143,SPY200904C298,52.56,+12.10,1,97.65%,2.35%,4.63%,0.03,-0.13,0.02,1,31,0.205,0.0,76.54%,52.51,52.62,52.81,,,4 SEP 20,298
144,SPY200904C299,32.01,+6.64,1,97.62%,2.38%,4.69%,0.03,-0.13,0.02,1,3,0.205,0.0,75.18%,51.51,51.62,51.81,,,4 SEP 20,299
145,SPY200904C300,50.33,0,0,98.89%,1.11%,2.19%,0.03,-0.05,0.01,0,361,0.075,0.0,64.05%,50.51,50.5,50.67,,,4 SEP 20,300
146,SPY200904C301,49.81,0,0,98.88%,1.12%,2.22%,0.03,-0.05,0.01,0,2,0.075,0.0,62.84%,49.51,49.49,49.68,,,4 SEP 20,301
147,SPY200904C302,48.17,0,0,99.18%,0.82%,1.63%,0.03,-0.04,0.01,0,10,0.05,0.0,58.60%,48.51,48.45,48.67,,,4 SEP 20,302
148,SPY200904C303,44.49,+5.31,1,100.00%,0.00%,0.00%,0.03,0.0,0.0,1,23,-0.02,0.0,--,47.51,47.38,47.6,,,4 SEP 20,303
149,SPY200904C304,44.98,+5.60,3,98.65%,1.35%,2.68%,0.03,-0.06,0.01,3,27,0.09,0.0,60.67%,46.51,46.53,46.67,,,4 SEP 20,304
150,SPY200904C305,45.81,+.30,4,97.05%,2.95%,5.81%,0.03,-0.15,0.02,4,75,0.245,0.0,69.05%,45.51,45.63,45.88,,,4 SEP 20,305
