Strike,BID,ASK,LAST,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theta,Vega,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,expire_days,expire_price,target,dt_predict,rf_predict,kn_predict
245.0,0.14,0.16,0.18,0.0,1,1.32,98.68,2.57,0.0,-0.15,0.01,5,0.15,0.0,187.83,0.0,1,327.24,0,0,0,0
274.0,1.38,1.41,1.38,-0.15,420,8.31,91.69,16.12,-0.01,-0.15,0.1,7924,1.395,0.0,60.64,0.0,19,355.25,0,0,0,0
287.0,2.33,2.37,2.41,-0.14,9,12.94,87.06,25.06,-0.02,-0.2,0.14,5426,2.35,0.0,57.22,0.0,19,355.25,0,0,0,0
272.0,1.27,1.3,1.29,0.06,8,7.75,92.25,15.02,-0.01,-0.14,0.09,2870,1.285,0.0,61.17,0.0,19,355.25,0,0,0,0
326.0,9.46,9.53,9.43,-0.92,564,40.16,59.84,77.41,-0.07,-0.34,0.3,3535,9.495,0.01,46.15,0.0,19,355.25,0,0,0,0
326.0,8.51,8.65,8.52,0.0,57,39.17,60.83,75.72,-0.04,-0.49,0.24,0,8.58,0.01,53.38,0.0,12,354.71,0,0,0,0
300.0,3.87,3.91,3.88,-0.45,16461,19.62,80.38,37.95,-0.03,-0.26,0.19,145405,3.89,0.01,53.92,0.0,19,355.25,0,0,0,0
302.0,4.17,4.22,4.27,-0.41,94,20.86,79.14,40.33,-0.03,-0.27,0.2,3107,4.195,0.01,53.42,0.0,19,355.25,0,0,0,0
315.0,6.62,6.68,6.55,-0.76,1355,30.24,69.76,58.37,-0.05,-0.32,0.26,114365,6.65,0.01,49.78,0.0,19,355.25,0,0,0,0
252.0,0.6,0.62,0.63,0.0,3,4.0,96.0,7.76,-0.01,-0.08,0.05,2975,0.61,0.0,67.78,0.0,19,355.25,0,0,0,0
324.0,7.95,8.08,7.9,0.0,18,37.1,62.9,71.74,-0.04,-0.49,0.23,0,8.015,0.01,54.22,0.0,12,354.71,0,0,0,0
208.0,0.14,0.15,0.2,-0.03,1,1.08,98.92,2.09,0.0,-0.03,0.01,537,0.145,0.0,85.92,0.0,19,355.25,0,0,0,0
311.0,5.77,5.83,5.84,-0.39,132,27.1,72.9,52.33,-0.05,-0.31,0.24,11005,5.8,0.01,50.97,0.0,19,355.25,0,0,0,0
295.0,3.19,3.23,3.15,-0.11,11340,16.77,83.23,32.45,-0.03,-0.24,0.17,143289,3.21,0.01,55.16,0.0,19,355.25,0,0,0,0
320.0,5.89,6.0,5.95,-0.09,148,31.41,68.59,60.97,-0.02,-0.94,0.15,1238,5.945,0.01,75.2,0.0,5,347.65,0,0,0,0
285.0,1.01,1.1,1.0,0.0,150,7.65,92.35,14.93,0.0,-0.52,0.04,0,1.055,0.0,107.53,0.0,3,339.59,0,0,0,0
295.0,2.0,2.09,2.08,-0.02,63,12.97,87.03,25.24,-0.01,-0.57,0.08,297,2.045,0.0,87.42,0.0,5,347.65,0,0,0,0
280.0,0.8,0.88,0.82,0.0,211,6.24,93.76,12.17,0.0,-0.44,0.04,0,0.84,0.0,110.87,0.0,3,339.59,0,0,0,0
280.0,1.0,1.07,1.07,0.03,129,7.18,92.82,14.0,0.0,-0.36,0.05,1199,1.035,0.0,94.7,0.0,5,347.65,0,0,0,0
281.0,1.83,1.86,1.9,-0.17,262,10.56,89.44,20.46,-0.02,-0.17,0.12,3069,1.845,0.0,58.73,0.0,19,355.25,0,0,0,0
215.0,0.08,0.11,0.11,0.0,1,0.79,99.21,1.53,0.0,-0.05,0.01,0,0.095,0.0,139.91,0.0,5,347.65,0,0,0,0
296.0,3.32,3.36,3.43,-0.35,23,17.32,82.68,33.52,-0.03,-0.24,0.18,7653,3.34,0.01,54.93,0.0,19,355.25,0,0,0,0
318.0,5.45,5.55,5.73,-0.37,47,29.47,70.53,57.22,-0.02,-0.92,0.14,244,5.5,0.01,76.35,0.0,5,347.65,0,0,0,0
243.0,0.44,0.46,0.46,-0.05,2,3.03,96.97,5.88,0.0,-0.07,0.04,4298,0.45,0.0,71.23,0.0,19,355.25,0,0,0,0
331.0,11.05,11.11,11.44,-0.71,235,45.34,54.66,87.33,-0.08,-0.34,0.31,2939,11.08,0.01,44.32,0.0,19,355.25,0,0,0,0
249.0,0.54,0.56,0.53,-0.05,1,3.64,96.36,7.07,0.0,-0.08,0.05,2055,0.55,0.0,68.9,0.0,19,355.25,0,0,0,0
320.0,4.25,4.31,4.18,-0.74,10223,27.75,72.25,54.16,0.0,-2.36,0.08,129,4.28,0.01,109.92,0.0,1,327.24,0,0,0,0
290.0,0.94,0.97,0.99,-0.13,37,7.57,92.43,14.82,0.0,-0.81,0.03,50,0.955,0.0,136.3,0.0,1,327.24,0,0,0,0
285.0,2.15,2.18,2.18,0.0,2292,12.09,87.91,23.41,-0.02,-0.19,0.13,22917,2.165,0.0,57.69,0.0,19,355.25,0,0,0,0
316.0,5.02,5.13,5.13,-0.18,6,27.61,72.39,53.61,-0.01,-0.9,0.14,132,5.075,0.01,77.4,0.0,5,347.65,0,0,0,0
259.0,0.78,0.79,0.8,0.07,5,5.02,94.98,9.73,-0.01,-0.1,0.06,2232,0.785,0.0,65.31,0.0,19,355.25,0,0,0,0
325.0,5.36,5.43,5.21,-1.22,38,33.64,66.36,65.62,-0.01,-2.58,0.09,413,5.395,0.01,104.95,0.0,1,327.24,0,0,0,0
330.0,10.72,10.78,10.68,-1.14,5189,44.27,55.73,85.28,-0.08,-0.34,0.3,39524,10.75,0.01,44.71,0.0,19,355.25,0,0,0,0
220.0,0.09,0.11,0.14,0.01,2,0.84,99.16,1.63,0.0,-0.06,0.01,20,0.1,0.0,134.15,0.0,5,347.65,0,0,0,0
334.0,10.0,10.13,9.93,-0.42,28,47.74,52.26,92.47,-0.03,-0.99,0.17,82,10.065,0.01,66.69,0.0,5,347.65,0,0,0,0
180.0,0.05,0.06,0.06,-0.02,135,0.45,99.55,0.88,0.0,-0.01,0.01,6261,0.055,0.0,98.31,0.0,19,355.25,0,0,0,0
280.0,1.37,1.44,1.42,0.0,8,8.79,91.21,17.08,-0.01,-0.22,0.08,0,1.405,0.0,69.06,0.0,12,354.71,0,0,0,0
202.0,0.11,0.12,0.12,-0.15,10,0.88,99.12,1.7,0.0,-0.02,0.01,1997,0.115,0.0,88.2,0.0,19,355.25,0,0,0,0
225.0,0.25,0.26,0.24,-0.05,47,1.8,98.2,3.49,0.0,-0.04,0.02,7759,0.255,0.0,78.79,0.0,19,355.25,0,0,0,0
304.0,4.49,4.54,4.48,-0.09,54,22.15,77.85,42.81,-0.04,-0.28,0.21,3000,4.515,0.01,52.89,0.0,19,355.25,0,0,0,0
210.0,0.15,0.16,0.16,-0.01,36,1.15,98.85,2.22,0.0,-0.03,0.01,5692,0.155,0.0,85.07,0.0,19,355.25,0,0,0,0
336.0,11.89,12.03,12.21,0.0,76,50.75,49.25,97.94,-0.06,-0.49,0.25,0,11.96,0.01,48.92,0.0,12,354.71,0,0,0,0
276.0,1.5,1.52,1.49,-0.02,67,8.9,91.1,17.25,-0.01,-0.15,0.1,2881,1.51,0.0,60.08,0.0,19,355.25,0,0,0,0
335.0,9.64,9.81,9.75,-0.05,14,48.81,51.19,94.72,-0.02,-1.42,0.14,27,9.725,0.01,75.78,0.0,3,339.59,0,0,0,0
334.0,11.13,11.27,11.51,0.0,4,48.27,51.73,93.19,-0.06,-0.49,0.25,0,11.2,0.01,49.83,0.0,12,354.71,0,0,0,0
215.0,0.04,0.06,0.05,0.0,2,0.47,99.53,0.91,0.0,-0.05,0.0,0,0.05,0.0,226.04,0.0,1,327.24,0,0,0,0
317.0,7.08,7.14,7.15,-0.07,10167,31.9,68.1,61.56,-0.05,-0.33,0.26,14417,7.11,0.01,49.16,0.0,19,355.25,0,0,0,0
319.0,7.57,7.63,7.55,-0.42,173,33.63,66.37,64.89,-0.06,-0.33,0.27,4925,7.6,0.01,48.55,0.0,19,355.25,0,0,0,0
315.0,4.82,4.92,4.85,-0.17,290,26.7,73.3,51.86,-0.01,-0.88,0.13,2683,4.87,0.01,77.9,0.0,5,347.65,0,0,0,0
312.0,5.98,6.03,6.04,-0.05,964,27.86,72.14,53.8,-0.05,-0.31,0.25,9644,6.005,0.01,50.68,0.0,19,355.25,0,0,0,0
170.0,0.04,0.05,0.07,-0.01,3,0.38,99.62,0.73,0.0,-0.01,0.0,6198,0.045,0.0,104.58,0.0,19,355.25,0,0,0,0
288.0,2.43,2.46,2.53,-0.1,47,13.37,86.63,25.9,-0.02,-0.21,0.15,7319,2.445,0.0,56.96,0.0,19,355.25,0,0,0,0
318.0,7.32,7.38,7.3,-0.73,132,32.76,67.24,63.2,-0.06,-0.33,0.27,6556,7.35,0.01,48.85,0.0,19,355.25,0,0,0,0
310.0,3.91,4.01,4.12,-0.22,309,22.53,77.47,43.79,-0.01,-0.81,0.12,1625,3.96,0.01,80.43,0.0,5,347.65,0,0,0,0
260.0,0.25,0.27,0.27,-0.05,1,2.24,97.76,4.37,0.0,-0.25,0.01,1,0.26,0.0,169.09,0.0,1,327.24,0,0,0,0
300.0,2.52,2.61,2.68,-0.25,137,15.7,84.3,30.54,-0.01,-0.65,0.09,9434,2.565,0.01,85.15,0.0,5,347.65,0,0,0,0
257.0,0.72,0.74,0.74,0.05,100,4.7,95.3,9.12,-0.01,-0.09,0.06,5536,0.73,0.0,66.0,0.0,19,355.25,0,0,0,0
255.0,0.35,0.39,0.39,-0.04,7,2.82,97.18,5.49,0.0,-0.17,0.02,26104,0.37,0.0,109.77,0.0,5,347.65,0,0,0,0
336.0,8.81,8.89,8.8,-0.8,360,49.92,50.08,97.2,-0.01,-2.71,0.1,68,8.85,0.02,93.35,0.0,1,327.24,0,0,0,0
336.0,10.76,10.9,10.79,-1.31,243,50.47,49.53,97.72,-0.03,-0.98,0.17,102,10.83,0.01,65.42,0.0,5,347.65,0,0,0,0
285.0,0.73,0.76,0.76,-0.12,17,6.05,93.95,11.84,0.0,-0.65,0.03,56,0.745,0.0,140.93,0.0,1,327.24,0,0,0,0
305.0,2.69,2.8,2.8,-0.37,14,17.42,82.58,33.94,-0.01,-0.98,0.08,70,2.745,0.01,96.07,0.0,3,339.59,0,0,0,0
286.0,2.24,2.27,2.32,-0.04,8,12.5,87.5,24.22,-0.02,-0.2,0.14,4239,2.255,0.0,57.45,0.0,19,355.25,0,0,0,0
270.0,0.37,0.39,0.39,-0.07,1,3.23,96.77,6.31,0.0,-0.35,0.01,6,0.38,0.0,156.82,0.0,1,327.24,0,0,0,0
291.0,2.73,2.77,2.83,0.04,163,14.75,85.25,28.56,-0.02,-0.22,0.16,6069,2.75,0.0,56.19,0.0,19,355.25,0,0,0,0
317.0,5.23,5.33,5.45,-0.31,6,28.52,71.48,55.38,-0.01,-0.91,0.14,20,5.28,0.01,76.85,0.0,5,347.65,0,0,0,0
280.0,0.57,0.6,0.59,0.04,28,4.85,95.15,9.49,0.0,-0.53,0.02,20,0.585,0.0,145.76,0.0,1,327.24,0,0,0,0
327.0,9.76,9.82,10.01,-0.65,411,41.15,58.85,79.32,-0.07,-0.34,0.3,3731,9.79,0.01,45.77,0.0,19,355.25,0,0,0,0
319.0,5.67,5.76,5.77,-0.18,4,30.42,69.58,59.06,-0.02,-0.93,0.14,31,5.715,0.01,75.75,0.0,5,347.65,0,0,0,0
298.0,3.59,3.63,3.62,-0.32,48,18.46,81.54,35.7,-0.03,-0.25,0.19,4223,3.61,0.01,54.45,0.0,19,355.25,0,0,0,0
235.0,0.16,0.2,0.18,-0.02,20,1.44,98.56,2.8,0.0,-0.09,0.01,13217,0.18,0.0,123.95,0.0,5,347.65,0,0,0,0
248.0,0.52,0.54,0.53,0.03,3,3.52,96.48,6.83,0.0,-0.08,0.05,1103,0.53,0.0,69.24,0.0,19,355.25,0,0,0,0
265.0,0.97,0.99,1.0,0.02,46,6.11,93.89,11.85,-0.01,-0.12,0.08,10785,0.98,0.0,63.3,0.0,19,355.25,0,0,0,0
253.0,0.62,0.64,0.64,-0.08,4,4.12,95.88,8.0,-0.01,-0.09,0.05,3935,0.63,0.0,67.38,0.0,19,355.25,0,0,0,0
125.0,0.01,0.02,0.03,-0.01,6,0.15,99.85,0.28,0.0,0.0,0.0,4010,0.015,0.0,135.33,0.0,19,355.25,0,0,0,0
301.0,4.02,4.07,4.03,-0.15,89,20.25,79.75,39.15,-0.03,-0.27,0.2,5166,4.045,0.01,53.69,0.0,19,355.25,0,0,0,0
307.0,5.01,5.07,5.04,-0.07,1631,24.19,75.81,46.75,-0.04,-0.29,0.22,9640,5.04,0.01,52.11,0.0,19,355.25,0,0,0,0
247.0,0.51,0.52,0.5,-0.05,3,3.43,96.57,6.65,0.0,-0.07,0.04,2654,0.515,0.0,69.69,0.0,19,355.25,0,0,0,0
331.0,10.07,10.21,10.44,0.0,2,44.7,55.3,86.34,-0.05,-0.5,0.25,0,10.14,0.01,51.17,0.0,12,354.71,0,0,0,0
230.0,0.08,0.09,0.1,0.0,5,0.77,99.23,1.5,0.0,-0.08,0.0,0,0.085,0.0,206.28,0.0,1,327.24,0,0,0,0
322.5,6.5,6.6,6.34,-0.34,2,33.98,66.02,65.92,-0.02,-0.96,0.15,20,6.55,0.01,73.78,0.0,5,347.65,0,0,0,0
230.0,0.29,0.3,0.29,-0.05,179,2.06,97.94,4.0,0.0,-0.05,0.03,10732,0.295,0.0,76.53,0.0,19,355.25,0,0,0,0
236.0,0.35,0.37,0.37,-0.11,2,2.47,97.53,4.79,0.0,-0.06,0.03,1468,0.36,0.0,74.11,0.0,19,355.25,0,0,0,0
316.0,6.85,6.91,6.88,-0.69,42,31.07,68.93,59.96,-0.05,-0.33,0.26,10269,6.88,0.01,49.48,0.0,19,355.25,0,0,0,0
271.0,1.23,1.25,1.28,0.15,4,7.51,92.49,14.55,-0.01,-0.14,0.09,4260,1.24,0.0,61.51,0.0,19,355.25,0,0,0,0
245.0,0.47,0.49,0.49,-0.05,74,3.22,96.78,6.24,0.0,-0.07,0.04,5834,0.48,0.0,70.43,0.0,19,355.25,0,0,0,0
300.0,2.11,2.22,2.29,0.09,29,14.26,85.74,27.8,0.0,-0.85,0.07,522,2.165,0.01,98.82,0.0,3,339.59,0,0,0,0
290.0,1.29,1.38,1.3,0.0,331,9.41,90.59,18.37,0.0,-0.62,0.05,0,1.335,0.0,104.43,0.0,3,339.59,0,0,0,0
275.0,0.45,0.48,0.46,-0.11,5,3.92,96.08,7.66,0.0,-0.43,0.02,98,0.465,0.0,150.94,0.0,1,327.24,0,0,0,0
312.5,5.26,5.38,5.2,0.0,3,26.68,73.32,51.65,-0.03,-0.44,0.19,0,5.32,0.01,58.67,0.0,12,354.71,0,0,0,0
264.0,0.93,0.95,0.96,0.09,3,5.89,94.11,11.43,-0.01,-0.11,0.07,2389,0.94,0.0,63.57,0.0,19,355.25,0,0,0,0
290.0,2.63,2.66,2.6,-0.4,3787,14.28,85.72,27.65,-0.02,-0.22,0.15,37890,2.645,0.0,56.45,0.0,19,355.25,0,0,0,0
270.0,1.18,1.2,1.19,-0.14,1969,7.24,92.76,14.05,-0.01,-0.13,0.09,104463,1.19,0.0,61.78,0.0,19,355.25,0,0,0,0
265.0,0.73,0.78,0.76,0.0,11,5.09,94.91,9.9,0.0,-0.14,0.05,0,0.755,0.0,74.53,0.0,12,354.71,0,0,0,0
190.0,0.07,0.08,0.07,-0.03,55,0.6,99.4,1.16,0.0,-0.02,0.01,5110,0.075,0.0,93.33,0.0,19,355.25,0,0,0,0
326.0,7.43,7.55,7.61,0.61,30,37.82,62.18,73.35,-0.02,-0.99,0.16,57,7.49,0.01,71.74,0.0,5,347.65,0,0,0,0
320.0,7.82,7.88,7.74,-0.87,37358,34.52,65.48,66.58,-0.06,-0.34,0.28,51195,7.85,0.01,48.22,0.0,19,355.25,0,0,0,0
215.0,0.18,0.19,0.19,-0.03,4,1.35,98.65,2.61,0.0,-0.03,0.02,3480,0.185,0.0,83.07,0.0,19,355.25,0,0,0,0
210.0,0.06,0.1,0.09,-0.02,1,0.67,99.33,1.3,0.0,-0.05,0.01,222,0.08,0.0,143.76,0.0,5,347.65,0,0,0,0
270.0,0.89,0.96,0.97,0.0,3,6.1,93.9,11.86,-0.01,-0.17,0.06,0,0.925,0.0,72.6,0.0,12,354.71,0,0,0,0
325.0,9.17,9.21,9.21,-0.91,1769,39.16,60.84,75.5,-0.07,-0.34,0.29,35575,9.19,0.01,46.46,0.0,19,355.25,0,0,0,0
305.0,4.66,4.71,4.68,-0.48,4890,22.81,77.19,44.09,-0.04,-0.29,0.22,28853,4.685,0.01,52.63,0.0,19,355.25,0,0,0,0
240.0,0.12,0.13,0.14,0.0,11,1.11,98.89,2.16,0.0,-0.12,0.01,0,0.125,0.0,194.12,0.0,1,327.24,0,0,0,0
335.0,12.49,12.55,12.51,-1.13,3066,49.81,50.19,95.88,-0.09,-0.34,0.31,10849,12.52,0.01,42.83,0.0,19,355.25,0,0,0,0
216.0,0.18,0.19,0.19,-0.1,2,1.35,98.65,2.62,0.0,-0.03,0.02,556,0.185,0.0,82.29,0.0,19,355.25,0,0,0,0
315.0,3.34,3.4,3.47,-0.3,69,22.7,77.3,44.33,0.0,-2.08,0.07,90,3.37,0.01,114.57,0.0,1,327.24,0,0,0,0
237.0,0.36,0.38,0.37,0.01,1,2.54,97.46,4.92,0.0,-0.06,0.03,2121,0.37,0.0,73.66,0.0,19,355.25,0,0,0,0
220.0,0.05,0.07,0.08,0.0,5,0.55,99.45,1.08,0.0,-0.06,0.0,0,0.06,0.0,219.53,0.0,1,327.24,0,0,0,0
317.5,5.34,5.43,5.36,-0.1,4,28.99,71.01,56.28,-0.01,-0.91,0.14,68,5.385,0.01,76.57,0.0,5,347.65,0,0,0,0
273.0,1.33,1.35,1.35,-0.12,210,8.03,91.97,15.57,-0.01,-0.14,0.1,2456,1.34,0.0,60.91,0.0,19,355.25,0,0,0,0
204.0,0.12,0.13,0.13,-0.03,1,0.95,99.05,1.83,0.0,-0.02,0.01,1390,0.125,0.0,87.5,0.0,19,355.25,0,0,0,0
224.0,0.24,0.25,0.24,-0.05,8,1.74,98.26,3.37,0.0,-0.04,0.02,1872,0.245,0.0,79.13,0.0,19,355.25,0,0,0,0
297.0,3.45,3.5,3.42,-0.09,19,17.89,82.11,34.61,-0.03,-0.25,0.18,10775,3.475,0.01,54.7,0.0,19,355.25,0,0,0,0
266.0,1.01,1.03,1.05,-0.11,3,6.33,93.67,12.27,-0.01,-0.12,0.08,6228,1.02,0.0,63.01,0.0,19,355.25,0,0,0,0
219.0,0.2,0.21,0.21,0.0,3,1.48,98.52,2.87,0.0,-0.04,0.02,730,0.205,0.0,81.06,0.0,19,355.25,0,0,0,0
115.0,0.01,0.02,0.02,0.0,5,0.15,99.85,0.28,0.0,0.0,0.0,15659,0.015,0.0,146.19,0.0,19,355.25,0,0,0,0
314.0,4.63,4.73,4.71,0.25,143,25.84,74.16,50.19,-0.01,-0.87,0.13,58,4.68,0.01,78.45,0.0,5,347.65,0,0,0,0
309.0,5.38,5.44,5.55,0.08,318,25.62,74.38,49.49,-0.04,-0.3,0.23,3727,5.41,0.01,51.55,0.0,19,355.25,0,0,0,0
290.0,2.12,2.2,2.26,0.0,8,12.68,87.32,24.61,-0.01,-0.29,0.11,0,2.16,0.0,65.93,0.0,12,354.71,0,0,0,0
275.0,1.44,1.46,1.4,-0.08,243,8.6,91.4,16.66,-0.01,-0.15,0.1,95639,1.45,0.0,60.34,0.0,19,355.25,0,0,0,0
330.0,8.63,8.75,8.87,-0.47,57,42.58,57.42,82.52,-0.02,-1.0,0.17,5915,8.69,0.01,69.24,0.0,5,347.65,0,0,0,0
258.0,0.75,0.76,0.77,0.07,47,4.85,95.15,9.4,-0.01,-0.1,0.06,4349,0.755,0.0,65.63,0.0,19,355.25,0,0,0,0
227.0,0.26,0.28,0.57,0.03,41,1.9,98.1,3.68,0.0,-0.05,0.02,1956,0.27,0.0,77.87,0.0,19,355.25,0,0,0,0
244.0,0.46,0.47,0.47,-0.07,3,3.13,96.87,6.06,0.0,-0.07,0.04,1562,0.465,0.0,70.83,0.0,19,355.25,0,0,0,0
327.0,7.71,7.84,7.97,0.06,161,38.97,61.03,75.57,-0.02,-0.99,0.16,44,7.775,0.01,71.12,0.0,5,347.65,0,0,0,0
263.0,0.9,0.92,0.94,0.1,2,5.72,94.28,11.1,-0.01,-0.11,0.07,3561,0.91,0.0,63.97,0.0,19,355.25,0,0,0,0
328.0,8.01,8.13,7.92,-1.01,99,40.15,59.85,77.84,-0.02,-0.99,0.16,31,8.07,0.01,70.5,0.0,5,347.65,0,0,0,0
324.0,8.89,8.94,8.82,-0.93,650,38.21,61.79,73.66,-0.07,-0.34,0.29,4806,8.915,0.01,46.84,0.0,19,355.25,0,0,0,0
310.0,3.38,3.5,3.5,-0.34,18,21.06,78.94,41.02,-0.01,-1.1,0.09,75,3.44,0.01,93.06,0.0,3,339.59,0,0,0,0
330.0,7.91,8.06,8.42,0.25,46,41.88,58.12,81.33,-0.01,-1.43,0.13,73,7.985,0.01,79.59,0.0,3,339.59,0,0,0,0
322.5,7.54,7.68,7.52,0.0,20,35.6,64.4,68.85,-0.04,-0.49,0.23,0,7.61,0.01,54.84,0.0,12,354.71,0,0,0,0
312.5,4.35,4.45,4.37,0.02,3,24.56,75.44,47.72,-0.01,-0.85,0.13,77,4.4,0.01,79.22,0.0,5,347.65,0,0,0,0
270.0,0.64,0.7,0.66,-0.11,22,4.87,95.13,9.49,0.0,-0.27,0.03,14524,0.67,0.0,100.23,0.0,5,347.65,0,0,0,0
235.0,0.34,0.36,0.34,-0.02,44,2.41,97.59,4.66,0.0,-0.06,0.03,10113,0.35,0.0,74.57,0.0,19,355.25,0,0,0,0
310.0,5.57,5.63,5.51,-0.66,2522,26.35,73.65,50.89,-0.04,-0.31,0.24,35140,5.6,0.01,51.25,0.0,19,355.25,0,0,0,0
310.0,2.61,2.67,2.65,-0.38,143,18.44,81.56,36.02,0.0,-1.79,0.06,294,2.64,0.01,119.06,0.0,1,327.24,0,0,0,0
260.0,0.8,0.82,0.82,-0.01,66,5.16,94.84,10.02,-0.01,-0.1,0.06,16154,0.81,0.0,64.9,0.0,19,355.25,0,0,0,0
299.0,3.73,3.77,3.85,-0.01,108,19.04,80.96,36.82,-0.03,-0.26,0.19,5453,3.75,0.01,54.19,0.0,19,355.25,0,0,0,0
280.0,1.76,1.79,1.73,-0.21,501,10.21,89.79,19.79,-0.02,-0.17,0.12,53295,1.775,0.0,59.02,0.0,19,355.25,0,0,0,0
269.0,1.13,1.15,1.18,0.04,350,6.98,93.02,13.54,-0.01,-0.13,0.08,3603,1.14,0.0,62.03,0.0,19,355.25,0,0,0,0
